arm,target,seed,ed2,sw1,coverage,mass_err,event_time,censored,kernel_pairs,diverged
base,V-1d-K3,0,0.003150603296155241,0.054268328302043825,1.0,0.08333333333333331,78,0,2150400,0
base,V-1d-K3,1,0.0027415384877743643,0.04880244355557467,1.0,0.041666666666666685,78,0,2150400,0
base,V-1d-K3,2,0.003530632425244762,0.058202723698707284,1.0,0.08333333333333331,76,0,2150400,0
base,V-1d-K3,3,0.0030784085723833954,0.052513395631112014,1.0,0.08333333333333331,89,0,2150400,0
base,V-1d-K3,4,0.0022971582592841155,0.04555504104360152,1.0,0.0,84,0,2150400,0
base,V-1d-K3,5,0.0027073669213680818,0.049298351730780794,1.0,0.041666666666666685,86,0,2150400,0
base,V-2d-K5,0,0.006094839850725009,0.046970080399812666,1.0,0.05000000000000002,55,0,2150400,0
base,V-2d-K5,1,0.004852057992607239,0.0418991287196183,1.0,0.07500000000000001,50,0,2150400,0
base,V-2d-K5,2,0.006003854252536023,0.046252218268642245,1.0,0.09166666666666667,55,0,2150400,0
base,V-2d-K5,3,0.005613561995102323,0.04494830589906403,1.0,0.05000000000000002,57,0,2150400,0
base,V-2d-K5,4,0.005601726480994662,0.04517567655560245,1.0,0.05000000000000002,61,0,2150400,0
base,V-2d-K5,5,0.005565830291641927,0.044181122777709414,1.0,0.05000000000000002,54,0,2150400,0
base,V-2d-K4-uneq,0,0.0048712390100749126,0.035962479066086885,1.0,0.02500000000000001,59,0,2150400,0
base,V-2d-K4-uneq,1,0.004373019470038209,0.03451304386591493,1.0,0.07500000000000002,54,0,2150400,0
base,V-2d-K4-uneq,2,0.004444462930113802,0.03415389266576745,1.0,0.049999999999999975,57,0,2150400,0
base,V-2d-K4-uneq,3,0.004636891660624642,0.03640318426884616,1.0,0.049999999999999975,56,0,2150400,0
base,V-2d-K4-uneq,4,0.004466362424372927,0.03575952309797808,1.0,0.02500000000000001,60,0,2150400,0
base,V-2d-K4-uneq,5,0.0042967360491548146,0.03439037760582291,1.0,0.04166666666666673,53,0,2150400,0
base,V-3d-K4,0,0.009421088101566943,0.042631618803599135,1.0,0.08333333333333331,64,0,2150400,0
