target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,snis,1,4,16,False,0,300,0.14081528142211175,0.75,0.5,0.016769090799486044,-0.09630522353374898,0.8139698658707665,0,16000,0.29738688468933105
equal,snis,1,4,16,False,1,300,0.14955725911707263,0.5,1.0,0.019637994090785746,0.015113189187702478,0.7212036479159205,0,16000,0.30257678031921387
equal,snis,1,4,16,True,0,100,0.7527227375139929,1.0,0.0,1.0071414017395788,1.448708380155198,nan,0,8000,0.14885425567626953
equal,snis,1,4,16,True,1,300,2.2563955709618644,1.0,0.0,0.7315844675254713,0.3854907147308297,nan,0,16000,0.2947959899902344
equal,snis,1,4,64,False,0,300,0.45302286182942963,0.5,1.0,0.017432704514407607,-0.02747593748807753,0.8514303503334882,0,54400,0.30399322509765625
equal,snis,1,4,64,False,1,300,0.1586722023407563,0.75,0.5,0.03320195187093831,-0.09831060491628263,0.6657797044195214,0,54400,0.29520463943481445
equal,snis,1,4,64,True,0,100,0.7157411030248007,1.0,0.0,0.9100419412726773,0.17224007276666817,nan,0,27200,0.15511345863342285
equal,snis,1,4,64,True,1,300,1.7142191157611193,0.75,0.5,0.6737308412496371,0.2521194946160642,0.9663630846465249,0,54400,0.3021237850189209
equal,snis,2,8,16,False,0,300,0.12377845238588336,1.0,0.5,0.029914616434630434,0.17906491239308536,0.8395201317920136,0,38400,0.29671239852905273
equal,snis,2,8,16,False,1,300,0.09158852329892131,0.75,0.5,0.0252537650517828,0.1133543163133084,0.8653362775394366,0,38400,0.2999446392059326
equal,snis,2,8,16,True,0,100,0.26056244610231727,1.0,0.25,0.43935125695667343,1.9073295893250228,nan,0,19200,0.1497511863708496
equal,snis,2,8,16,True,1,100,0.22155871632401247,1.0,0.25,0.2795241327279966,0.9232036235162973,nan,0,19200,0.15079879760742188
equal,snis,2,8,64,False,0,100,0.113108194613321,1.0,0.25,0.20037508866089088,1.0045590189900264,nan,0,57600,0.15383434295654297
equal,snis,2,8,64,False,1,300,0.2277418653331238,1.0,0.75,0.017320087914933575,0.14761548123878554,0.8561989243115267,0,115200,0.2951788902282715
equal,snis,2,8,64,True,0,100,0.2998574094985864,1.0,0.25,0.19985730779178132,1.0846729762676839,nan,0,57600,0.15145254135131836
equal,snis,2,8,64,True,1,300,0.37622025260907854,1.0,0.0,0.19022312589307394,0.04722449840262481,nan,0,115200,0.3010530471801758
equal,snis,4,16,16,False,0,300,0.10336639546218551,0.75,0.5,0.018865627478347937,nan,nan,0,102400,0.30330848693847656
