arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,training_batch,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
pqt-B128,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0033793999755289406,1024,1024,960,0,4800.0,256,0.04140931855929586,0.21792457474111507,0.2621759506723978,0.95,0.15281250000000002,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0036508000048343092,1024,1024,960,0,4800.0,256,0.021710184057458948,0.1893119014072038,0.22788529515458686,0.91,0.1628125,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.00298400002066046,1024,1024,960,0,4800.0,256,0.021014233985410913,0.17535214108088842,0.2394061643206261,0.97,0.20890625,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0028424000192899257,1024,1024,960,0,4800.0,256,0.0233978882507353,0.20210426801988388,0.27810093441118905,0.97,0.14859374999999997,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0028714999789372087,1024,1024,960,0,4800.0,256,0.04871383012915942,0.2892114074894217,0.36420267809658535,0.9599999999999997,0.16296875000000008,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,missing,LBQCD-D03-unequal-min020-K12/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.003003100020578131,1024,1024,960,0,4800.0,256,0.056305647914213,0.48580198609510555,0.6196751644951896,0.9599999999999997,0.18937500000000004,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D04-unequal-min015-K14,unequal,concentrated,LBQCD-D04-unequal-min015-K14/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0028707000019494444,1024,1024,960,0,4800.0,256,0.04535894496040438,0.3068052842142759,0.38191730870754464,0.9650000000000001,0.19656249999999997,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D04-unequal-min015-K14,unequal,missing,LBQCD-D04-unequal-min015-K14/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.002893400000175461,1024,1024,960,0,4800.0,256,0.027836087454385705,0.31503105268703274,0.4669999986804531,0.9650000000000001,0.21124999999999994,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D05-unequal-min010-K18,unequal,concentrated,LBQCD-D05-unequal-min010-K18/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.003135799983283505,1024,1024,960,0,4800.0,256,0.03389826342313995,0.3431305136711663,0.3977158685551321,0.9317647058823528,0.23907169117647065,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D05-unequal-min010-K18,unequal,missing,LBQCD-D05-unequal-min010-K18/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0030485999886877835,1024,1024,960,0,4800.0,256,0.03206158422119554,0.3173522648448304,0.37652065987875255,0.9317647058823528,0.22982536764705885,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D06-unequal-min005-K20,unequal,concentrated,LBQCD-D06-unequal-min005-K20/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0032211999932769686,1024,1024,960,0,4800.0,256,0.05876942122116979,0.4671822989379172,0.551962561547053,0.8902631578947371,0.28856907894736833,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D06-unequal-min005-K20,unequal,missing,LBQCD-D06-unequal-min005-K20/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.0029386999958660454,1024,1024,960,0,4800.0,256,0.05292208758293171,0.46566017675714644,0.5897114436109807,0.8902631578947371,0.23461348684210517,30,1,0
pqt-B128,persistent-quantile-transport,LBQCD-D12-connected-normal,control-connected,concentrated,LBQCD-D12-connected-normal/concentrated,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.002834500017343089,1024,1024,960,0,4800.0,256,0.0052714936676685475,0.07075834981644763,0.12807622111662875,1.0,0.0,1,0,0
pqt-B128,persistent-quantile-transport,LBQCD-D12-connected-normal,control-connected,missing,LBQCD-D12-connected-normal/missing,0,30,30,32,128,1.0,0,0,nan,0.0078125,0.002833699982147664,1024,1024,960,0,4800.0,256,0.010064876480032625,0.10777203334035934,0.18736433938056307,1.0,0.0,1,0,0
