arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.25795373866925386,0.4009518975107712,0.5860576231764748,0.5157780647277832,1.4706745202556386,0.75,0.5703125,nan,16,1024,2048,32,2048,2048,262144,2031616.0,0,34304,0,0.0197861999986344,0.0,0.0,0.0,0.5369254797697067
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.2588294359450276,0.4011674170525242,0.5835158687996609,0.5186320543289185,1.4634613209956384,0.75,0.5625,nan,16,1024,2048,32,2048,2048,262144,589824.0,0,34304,72960,0.0179742999971495,0.0,0.0,0.0,0.5400292128324509
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18858900964166425,0.3389830673207696,0.571703249837342,0.581899106502533,1.337168191396511,0.5,0.53515625,nan,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,34304,0,0.04330159999517491,0.25,0.25,7.950160064784894,0.5875087678432465
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18847827472613377,0.3397130952320628,0.5684794524505854,0.5855470299720764,1.3286987779487593,0.75,0.51171875,nan,16,1024,2048,32,2048,3072,262144,589824.0,1048576,34304,72960,0.04042450000270037,0.25,0.25,7.928809525383134,0.5896391868591309
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18847827472613377,0.3397130952320628,0.5684794524505854,0.5855470299720764,1.3286987779487593,0.75,0.51171875,nan,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,34304,72960,0.0496599000034621,0.25,0.25,7.928809525383134,0.5896391868591309
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0674624015330001,0.2146550183678224,0.506970448718478,0.7056624293327332,3.3156045162328582,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,2031616.0,0,35328,0,0.017274699996050913,0.0,0.0,0.0,0.7490766644477844
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06719001232667532,0.21406668213792995,0.5064777397009387,0.7060366272926331,3.3215591452750832,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,589824.0,0,35328,72960,0.01771780000126455,0.0,0.0,0.0,0.7490993738174438
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.058070228973762905,0.19646870597446325,0.46432901003246047,0.796012282371521,3.1742148542689375,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,35328,0,0.051187200006097555,0.25,0.25,19.27988115221555,0.8445513248443604
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05782433139149257,0.19599940180780415,0.46442926821691805,0.7952572703361511,3.19177682080606,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,589824.0,1048576,35328,72960,0.04645369999343529,0.25,0.25,19.29374759794441,0.8445086479187012
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05782433139149257,0.19599940180780415,0.46442926821691805,0.7952572703361511,3.19177682080606,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,35328,72960,0.057911600000807084,0.25,0.25,19.29374759794441,0.8445086479187012
