arm,lr_multiplier,learning_rate,target,family,dimension,replication,initialization,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters
paper-neural,0.25,0.00025,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7394857581940366,0.6669302455566567,0.8904540405555254,0.12543238699436188,1.0204893436616487,0.75,0.51953125,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06281019999732962,4610
paper-neural,0.5,0.0005,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.23766919151114463,0.4104254692166824,0.5832092996491389,0.6521580219268799,1.0005422545248748,0.75,0.58984375,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06283039999834727,4610
paper-neural,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.21375216793684482,0.410357802252292,0.5282712460934896,0.8883784413337708,1.00020192654456,0.5,0.9453125,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.05767539999942528,4610
paper-neural,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.19879321413087903,0.39893954966563777,0.5148325782487675,0.888742983341217,1.0011779955607631,0.5,0.69140625,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.0614173999929335,4610
paper-neural,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.18563444162057818,0.37944037278299964,0.4811113109263996,0.9362337589263916,1.0070082524413724,1.0,0.20703125,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06255200000305194,4610
paper-neural,8.0,0.008,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.08194100258328563,0.23468600589817562,0.3395166550753204,0.9884293675422668,1.0701066239391197,1.0,0.25,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06088109999836888,4610
paper-neural,16.0,0.016,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.07760696696792158,0.18649849758871712,0.24024637409657995,1.0260745286941528,1.0113779528032854,1.0,0.28515625,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.06106359999830602,4610
paper-neural,32.0,0.032,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.043859068484441543,0.17485093470359828,0.2542210653990898,0.9868600368499756,1.0676339203675675,0.75,0.4296875,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.05997599999682279,4610
minibatch-sw,0.25,0.00025,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.5782943403726417,0.5877966886310173,0.7951877024081601,0.24187679588794708,1.54968094678016,0.75,0.71875,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.0815736000004108,4610
minibatch-sw,0.5,0.0005,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.24359576013770834,0.39346855955733934,0.559263345405912,0.6146498322486877,1.3267469901438282,0.75,0.453125,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.0843105999956606,4610
minibatch-sw,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.186788674943545,0.387306088493336,0.48553703733993875,0.9069319367408752,1.2194213810097427,0.75,0.28125,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08184869999968214,4610
minibatch-sw,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.16907549332469074,0.3543002005037863,0.4706622336887895,0.8511703610420227,1.1050534984023055,1.0,0.19921875,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08219200000166893,4610
minibatch-sw,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.16041189561204305,0.3427138570022609,0.4572999290536876,0.8254106044769287,1.1854521600307057,0.75,0.3046875,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08408369999960996,4610
