arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04416949999722419,0.0002657000004546717,0.005012800000258721,0.049447999997937586,64,64,3,3,3.8960485534231983,1.45194654838736,0.18364967612169236,0.3382731970193547,0.5602558099702968,0.6024906039237976,1.282455374409782,0.75,0.515625,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,4096,1,524288,0.0007698729750700295,0.9999998807907104,0.00022542815713677555,0.016237106174230576,0.00023649015929549932,0.2221752107143402,0.08435674756765366,0.9393599033355713,0.022029688756447285,0.17331205308437347,4,4,28.5,0,34304,0,0.04416949999722419,0.25,0.25,0.25,8.003477135615672,0.5906881988048553
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04195880000042962,0.0002530999990995042,0.0047229999981937,0.04693489999772282,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055773617021131816,0.19157025973284392,0.4617140979326074,0.7999784350395203,3.1417332119091306,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,8192,1,524288,0.030949661508202553,0.999781608581543,0.008081446401774883,0.06755778193473816,0.008199162781238556,2.582242012023926,0.5605930984020233,2.282465934753418,0.1130236592143774,0.45980921387672424,4,4,30.0,0,35328,0,0.04195880000042962,0.25,0.25,0.25,19.309304639481073,0.8520745933055878
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04241500000352971,0.0003422999943722971,0.004957599994668271,0.04771489999257028,64,64,36,36,0.3208946893756642,8.81419112995982,0.0674073916124538,0.16091042172785663,0.26776268385304813,0.8046989440917969,5.745098886860756,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.3160933628678322,1.1045235395431519,4,4,26.25,0,37376,0,0.04241500000352971,0.25,0.25,0.25,47.500084265769814,1.0905449986457825
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.04328679999889573,0.017852200006018393,0.013622200000099838,0.07476120000501396,64,192,136,136,0.18133241385215962,19.103598422078235,0.07308395931118117,0.1422593288545868,0.2395514225880734,0.8524156212806702,8.91374962894237,nan,nan,nan,16,1024,2048,32,2048,3072,491520,393216,98304,4706304.0,4325376.0,380928.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,32768,1,524288,0.4226010739803314,0.9984101057052612,0.051010653376579285,0.05610572546720505,0.053961124271154404,205.809814453125,2.347807288169861,7.593757629394531,0.6496097967028618,1.994373083114624,4,4,27.75,0,123392,0,0.04328679999889573,0.25,0.25,0.25,21.028330880415037,1.4895012974739075
