arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_base_local_representative_count,registered_effective_local_representative_count,registered_high_dimensional_local_representative_count,registered_representative_capacity_threshold_dimension,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,component_core_coverage,rare_core_mass,rare_bridge_mass,outside_component_core_mass,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,registered_global_rollout_steps,registered_global_rollout_step_size,rollout_local_after_global,per_particle_local_safety,tail_balanced_amortization,tail_balance_fraction,mean_global_rollout_displacement_rms,mean_local_positive_weight_fraction,maximum_teacher_rare_core_count,steps_with_teacher_rare_core,final_teacher_rare_core_count,maximum_run_rare_core_count,maximum_teacher_rare_nearest_count,final_teacher_rare_nearest_count,maximum_run_rare_nearest_count,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-adaptive-rollout,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,0,2026072201,1.0,0.15,0.29075429999647895,0.00029350000113481656,0.055453399996622466,0.0,0.34650119999423623,64,64,3,3,3.7431616318430043,1.5112503294994344,0.006650545795884533,0.06831508227292452,0.1051892951904373,1.0156222581863403,1.7163876831016973,1.0,0.0390625,nan,1.0,0.2705078125,0.01513671875,0.162109375,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,2894921893,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.020287584979087114,0.9998317956924438,0.0027867170283570886,0.04344232566654682,0.00853392481803894,2.0664074420928955,0.1356921173632145,1.5849329233169556,0.12096524488879368,0.9588664174079895,4,4,7.0,0,67584,0,0.29075429999647895,0.25,0.25,0.25,4.541802435571253,0.16260706204921008,1,0.5,0,0,0,0.0,0.14103515017777682,1.0,238,20,135,250,234,112,512,0.0,0.0,0.0
cta-exact-gated-hybrid,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,1,2026072201,1.0,0.15,0.29299019999598386,0.00029350000113481656,0.055453399996622466,0.0,0.34873709999374114,64,64,3,3,3.7431616318430043,1.5112503294994344,0.006650545795884533,0.06831508227292452,0.1051892951904373,1.0156222581863403,1.7163876831016973,1.0,0.0390625,nan,1.0,0.2705078125,0.01513671875,0.162109375,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,2894921893,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.020287584979087114,0.9998317956924438,0.0027867170283570886,0.04344232566654682,0.00853392481803894,2.0664074420928955,0.1356921173632145,1.5849329233169556,0.12096524488879368,0.9588664174079895,4,4,7.0,0,67584,0,0.29299019999598386,0.25,0.25,0.25,4.541802435571253,0.16260706204921008,1,0.5,0,0,0,0.0,0.14103515017777682,1.0,238,20,135,250,234,112,512,0.0,0.0,0.0
cta-exact-fixed-control,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,2,2026072201,1.0,0.15,0.32548900000256253,0.00029350000113481656,0.055453399996622466,0.0,0.3812359000003198,64,64,3,3,3.7431616318430043,1.5112503294994344,0.006650545795884533,0.06831508227292452,0.1051892951904373,1.0156222581863403,1.7163876831016973,1.0,0.0390625,nan,1.0,0.2705078125,0.01513671875,0.162109375,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,2894921893,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.020287584979087114,0.9998317956924438,0.0027867170283570886,0.04344232566654682,0.00853392481803894,2.0664074420928955,0.1356921173632145,1.5849329233169556,0.12096524488879368,0.9588664174079895,4,4,7.0,0,67584,0,0.32548900000256253,0.25,0.25,0.25,4.541802435571253,0.16260706204921008,1,0.5,0,0,0,0.0,0.14103515017777682,1.0,238,20,135,250,234,112,512,0.0,0.0,0.0
paper-neural-optimized,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,128,0,256,8,2,dense,0.0,3,2026072201,1.0,0.15,0.33085099999880185,0.0,0.0,0.0,0.33085099999880185,64,64,3,3,3.7431616318430043,1.5112503294994344,0.029519913112901364,0.13917272884237594,0.17321875227663502,1.022994875907898,1.6338400023339648,1.0,0.2001953125,nan,1.0,0.359375,0.013671875,0.18359375,320,20480,20480,320,20480,20480,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.33085099999880185,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
cta-exact-adaptive-rollout,NCT-d2-balanced-gmm-i1,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,0,2026072201,1.0,0.15,0.3121967000042787,0.00028610000299522653,0.050031200000375975,0.0,0.3625140000076499,64,64,3,3,3.6662744513637326,1.5429434769642567,0.0070504290292077165,0.07137404124573248,0.10086032607866038,0.9884397387504578,1.9215782483361048,1.0,0.04121093749999999,nan,1.0,0.1337890625,0.0634765625,0.23388671875,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,282737197,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.005521732731722295,0.9999759793281555,0.0014361576904775575,0.029006341472268105,0.004551560152322054,0.678520917892456,0.13844485618174077,1.6071432828903198,0.11461788959568367,0.895209789276123,4,4,7.0,0,67584,0,0.3121967000042787,0.25,0.25,0.25,5.0275152808432555,0.1620619859546423,1,0.5,0,0,0,0.0,0.1388101249933243,1.0,85,19,78,84,123,109,142,0.0,0.0,0.0
cta-exact-fixed-control,NCT-d2-balanced-gmm-i1,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,1,2026072201,1.0,0.15,0.2874459999948158,0.00028610000299522653,0.050031200000375975,0.0,0.337763299998187,64,64,3,3,3.6662744513637326,1.5429434769642567,0.0070504290292077165,0.07137404124573248,0.10086032607866038,0.9884397387504578,1.9215782483361048,1.0,0.04121093749999999,nan,1.0,0.1337890625,0.0634765625,0.23388671875,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,282737197,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.005521732731722295,0.9999759793281555,0.0014361576904775575,0.029006341472268105,0.004551560152322054,0.678520917892456,0.13844485618174077,1.6071432828903198,0.11461788959568367,0.895209789276123,4,4,7.0,0,67584,0,0.2874459999948158,0.25,0.25,0.25,5.0275152808432555,0.1620619859546423,1,0.5,0,0,0,0.0,0.1388101249933243,1.0,85,19,78,84,123,109,142,0.0,0.0,0.0
cta-exact-gated-hybrid,NCT-d2-balanced-gmm-i1,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,2,2026072201,1.0,0.15,0.28150299999833805,0.00028610000299522653,0.050031200000375975,0.0,0.33182030000170926,64,64,3,3,3.6662744513637326,1.5429434769642567,0.0070504290292077165,0.07137404124573248,0.10086032607866038,0.9884397387504578,1.9215782483361048,1.0,0.04121093749999999,nan,1.0,0.1337890625,0.0634765625,0.23388671875,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,282737197,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.005521732731722295,0.9999759793281555,0.0014361576904775575,0.029006341472268105,0.004551560152322054,0.678520917892456,0.13844485618174077,1.6071432828903198,0.11461788959568367,0.895209789276123,4,4,7.0,0,67584,0,0.28150299999833805,0.25,0.25,0.25,5.0275152808432555,0.1620619859546423,1,0.5,0,0,0,0.0,0.1388101249933243,1.0,85,19,78,84,123,109,142,0.0,0.0,0.0
paper-neural-optimized,NCT-d2-balanced-gmm-i1,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,128,0,256,8,2,dense,0.0,3,2026072201,1.0,0.15,0.32699800000409596,0.0,0.0,0.0,0.32699800000409596,64,64,3,3,3.6662744513637326,1.5429434769642567,0.016818796938506075,0.09937978982048375,0.13633459631121045,0.9710916876792908,1.8154825163871757,1.0,0.09394531249999999,nan,1.0,0.13623046875,0.08056640625,0.2080078125,320,20480,20480,320,20480,20480,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.32699800000409596,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
paper-neural-optimized,NCT-d2-rare-gmm-i0,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,0,128,0,256,8,2,dense,0.0,0,2026072201,1.0,0.15,0.31951529999787454,0.0,0.0,0.0,0.31951529999787454,64,64,3,3,3.7060215193490462,1.5263954135069338,0.01622992387393829,0.12674508147472033,0.36422931465655445,0.859947681427002,1.9725913544915799,0.5,0.04000000000000002,0.02,0.5,0.0,0.0,0.001953125,320,20480,20480,320,20480,20480,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.31951529999787454,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0
cta-exact-fixed-control,NCT-d2-rare-gmm-i0,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,128,128,256,8,2,fixed-level,0.0,1,2026072201,1.0,0.15,0.28362410000409,0.00019559999782359228,0.04924580000079004,0.0,0.33306550000270363,64,64,3,3,3.7060215193490462,1.5263954135069338,0.010411820044037956,0.11069472888643235,0.2020637741038967,0.8981744647026062,1.9540369949752667,1.0,3.906249999998182e-05,1.9531249999999584e-05,0.5,0.00439453125,0.015625,0.06396484375,160,10240,20480,320,20480,30720,1781760,1310720,0,471040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,3014297347,32,16,20,20,2621440,10485760,128,fixed-level,0.0,7,143360,860160.0,40960,2,1048576,0.019584214314818382,0.9999577403068542,0.0006299373490037397,0.04466245323419571,0.0019051559502258897,7.611802577972412,0.27230226770043375,3.6836650371551514,0.16965040408540516,1.8757588863372803,4,4,7.0,0,67584,0,0.28362410000409,0.25,0.25,0.25,8.523200681925484,0.22194628342986106,1,0.5,0,0,0,0.0,0.1947019349783659,1.0,7,12,7,3,14,12,23,0.0,0.0,0.0
