arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,0,0.0154746000043815,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24107910628413665,0.3852011028118414,0.5688062321207951,0.5412367582321167,1.347081369400936,0.75,0.5234375,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,72960,0.016657000000122935,0.0,0.0,0.0,0.0,0.5399247854948044
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.1835612652373011,0.3382710855301695,0.5596801055877444,0.6029744148254395,1.2814661523412163,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.020888893865048885,0.9997843503952026,0.001967700110981241,0.04561409540474415,0.012442599050700665,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.023915138794109225,0.1552790105342865,34304,0,0.03672519999963697,0.25,0.25,0.25,8.1296067753319,0.5909262597560883
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.1816505876402954,0.33670033221610324,0.5539404494153083,0.6097217202186584,1.2800093262267522,0.75,0.5078125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.020934566855430603,0.9997828006744385,0.001967721647815779,0.0456510242074728,0.012435851618647575,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.024268143577501178,0.18042926490306854,34304,72960,0.03220500000315951,0.25,0.25,0.25,8.16108307252955,0.5926152765750885
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.1937215109086563,0.3457147953216359,0.5520619089940326,0.5892537236213684,1.3182574025289604,0.75,0.515625,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.016933167353272438,0.9999376535415649,0.0025113617593888193,0.046783650293946266,0.011815834790468216,3.9257969856262207,0.15585214644670486,1.8193203210830688,0.026027587009593844,0.18047909438610077,34304,72960,0.03745319999870844,0.125,0.0,0.125,7.040643671204838,0.5728251934051514
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,0,0.015064399995026179,0.0,0.0,0.0,0.0,0.7585066854953766
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06523599951478731,0.21171276108273956,0.5042425192012372,0.7051717638969421,3.358642738344645,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,72960,0.015722699994512368,0.0,0.0,0.0,0.0,0.7557356357574463
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055747855743311536,0.19138516341674283,0.461579104370234,0.8015684485435486,3.1362429089003547,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.060643792152404785,0.996943473815918,0.016665028408169746,0.11233498528599739,0.03997359052300453,26.62895393371582,0.6408268511295319,3.570643186569214,0.12365214107558131,0.5128332376480103,35328,0,0.03304619999835268,0.25,0.25,0.25,19.61842124958582,0.8522603809833527
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05586225997746608,0.19121805182775434,0.46257043343616683,0.7975236177444458,3.1185534033340603,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.058576442301273346,0.9972788691520691,0.01677386462688446,0.11204038187861443,0.04095780476927757,26.62895393371582,0.6408268511295319,3.570643186569214,0.12417587963864207,0.5131547451019287,35328,72960,0.034239000000525266,0.25,0.25,0.25,19.309671978733768,0.8508969247341156
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05668578068222052,0.1915435393917572,0.48704739988300816,0.7657297253608704,3.3859679045444366,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.06188004091382027,0.997303307056427,0.016510961577296257,0.1112402193248272,0.03699101507663727,26.62895393371582,0.6408268511295319,3.570643186569214,0.12189282802864909,0.5077584385871887,35328,72960,0.03901179999957094,0.125,0.0,0.125,18.21296451170686,0.8001333475112915
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37376,0,0.015679500000260305,0.0,0.0,0.0,0.0,0.987597644329071
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.0660322339035666,0.15983864792709032,0.2717306378335136,0.7878303527832031,5.960009252230821,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37376,72960,0.015603800005919766,0.0,0.0,0.0,0.0,1.000448226928711
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06594321304826334,0.15926667037267403,0.26259712121256834,0.8148306608200073,5.8814457885947835,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22296682372689247,0.9666253924369812,0.06380144460126758,0.16911600530147552,0.13996247947216034,1928.686767578125,1.4847866892814636,7.888912677764893,0.3391071818768978,1.2314242124557495,37376,0,0.03348030000051949,0.25,0.25,0.25,43.228749392244936,1.0908148288726807
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06360790291779672,0.15661244742571595,0.2578156988959186,0.822462797164917,5.884550129140762,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22282066196203232,0.9666253924369812,0.0649225334636867,0.16989397257566452,0.14331096410751343,1923.3089599609375,1.4847866892814636,7.888912677764893,0.3448098562657833,1.2611204385757446,37376,72960,0.033024600001226645,0.25,0.25,0.25,43.53426213129221,1.1052834391593933
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,36,36,0.3208946893756642,8.81419112995982,0.06360790291779672,0.15661244742571595,0.2578156988959186,0.822462797164917,5.884550129140762,nan,nan,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22282066196203232,0.9666253924369812,0.0649225334636867,0.16989397257566452,0.14331096410751343,1923.3089599609375,1.4847866892814636,7.888912677764893,0.3448098562657833,1.2611204385757446,37376,72960,0.040975399999297224,0.25,0.25,0.25,43.53426213129221,1.1052834391593933
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,192,136,136,0.18133241385215962,19.103598422078235,0.08887023304067565,0.15110729830074524,0.24832470133268997,0.8422200083732605,9.032258281322868,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,4620288.0,4325376.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123392,0,0.01622549999592593,0.0,0.0,0.0,0.0,1.3960473239421844
cta-kll-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,192,136,136,0.18133241385215962,19.103598422078235,0.08712571661163349,0.1498107645908233,0.24751877001807485,0.8409693837165833,9.02090916610731,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,294912.0,0.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123392,218880,0.01614500000141561,0.0,0.0,0.0,0.0,1.3958478271961212
