arm,kind,rho,local_kind,metric,quantile_weight,minimum_gradient_agreement,minimum_ascent_cosine,minimum_signal_to_null,maximum_correction_ratio,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,safety_robust_ascent_fraction,safety_intervention_fraction,safety_cap_rejected_fraction,safety_local_rejected_fraction,median_correction_metric_norm,p90_correction_metric_norm,median_correction_ratio,p90_correction_ratio,median_gradient_cosine,median_proposal_cosine,median_safety_ascent_cosine,median_safety_signal_to_null,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.06663715951724414,0.28133897307154454,0.4060374836355609,0.9930000000000002,0.04194531249999998,0.019257812499999985,0.06611857280205058,0.2797961786593558,0.40827682217596556,0.9930000000000002,0.04780468749999998,0.014898437499999917,0.06696787852127861,0.278423617715802,0.4037864144386017,0.9930000000000002,0.05757031249999998,0.020722656249999985,-0.0008493057192280329,0.0013725609435538133,-0.0003307190040344743,0.002915355355742555,280,0,330,0,0.008333333333333333,0.0,0.0,0.0,0,0.03333333333333333,0.008333333333333333,0.025,0.0,0.003270873280648848,0.0064537179412421895,0.6593623780810136,0.6971805406610189,-0.05884319341909118,nan,-0.4740409269758187,0.8374515372109789,-0.0003543198885280988,-7.565122411214411e-05,"{""cap-rejected"": 3, ""inactive"": 116, ""intervened"": 1}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,2,1,6.59375,3,3824.923256631003,20.51566579999053
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.06664298509405642,0.2813429588907855,0.40604463012597625,0.9930000000000002,0.04292187499999998,0.019257812499999985,0.06610466419891559,0.2797788890900116,0.4081605098669072,0.9930000000000002,0.04682812499999998,0.014410156249999917,0.06696787852127861,0.278423617715802,0.4037864144386017,0.9930000000000002,0.05757031249999998,0.020722656249999985,-0.0008632143223630262,0.001355271374209599,-0.00032489342722219483,0.002919341174983492,280,0,330,0,0.0,0.0,0.0,0.0,0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.003446946533222607,0.003446946533222607,0.6365166693578158,0.6365166693578158,-0.05884319341909118,nan,-0.47412258949381003,0.8374094237425849,-0.00035483386373375426,-7.514700496562144e-05,"{""cap-rejected"": 1, ""inactive"": 119}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,concentrated,QGD-D01-rare007/concentrated,2,1,6.59375,3,3824.923256631003,26.663806900003692
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.032274183477851714,0.24034474941579212,0.40338039596454806,0.9930000000000002,0.06440624999999998,0.024097656250000016,0.03242233875898459,0.24368464690097677,0.404561109939613,0.9930000000000002,0.07196093749999986,0.028980468750000016,0.043594645163582246,0.27876036919894476,0.41932666783860145,0.9930000000000002,0.07489062499999986,0.030445312500000016,-0.011172306404597654,-0.03507572229796799,-0.011320461685730532,-0.03841561978315264,280,0,360,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,6.9375,3,3855.782811153726,7.414543999999296
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.032274183477851714,0.24034474941579212,0.40338039596454806,0.9930000000000002,0.06440624999999998,0.024097656250000016,0.03242233875898459,0.24368464690097677,0.404561109939613,0.9930000000000002,0.07196093749999986,0.028980468750000016,0.043594645163582246,0.27876036919894476,0.41932666783860145,0.9930000000000002,0.07489062499999986,0.030445312500000016,-0.011172306404597654,-0.03507572229796799,-0.011320461685730532,-0.03841561978315264,280,0,360,0,0.0,0.0,0.0,0.0,0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.009996597680087618,0.009996597680087618,0.6132103240345312,0.6132103240345312,0.12154357072056174,nan,-0.4858484766793755,0.8530681928587142,-0.0006824655099923713,-0.000124591145668747,"{""cap-rejected"": 1, ""inactive"": 119}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,6.9375,3,3855.782811153726,13.862984100007452
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.03226121175528052,0.2402619774835083,0.40336296115832465,0.9930000000000002,0.06538281249999998,0.024585937500000016,0.03240983883294035,0.24364737219740978,0.4045162785844532,0.9930000000000002,0.07293749999999986,0.029468750000000016,0.043594645163582246,0.27876036919894476,0.41932666783860145,0.9930000000000002,0.07489062499999986,0.030445312500000016,-0.011184806330641894,-0.035112997001534973,-0.01133343340830173,-0.03849839171543645,280,0,360,0,0.008333333333333333,0.0,0.0,0.0,0,0.05,0.008333333333333333,0.041666666666666664,0.0,0.0026545193362587974,0.007681139328302245,0.33384581190490836,0.5925545947521188,0.11774878510875272,nan,-0.4863674320384177,0.85307919067269,-0.0006850899653412857,-0.0001245006596665419,"{""cap-rejected"": 5, ""inactive"": 114, ""intervened"": 1}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,6.9375,3,3855.782811153726,20.192363899986958
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.032274183477851714,0.24034474941579212,0.40338039596454806,0.9930000000000002,0.06440624999999998,0.024097656250000016,0.03242233875898459,0.24368464690097677,0.404561109939613,0.9930000000000002,0.07196093749999986,0.028980468750000016,0.043594645163582246,0.27876036919894476,0.41932666783860145,0.9930000000000002,0.07489062499999986,0.030445312500000016,-0.011172306404597654,-0.03507572229796799,-0.011320461685730532,-0.03841561978315264,280,0,360,0,0.0,0.0,0.0,0.0,0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.009996597680087618,0.009996597680087618,0.6132103240345312,0.6132103240345312,0.12154357072056174,nan,-0.4858484766793755,0.8530681928587142,-0.0006824655099923713,-0.000124591145668747,"{""cap-rejected"": 1, ""inactive"": 119}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,6.9375,3,3855.782811153726,26.4085492999875
lbqcd,paper,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04469803743420142,0.2734784381502163,0.39424497917463225,0.9930000000000002,0.07319531249999998,0.019746093749999985,0.04514914295879313,0.26897689632962524,0.4088250581995013,0.9930000000000002,0.05854687499999998,0.029058593749999917,0.04956671598911999,0.30289957224827696,0.4136654302515419,0.9930000000000002,0.07146093750000003,0.030976562499999985,-0.00441757303032686,-0.033922675918651723,-0.004868678554918571,-0.029421134098060686,280,0,360,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,{},400.0,9080.0,581120.0,294400.0,983040.0,5734400.0,294400.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,1,1,6.15625,3,3856.261507721629,7.510183800011873
qsafe-balanced,safety,0.0,paper,adam,0.0,0.25,0.05,1.5,0.25,0.04469803743420142,0.2734784381502163,0.39424497917463225,0.9930000000000002,0.07319531249999998,0.019746093749999985,0.04514914295879313,0.26897689632962524,0.4088250581995013,0.9930000000000002,0.05854687499999998,0.029058593749999917,0.04956671598911999,0.30289957224827696,0.4136654302515419,0.9930000000000002,0.07146093750000003,0.030976562499999985,-0.00441757303032686,-0.033922675918651723,-0.004868678554918571,-0.029421134098060686,280,0,360,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.11322435182961633,nan,-0.4655828602268981,0.9021943039180589,-0.00041959700345585877,-0.00010276669953146632,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,1,1,6.15625,3,3856.261507721629,14.06878410000354
qsafe-permissive,safety,0.0,paper,adam,0.0,0.1,0.02,1.25,0.25,0.04469803743420142,0.2734784381502163,0.39424497917463225,0.9930000000000002,0.07319531249999998,0.019746093749999985,0.04514914295879313,0.26897689632962524,0.4088250581995013,0.9930000000000002,0.05854687499999998,0.029058593749999917,0.04956671598911999,0.30289957224827696,0.4136654302515419,0.9930000000000002,0.07146093750000003,0.030976562499999985,-0.00441757303032686,-0.033922675918651723,-0.004868678554918571,-0.029421134098060686,280,0,360,0,0.0,0.0,0.0,0.0,0,0.008333333333333333,0.0,0.008333333333333333,0.0,0.0031638343311750695,0.0031638343311750695,0.36790808397029234,0.36790808397029234,0.11322435182961633,nan,-0.4655828602268981,0.9021943039180589,-0.00041959700345585877,-0.00010276669953146632,"{""cap-rejected"": 1, ""inactive"": 119}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,1,1,6.15625,3,3856.261507721629,20.228327400021954
qsafe-strict,safety,0.0,paper,adam,0.0,0.5,0.05,2.0,0.15,0.04469803743420142,0.2734784381502163,0.39424497917463225,0.9930000000000002,0.07319531249999998,0.019746093749999985,0.04514914295879313,0.26897689632962524,0.4088250581995013,0.9930000000000002,0.05854687499999998,0.029058593749999917,0.04956671598911999,0.30289957224827696,0.4136654302515419,0.9930000000000002,0.07146093750000003,0.030976562499999985,-0.00441757303032686,-0.033922675918651723,-0.004868678554918571,-0.029421134098060686,280,0,360,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,0.11322435182961633,nan,-0.4655828602268981,0.9021943039180589,-0.00041959700345585877,-0.00010276669953146632,"{""inactive"": 120}",400.0,9200.0,588800.0,302080.0,983040.0,6010880.0,309760.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,1,1,6.15625,3,3856.261507721629,26.2847277999972
