arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged,tau,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_gap_count,diagnostic_max_gap_ratio,generator_forward_calls,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,10,1200,1200,,,,,,4096,1,6.1875,,4.206448199984152,1766400,906240,906240,11796480,17203200.0,,0.018147886735705665,0.18066407773489063,,0.9600000000000001,0.034843750000000014,100,0,0,0.5,update,1024,0.7,0,0.0,5,2218.4188113395794,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,11,1200,1200,,,,,,4096,1,5.875,,4.21844090000377,1766400,906240,906240,11796480,17203200.0,,0.01751464805323133,0.18680892266470242,,1.0,0.049238281250000036,100,0,0,0.5,update,1024,0.7,0,0.0,5,2243.956460361505,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,12,1200,1200,,,,,,4096,1,5.5625,,4.259906199993566,1766400,906240,906240,11796480,17203200.0,,0.015118776277677437,0.17974666001199446,,1.0,0.05201171875000001,100,0,0,0.5,update,1024,0.7,0,0.0,5,2176.4664550085135,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,13,1200,1200,,,,,,4096,1,5.375,,4.726629199984018,1766400,906240,906240,11796480,17203200.0,,0.01976985654100405,0.2131152207993214,,1.0,0.055839843750000014,100,0,0,0.5,update,1024,0.7,0,0.0,5,2051.937667722097,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,14,1200,1200,,,,,,4096,1,6.0625,,4.321585700003197,1766400,906240,906240,11796480,17203200.0,,0.0209784068619574,0.21477688649975651,,1.0,0.08033203125000002,100,0,0,0.5,update,1024,0.7,0,0.0,5,2135.1125089994343,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,15,1200,1200,,,,,,4096,1,6.125,,4.609985899995081,1766400,906240,906240,11796480,17203200.0,,0.012708286781460743,0.16968407275360356,,0.9600000000000001,0.025859374999999983,100,0,0,0.5,update,1024,0.7,0,0.0,5,2222.114871750693,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,16,1200,1200,,,,,,4096,1,5.5625,,4.3910261999990325,1766400,906240,906240,11796480,17203200.0,,0.015778558987251667,0.19984014091808625,,1.0,0.06087890625000004,100,0,0,0.5,update,1024,0.7,0,0.0,5,2170.9131148076535,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,17,1200,1200,,,,,,4096,1,5.6875,,4.480749600013951,1766400,906240,906240,11796480,17203200.0,,0.023562030831917102,0.2145484713618319,,1.0,0.08912109375000002,100,0,0,0.5,update,1024,0.7,0,0.0,5,2223.2572112649186,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,18,1200,1200,,,,,,4096,1,5.0625,,4.534844699985115,1766400,906240,906240,11796480,17203200.0,,0.03368792731315384,0.18766566679931948,,1.0,0.03638671875000001,100,0,0,0.5,update,1024,0.7,0,0.0,5,2145.438425835985,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,concentrated,PQTC-F01-unequal-translated-K6/concentrated,19,1200,1200,,,,,,4096,1,5.625,,4.592230300011579,1766400,906240,906240,11796480,17203200.0,,0.0170296605807847,0.2036322912093898,,1.0,0.05396484375000001,50,0,0,0.5,update,1024,0.7,0,0.0,5,2342.2992944940106,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
