arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24072969894866647,0.3854853651054545,0.5726820818715046,0.5369474291801453,1.3483296029760143,0.75,0.55078125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,0,0.014953600002627354,0.0,0.0,0.0,0.0,0.5381669253110886
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.24120359969041116,0.3852180459730727,0.5687532541308744,0.5407620072364807,1.3457233342100774,0.75,0.53125,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34304,72960,0.01443450000078883,0.0,0.0,0.0,0.0,0.5409625321626663
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.18384965706578038,0.33752223431557965,0.5640190330315606,0.5981471538543701,1.2893259858431334,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.022064891178160906,0.9996865391731262,0.0030930018110666424,0.05682208016514778,0.03462925925850868,23.26328468322754,0.15585214644670486,1.8193203210830688,0.02384239691309631,0.1552693098783493,34304,0,0.0414117999971495,0.25,0.25,0.25,6.702625801420588,0.5884076058864594
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.18196981975465087,0.33597330047507196,0.5578225397638634,0.605449914932251,1.287430927734525,0.75,0.50390625,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.021987538319081068,0.9996924996376038,0.003139256179565564,0.0568278543651104,0.03505152836441994,23.26328468322754,0.15585214644670486,1.8193203210830688,0.024041092721745372,0.15844427049160004,34304,72960,0.03366899999673478,0.25,0.25,0.25,6.7158894057725815,0.5904303789138794
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,3,3,3.8960485534231983,1.45194654838736,0.19231902604066642,0.3438330886708161,0.549260627736214,0.59110027551651,1.3147373837666914,0.75,0.51171875,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,7,14336,86016.0,4096,2,1048576,0.018987915944308043,0.999851644039154,0.004147039639065042,0.061012789607048035,0.02891240082681179,23.26328468322754,0.15585214644670486,1.8193203210830688,0.02584516885690391,0.178419828414917,34304,72960,0.037991100005456246,0.125,0.0,0.125,6.077563830266664,0.5766265392303467
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,0,0.014854299995931797,0.0,0.0,0.0,0.0,0.7585066854953766
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06395089278194499,0.20956054142110808,0.5018345635281646,0.7084495425224304,3.3728268911369232,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35328,72960,0.014624000003095716,0.0,0.0,0.0,0.0,0.7589045763015747
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055166177956368134,0.19041170018170606,0.4587760670651224,0.830788254737854,3.1303837800181715,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.09820372052490711,0.9930060505867004,0.01920061095734127,0.13054994866251945,0.08169694989919662,762.4705810546875,0.6408268511295319,3.570643186569214,0.12426557717844844,0.4957735240459442,35328,0,0.032521399996767286,0.25,0.25,0.25,26.15130047040176,0.859862893819809
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.055603552156422875,0.1912672965272009,0.458956366711793,0.832739531993866,3.127447146681935,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.09704131819307804,0.9932874441146851,0.018974746606545523,0.13028967007994652,0.08172506839036942,762.4705810546875,0.6408268511295319,3.570643186569214,0.12321069417521358,0.4962952435016632,35328,72960,0.03385310000157915,0.25,0.25,0.25,26.15425165301048,0.8594226539134979
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05145183578598145,0.18205807403948215,0.47441464337033107,0.7838039398193359,3.4106934885435813,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,7,14336,86016.0,8192,2,1048576,0.09058001823723316,0.9947768449783325,0.019189433223800734,0.12752967700362206,0.07162482291460037,762.4705810546875,0.6408268511295319,3.570643186569214,0.12064466206356883,0.4750004708766937,35328,72960,0.0382439000022714,0.125,0.0,0.125,25.0520001648081,0.810305118560791
