arm,target,family,dimension,init,cell,seed,ed2,sw1,mode_coverage,mass_error,support_coverage,residual,event_time,censored,diverged,degenerate_rows,total_kernel_pairs,generator_forwards,wall_seconds,particle_spread,spread_ratio,tau,adam_lr,gain,crossfit,mask,norm_clip,pq_p10,pq_median,delta_norm_median,ess_pos_median,ess_neg_median,field_norm_median,self_leverage_mean
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,0,0.004446810738601759,0.058921720618727955,nan,nan,0.998046875,0.028417611890360354,2,0,0,0,6561792,801,0.3804557000003115,0.5026162694053065,0.9152755475114565,0.35,0.0025,paper,0,1,,0.3824173372508912,0.5162977222595295,0.04311083440166989,42.59634476215008,47.101012575066065,0.02006248361264125,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,1,0.007485253314730711,0.07302763125399046,nan,nan,0.9794921875,0.010873296071273882,1,0,0,0,6561792,801,0.35307400000237976,0.4621007175780732,0.851331809969819,0.35,0.0025,paper,0,1,,0.3452114742994131,0.5263901831779214,0.011308156871829043,45.77857481476684,44.48103529768734,0.0059480849627987775,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,2,0.0023008702701481365,0.04034836615168439,nan,nan,0.9990234375,0.047959122051885544,1,0,0,0,6561792,801,0.37928699999974924,0.5139246673521863,0.9531317198686277,0.35,0.0025,paper,0,1,,0.26387554981895645,0.5414063999037503,0.06915893066549153,42.53629015836817,41.80707611695462,0.038988367658848666,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,3,0.0013692806160487958,0.032843600048451944,nan,nan,0.994140625,0.02196207835257356,1,0,0,0,6561792,801,0.35571770000024117,0.5095425380995324,0.9347139941938227,0.35,0.0025,paper,0,1,,0.3146817804012486,0.5285464519512981,0.012763752366608556,39.96172206905224,41.05690605579611,0.007126087697016626,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,4,0.0035210039617395994,0.05333460573568253,nan,nan,0.9990234375,0.04428783023628365,1,0,0,0,6561792,801,0.36085499999899184,0.5800022961479839,1.0469757649157865,0.35,0.0025,paper,0,1,,0.39271026623146343,0.5134250456790821,0.06253805484919567,39.21441603376479,42.66296205870318,0.03261535884431606,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,5,0.008863575235704024,0.09264577031085683,nan,nan,0.9853515625,0.022300949599698448,1,0,0,0,6561792,801,0.35489049999887357,0.4729906898352317,0.8135130284525758,0.35,0.0025,paper,0,1,,0.3502780634736344,0.5395239047140257,0.03566286972519936,43.525122340073864,44.27371827410542,0.019442200599315035,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,6,0.003137330115260406,0.05078554392661936,nan,nan,0.9912109375,0.030152891441291987,1,0,0,0,6561792,801,0.3710522999972454,0.5890251284812393,1.0262387006526466,0.35,0.0025,paper,0,1,,0.3331332951578542,0.542013255533373,0.02025762984793672,41.49000816400992,39.18942700826342,0.011666514098486836,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,7,0.0022287569586614264,0.0396995290761702,nan,nan,0.9951171875,0.02310129805557597,1,0,0,0,6561792,801,0.3551186000004236,0.5365876390003756,0.9989006838860729,0.35,0.0025,paper,0,1,,0.36181322899380786,0.49709716055097874,0.026868872219381,41.32120319104944,42.16491725964923,0.012694622330008037,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,8,0.010182765728152132,0.08882054612193704,nan,nan,0.9970703125,0.021941277911812336,2,0,0,0,6561792,801,0.3639755000003788,0.5459577403798402,1.0260597510386635,0.35,0.0025,paper,0,1,,0.37738660411246067,0.5326941550478969,0.02907388574624986,41.070265763704214,41.53491857551618,0.014353352040229944,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,9,0.007243250521153932,0.07761287318275063,nan,nan,0.9912109375,0.03569941802128001,4,0,0,0,6561792,801,0.3551622999984829,0.47978761167678885,0.8510793651930233,0.35,0.0025,paper,0,1,,0.39791750789153263,0.5004069385529065,0.04587746890868147,40.439609295761386,43.85820339034392,0.022271295841948202,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,10,0.002629080295982078,0.047624935459660005,nan,nan,0.9970703125,0.03374287822449461,1,0,0,0,6561792,801,0.34565180000208784,0.5879085208805271,1.0914671101537188,0.35,0.0025,paper,0,1,,0.30881272710528973,0.5180268593009232,0.05592925752097738,38.21104789684588,35.17307768438624,0.029260149148165306,nan
paper,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,11,0.001186486887482352,0.03174012215671017,nan,nan,0.9921875,0.0345089244759569,2,0,0,0,6561792,801,0.3626856000009866,0.55538071694615,0.9899523312746404,0.35,0.0025,paper,0,1,,0.3108189122340035,0.5312793960634099,0.052417184015655205,41.4190362841438,36.15659415523204,0.029072232837067585,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,0,0.004446810738601759,0.058921720618727955,nan,nan,0.998046875,0.028417611890360354,2,0,0,0,6561792,1602,0.4004252999984601,0.5026162694053065,0.9152755475114565,0.35,0.0025,paper,0,1,,0.3824173372508912,0.5162977222595295,0.04311083440166989,42.59634476215008,47.101012575066065,0.02006248361264125,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,1,0.007485253314730711,0.07302763125399046,nan,nan,0.9794921875,0.010873296071273882,1,0,0,0,6561792,1602,0.40408250000109547,0.4621007175780732,0.851331809969819,0.35,0.0025,paper,0,1,,0.3452114742994131,0.5263901831779214,0.011308156871829043,45.77857481476684,44.48103529768734,0.0059480849627987775,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,2,0.0023008702701481365,0.04034836615168439,nan,nan,0.9990234375,0.047959122051885544,1,0,0,0,6561792,1602,0.3879860999986704,0.5139246673521863,0.9531317198686277,0.35,0.0025,paper,0,1,,0.26387554981895645,0.5414063999037503,0.06915893066549153,42.53629015836817,41.80707611695462,0.038988367658848666,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,3,0.0013692806160487958,0.032843600048451944,nan,nan,0.994140625,0.02196207835257356,1,0,0,0,6561792,1602,0.3837119000017992,0.5095425380995324,0.9347139941938227,0.35,0.0025,paper,0,1,,0.3146817804012486,0.5285464519512981,0.012763752366608556,39.96172206905224,41.05690605579611,0.007126087697016626,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,4,0.0035210039617395994,0.05333460573568253,nan,nan,0.9990234375,0.04428783023628365,1,0,0,0,6561792,1602,0.379779700000654,0.5800022961479839,1.0469757649157865,0.35,0.0025,paper,0,1,,0.39271026623146343,0.5134250456790821,0.06253805484919567,39.21441603376479,42.66296205870318,0.03261535884431606,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,5,0.008863575235704024,0.09264577031085683,nan,nan,0.9853515625,0.022300949599698448,1,0,0,0,6561792,1602,0.38400149999870337,0.4729906898352317,0.8135130284525758,0.35,0.0025,paper,0,1,,0.3502780634736344,0.5395239047140257,0.03566286972519936,43.525122340073864,44.27371827410542,0.019442200599315035,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,6,0.003137330115260406,0.05078554392661936,nan,nan,0.9912109375,0.030152891441291987,1,0,0,0,6561792,1602,0.38695910000024014,0.5890251284812393,1.0262387006526466,0.35,0.0025,paper,0,1,,0.3331332951578542,0.542013255533373,0.02025762984793672,41.49000816400992,39.18942700826342,0.011666514098486836,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,7,0.0022287569586614264,0.0396995290761702,nan,nan,0.9951171875,0.02310129805557597,1,0,0,0,6561792,1602,0.3796858000023349,0.5365876390003756,0.9989006838860729,0.35,0.0025,paper,0,1,,0.36181322899380786,0.49709716055097874,0.026868872219381,41.32120319104944,42.16491725964923,0.012694622330008037,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,8,0.010182765728152132,0.08882054612193704,nan,nan,0.9970703125,0.021941277911812336,2,0,0,0,6561792,1602,0.3876453999982914,0.5459577403798402,1.0260597510386635,0.35,0.0025,paper,0,1,,0.37738660411246067,0.5326941550478969,0.02907388574624986,41.070265763704214,41.53491857551618,0.014353352040229944,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,9,0.007243250521153932,0.07761287318275063,nan,nan,0.9912109375,0.03569941802128001,4,0,0,0,6561792,1602,0.3870884999996633,0.47978761167678885,0.8510793651930233,0.35,0.0025,paper,0,1,,0.39791750789153263,0.5004069385529065,0.04587746890868147,40.439609295761386,43.85820339034392,0.022271295841948202,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,10,0.002629080295982078,0.047624935459660005,nan,nan,0.9970703125,0.03374287822449461,1,0,0,0,6561792,1602,0.39104650000081165,0.5879085208805271,1.0914671101537188,0.35,0.0025,paper,0,1,,0.30881272710528973,0.5180268593009232,0.05592925752097738,38.21104789684588,35.17307768438624,0.029260149148165306,nan
paper-matched,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,11,0.001186486887482352,0.03174012215671017,nan,nan,0.9921875,0.0345089244759569,2,0,0,0,6561792,1602,0.39386999999987893,0.55538071694615,0.9899523312746404,0.35,0.0025,paper,0,1,,0.3108189122340035,0.5312793960634099,0.052417184015655205,41.4190362841438,36.15659415523204,0.029072232837067585,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,0,0.003809347051759282,0.058790235852480166,nan,nan,0.998046875,0.057989524069404184,2,0,0,0,6561792,801,0.39801240000088,0.5190687734062385,0.9452359278732079,0.35,0.0025,constant,0,1,2.0,0.37143584048244854,0.5167867109517403,0.04101689719037556,42.10445015672829,44.9725097679041,0.04101689719037556,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,1,0.007307007041239877,0.07290126872867289,nan,nan,0.9775390625,0.029581721806970933,1,0,0,0,6561792,801,0.35151000000041677,0.45896096838993095,0.845547425186342,0.35,0.0025,constant,0,1,2.0,0.3394905236047992,0.5248894706059407,0.016030136811795232,45.60222033038511,43.92630627666826,0.016030136811795232,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,2,0.002998645736399186,0.04554369569862354,nan,nan,0.998046875,0.17076354012807946,1,0,0,0,6561792,801,0.36449610000272514,0.5056254855010872,0.9377399436536521,0.35,0.0025,constant,0,1,2.0,0.2656573735993577,0.5390889722522543,0.07069318862841935,42.770956088746544,42.378267115449546,0.07069318862841935,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,3,0.0007763320597264922,0.025362930525051307,nan,nan,0.994140625,0.07100381406242505,1,0,0,0,6561792,801,0.3520031000007293,0.5146790988893591,0.9441365936693947,0.35,0.0025,constant,0,1,2.0,0.3117121171448758,0.5279065616097295,0.01169118209522575,39.98626054938549,40.31876376343981,0.01169118209522575,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,4,0.004377686523813984,0.05905673423629632,nan,nan,0.9990234375,0.09380005016057547,1,0,0,0,6561792,801,0.36812410000129603,0.5791931567292037,1.045515168350002,0.35,0.0025,constant,0,1,2.0,0.39450425540809786,0.5166144632785186,0.06619489989311803,39.6171883704406,41.87659696443643,0.06619489989311803,nan
normalized-only,NCJG-gaussian-1d,gaussian,1,broad,NCJG-gaussian-1d/broad,5,0.00948554499216625,0.09683980048740627,nan,nan,0.9853515625,0.0506603084218464,1,0,0,0,6561792,801,0.34959609999714303,0.4679273949339937,0.8048044926239118,0.35,0.0025,constant,0,1,2.0,0.35294268053908256,0.5367976921345635,0.03513497225186493,43.38872545290009,44.457661532540506,0.03513497225186493,nan
