candidate,target,seed,ed2,event_time,censored,kernel_pairs
geo-anneal-plateau,V-2d-K4-uneq,0,0.0058532787457492574,41,0,2150400
geo-anneal-plateau,V-2d-K4-uneq,1,0.00552987655078363,44,0,2150400
geo-anneal-plateau,V-2d-K4-uneq,2,0.00516719481745076,46,0,2150400
geo-anneal-plateau,V-2d-K4-uneq,3,0.004537725381716484,44,0,2150400
geo-anneal-plateau,V-2d-K4-uneq,4,0.005550512465888335,43,0,2150400
geo-anneal-plateau,V-2d-K4-uneq,5,0.005900424183818975,49,0,2150400
geo-anneal-plateau,V-3d-K4,0,0.012791042863269597,54,0,2150400
geo-anneal-plateau,V-3d-K4,1,0.013084818886722083,55,0,2150400
geo-anneal-plateau,V-3d-K4,2,0.012978279335745357,60,0,2150400
geo-anneal-plateau,V-3d-K4,3,0.010656472576122233,55,0,2150400
geo-anneal-plateau,V-3d-K4,4,0.011024552269516597,47,0,2150400
geo-anneal-plateau,V-3d-K4,5,0.011458177444282791,54,0,2150400
geo-anneal-plateau,V-2d-K4-wide,0,0.006758585622554936,30,0,2150400
geo-anneal-plateau,V-2d-K4-wide,1,0.007489657876538436,34,0,2150400
geo-anneal-plateau,V-2d-K4-wide,2,0.007638595012959826,37,0,2150400
geo-anneal-plateau,V-2d-K4-wide,3,0.006727481101836075,33,0,2150400
geo-anneal-plateau,V-2d-K4-wide,4,0.007790367539066256,33,0,2150400
geo-anneal-plateau,V-2d-K4-wide,5,0.007239982415907509,36,0,2150400
sigma-fixed70,V-1d-K3,0,0.004095969847939918,53,0,2150400
sigma-fixed70,V-1d-K3,1,0.004398880876057665,58,0,2150400
sigma-fixed70,V-1d-K3,2,0.0037013055673180695,70,0,2150400
sigma-fixed70,V-1d-K3,3,0.0032797144519197685,53,0,2150400
sigma-fixed70,V-1d-K3,4,0.004611451828148483,53,0,2150400
sigma-fixed70,V-1d-K3,5,0.004351365740458246,68,0,2150400
sigma-fixed70,V-2d-K5,0,0.008517828736128497,59,0,2150400
sigma-fixed70,V-2d-K5,1,0.008014067749407161,63,0,2150400
sigma-fixed70,V-2d-K5,2,0.008799866099075793,69,0,2150400
sigma-fixed70,V-2d-K5,3,0.008225175949485575,62,0,2150400
sigma-fixed70,V-2d-K5,4,0.00794300879975518,65,0,2150400
sigma-fixed70,V-2d-K5,5,0.00937944958262582,66,0,2150400
sigma-fixed70,V-2d-K4-uneq,0,0.007317556605360598,62,0,2150400
sigma-fixed70,V-2d-K4-uneq,1,0.0073843214317892425,66,0,2150400
sigma-fixed70,V-2d-K4-uneq,2,0.007396517461503382,66,0,2150400
sigma-fixed70,V-2d-K4-uneq,3,0.00672395079845467,65,0,2150400
sigma-fixed70,V-2d-K4-uneq,4,0.007445118613569557,62,0,2150400
sigma-fixed70,V-2d-K4-uneq,5,0.00804315088985108,72,0,2150400
sigma-fixed70,V-3d-K4,0,0.015545787760350649,81,0,2150400
sigma-fixed70,V-3d-K4,1,0.014841094965127644,80,0,2150400
sigma-fixed70,V-3d-K4,2,0.014810928940800272,89,0,2150400
sigma-fixed70,V-3d-K4,3,0.012639064765099128,81,0,2150400
sigma-fixed70,V-3d-K4,4,0.012555311269998315,71,0,2150400
sigma-fixed70,V-3d-K4,5,0.012387236447479744,81,0,2150400
sigma-fixed70,V-2d-K4-wide,0,0.006818997383101655,44,0,2150400
sigma-fixed70,V-2d-K4-wide,1,0.007225532700307458,50,0,2150400
sigma-fixed70,V-2d-K4-wide,2,0.007474629926714327,55,0,2150400
sigma-fixed70,V-2d-K4-wide,3,0.0062838401118812115,51,0,2150400
sigma-fixed70,V-2d-K4-wide,4,0.007687387254091238,50,0,2150400
sigma-fixed70,V-2d-K4-wide,5,0.0072037305207255375,51,0,2150400
sigma-plateau,V-1d-K3,0,0.0034066349955641506,53,0,2150400
sigma-plateau,V-1d-K3,1,0.0037381070582136466,58,0,2150400
sigma-plateau,V-1d-K3,2,0.003670076638451869,71,0,2150400
sigma-plateau,V-1d-K3,3,0.0033012678621745506,53,0,2150400
sigma-plateau,V-1d-K3,4,0.0039801049540572064,53,0,2150400
sigma-plateau,V-1d-K3,5,0.0032243439968493437,68,0,2150400
sigma-plateau,V-2d-K5,0,0.006267061547186925,59,0,2150400
sigma-plateau,V-2d-K5,1,0.006836472082884626,63,0,2150400
sigma-plateau,V-2d-K5,2,0.006912967608546872,69,0,2150400
sigma-plateau,V-2d-K5,3,0.006621147288940588,62,0,2150400
sigma-plateau,V-2d-K5,4,0.0069220362277033765,65,0,2150400
sigma-plateau,V-2d-K5,5,0.00727086808580002,66,0,2150400
sigma-plateau,V-2d-K4-uneq,0,0.005592463220316368,62,0,2150400
sigma-plateau,V-2d-K4-uneq,1,0.006029949239664267,66,0,2150400
sigma-plateau,V-2d-K4-uneq,2,0.005612648880256921,66,0,2150400
sigma-plateau,V-2d-K4-uneq,3,0.004766669457024975,65,0,2150400
sigma-plateau,V-2d-K4-uneq,4,0.005700281736938373,62,0,2150400
sigma-plateau,V-2d-K4-uneq,5,0.005906705518377242,72,0,2150400
sigma-plateau,V-3d-K4,0,0.011399421407390364,81,0,2150400
sigma-plateau,V-3d-K4,1,0.010302641825679748,81,0,2150400
sigma-plateau,V-3d-K4,2,0.010486426354696543,89,0,2150400
sigma-plateau,V-3d-K4,3,0.00880432836242917,81,0,2150400
sigma-plateau,V-3d-K4,4,0.009255926022781136,72,0,2150400
sigma-plateau,V-3d-K4,5,0.009644202764388154,82,0,2150400
sigma-plateau,V-2d-K4-wide,0,0.006007574718708497,44,0,2150400
sigma-plateau,V-2d-K4-wide,1,0.006421435144404075,51,0,2150400
sigma-plateau,V-2d-K4-wide,2,0.00646588199593956,55,0,2150400
sigma-plateau,V-2d-K4-wide,3,0.00559218312093579,51,0,2150400
sigma-plateau,V-2d-K4-wide,4,0.006742021466093817,50,0,2150400
