arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,16.0,0.016,0.012066261999975847,0.098214203998462,0.18509257556467165,0.900226891040802,1.0539900508254187,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.664711500001431,0.0,2048,4610
minibatch-sw,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,16.0,0.016,0.01011405511380259,0.0820410042540879,0.1543679882524876,0.8926346898078918,1.084720385170709,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.7408433999953559,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,32.0,0.032,0.027164798335688634,0.14743760906696776,0.20238726071507596,0.9774908423423767,1.085511431327014,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.3355523999998695,0.09013660000346135,2048,4610
kll-atlas-rsr,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,32.0,0.032,0.01954990880888463,0.12664532753348468,0.18178230189004443,0.9533655643463135,1.0874518720542996,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.26014930000383174,0.06992370000079973,2048,4610
kll-small-rsr,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,16.0,0.016,0.02585424849076734,0.15071772700420716,0.24029564356420594,0.7685219645500183,1.225332004530663,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.43356130000029225,0.06992370000079973,2048,4610
kll-paper-hybrid,neural,NPR-d2-correlated-t,correlated-t,2,0,concentrated,32.0,0.032,0.015975979349041936,0.11044717916287368,0.19869039498766478,0.8703223466873169,1.2132715862373926,nan,nan,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.7358002999972086,0.06992370000079973,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-correlated-t,correlated-t,2,0,concentrated,nan,nan,0.0009092858163779471,0.026854370126219718,0.04097250473458857,0.9575553839644334,1.1145243862733438,nan,nan,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.21483659999648808,0.09013660000346135,0,0
paper-neural,neural,NPR-d2-correlated-t,correlated-t,2,0,broad,16.0,0.016,0.012108828507839231,0.09898587407436472,0.19961365166511513,0.8405917286872864,1.106656750087981,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6008029000004171,0.0,2048,4610
minibatch-sw,neural,NPR-d2-correlated-t,correlated-t,2,0,broad,16.0,0.016,0.011002074016851715,0.09751000454131649,0.17507179700928838,0.8113144636154175,1.1502669620071277,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.7513672999994014,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-correlated-t,correlated-t,2,0,broad,32.0,0.032,0.05429139396285576,0.19337614306028075,0.2686765270188009,1.0203031301498413,1.0739551310490696,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.29376939999929164,0.09013660000346135,2048,4610
kll-atlas-rsr,neural,NPR-d2-correlated-t,correlated-t,2,0,broad,32.0,0.032,0.054665125506462076,0.19657367268911632,0.2689051287465086,1.0249236822128296,1.0788952375457257,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.2592734999998356,0.06992370000079973,2048,4610
