arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,7,1200,1200,1024,840,360,1024,1.0,4096,1,6.625,0.0009765625,0.6200272999994922,8192,8192,906240,0,8924160.0,2048,0.001978639529500059,0.08098593451165609,0.14130856375156683,1.0,0.026328125000000036,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,1200,1200,1024,840,360,1024,1.0,4096,1,4.1875,0.0009765625,0.6482424999994691,8192,8192,906240,0,8924160.0,2048,0.004705475792357694,0.05517208824738434,0.0901163524666684,1.0,0.045644531249999995,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,1,1200,1200,1024,840,360,1024,1.0,4096,1,4.6875,0.0009765625,0.7447873000055552,8192,8192,906240,0,8924160.0,2048,0.0045009492659122685,0.054552273574539914,0.07957265250471295,1.0,0.03460937500000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,2,1200,1200,1024,840,360,1024,1.0,4096,1,3.375,0.0009765625,0.6834983000007924,8192,8192,906240,0,8924160.0,2048,0.002807529961885491,0.05657124919043853,0.0830696357374645,1.0,0.03107421874999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,3,1200,1200,1024,840,360,1024,1.0,4096,1,4.1875,0.0009765625,0.6795503000030294,8192,8192,906240,0,8924160.0,2048,0.004929628790091289,0.05573732751007184,0.08268453999625949,1.0,0.02947265625000002,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,4,1200,1200,1024,840,360,1024,1.0,4096,1,4.0625,0.0009765625,0.7471023999969475,8192,8192,906240,0,8924160.0,2048,0.004219180028407488,0.0556677162871501,0.08080038844612983,1.0,0.028476562499999955,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,5,1200,1200,1024,840,360,1024,1.0,4096,1,3.875,0.0009765625,0.6848859000019729,8192,8192,906240,0,8924160.0,2048,0.002216504995170787,0.05910963125544589,0.0953181605649394,1.0,0.04214843749999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,6,1200,1200,1024,840,360,1024,1.0,4096,1,4.125,0.0009765625,0.6723137999942992,8192,8192,906240,0,8924160.0,2048,0.005235872387404639,0.060756536139554784,0.09540580983598614,1.0,0.032656249999999984,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,7,1200,1200,1024,840,360,1024,1.0,4096,1,4.375,0.0009765625,0.7213496000040323,8192,8192,906240,0,8924160.0,2048,0.005636478567586645,0.05116582204283871,0.08440025318385284,1.0,0.02654296875000002,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,0,1200,1200,1024,840,360,1024,1.0,4096,1,4.4375,0.0009765625,0.6954965000040829,8192,8192,906240,0,8924160.0,2048,0.005415086837399441,0.0675288465823052,0.10187289031933708,1.0,0.038046874999999994,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,1,1200,1200,1024,840,360,1024,1.0,4096,1,3.875,0.0009765625,0.7491733999922872,8192,8192,906240,0,8924160.0,2048,0.0024972492993766693,0.055477108792835086,0.08388192917504705,1.0,0.03083984375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,2,1200,1200,1024,840,360,1024,1.0,4096,1,4.625,0.0009765625,0.6469699000008404,8192,8192,906240,0,8924160.0,2048,0.002274231376172331,0.062280806806211286,0.09637252076300962,1.0,0.034199218749999996,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,3,1200,1200,1024,840,360,1024,1.0,4096,1,3.9375,0.0009765625,0.714428700011922,8192,8192,906240,0,8924160.0,2048,0.0023889649408090907,0.05527570576908162,0.0870022922893355,1.0,0.029999999999999985,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,4,1200,1200,1024,840,360,1024,1.0,4096,1,4.25,0.0009765625,0.7255022999888752,8192,8192,906240,0,8924160.0,2048,0.002254655670259398,0.06418710590963257,0.09527417578236623,1.0,0.0445703125,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,5,1200,1200,1024,840,360,1024,1.0,4096,1,3.875,0.0009765625,0.7006893000216223,8192,8192,906240,0,8924160.0,2048,0.0036665741744548175,0.05277799810528019,0.07775181347862796,1.0,0.05099609375000004,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,6,1200,1200,1024,840,360,1024,1.0,4096,1,3.8125,0.0009765625,0.7200263000268023,8192,8192,906240,0,8924160.0,2048,0.0033939049220350626,0.05872678603216928,0.08646935548840914,1.0,0.04066406250000003,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,7,1200,1200,1024,840,360,1024,1.0,4096,1,4.4375,0.0009765625,0.6660366999858525,8192,8192,906240,0,8924160.0,2048,0.0053346532555020865,0.05951151209791622,0.09147576452253238,1.0,0.03404296875000003,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,0,1200,1200,1024,840,360,1024,1.0,4096,1,2.625,0.0009765625,0.6563766999752261,8192,8192,906240,0,8924160.0,2048,0.008576938363747733,0.1153729395478509,0.17853488839925022,0.9999999999999998,0.036015625000000065,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,1,1200,1200,1024,840,360,1024,1.0,4096,1,2.1875,0.0009765625,0.7008678000129294,8192,8192,906240,0,8924160.0,2048,0.005123232539251177,0.10627563798028647,0.16471441772802942,0.9999999999999998,0.03273437499999997,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,2,1200,1200,1024,840,360,1024,1.0,4096,1,2.75,0.0009765625,0.6599662999797147,8192,8192,906240,0,8924160.0,2048,0.011094818196541567,0.11457039658128838,0.1590237239694954,0.9999999999999998,0.03068359375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,3,1200,1200,1024,840,360,1024,1.0,4096,1,2.625,0.0009765625,0.7030402999953367,8192,8192,906240,0,8924160.0,2048,0.0049611870754167064,0.11928457399850526,0.1856778023527067,0.9999999999999998,0.05601562499999996,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,4,1200,1200,1024,840,360,1024,1.0,4096,1,2.75,0.0009765625,0.7026325000042561,8192,8192,906240,0,8924160.0,2048,0.009110918944416735,0.10489579009042818,0.152193672052445,0.9999999999999998,0.043613281250000024,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,5,1200,1200,1024,840,360,1024,1.0,4096,1,2.5625,0.0009765625,0.6841208999976516,8192,8192,906240,0,8924160.0,2048,0.006086896464776892,0.1217223641070572,0.18923059407190007,0.9999999999999998,0.03695312499999996,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,6,1200,1200,1024,840,360,1024,1.0,4096,1,2.3125,0.0009765625,0.7189779999898747,8192,8192,906240,0,8924160.0,2048,0.004134496988662306,0.11078470540647693,0.16307637751085344,0.9999999999999998,0.04865234374999995,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,concentrated,LBQCD-D03-unequal-min020-K12/concentrated,7,1200,1200,1024,840,360,1024,1.0,4096,1,2.8125,0.0009765625,0.6289268999826163,8192,8192,906240,0,8924160.0,2048,0.004616849830847425,0.10348522479159812,0.1499284859132138,0.9999999999999998,0.03902343750000008,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,missing,LBQCD-D03-unequal-min020-K12/missing,0,1200,1200,1024,840,360,1024,1.0,4096,1,2.0625,0.0009765625,0.6819292999862228,8192,8192,906240,0,8924160.0,2048,0.009425101743143038,0.12462800709066296,0.18283821758813198,0.9999999999999998,0.041933593749999984,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,missing,LBQCD-D03-unequal-min020-K12/missing,1,1200,1200,1024,840,360,1024,1.0,4096,1,2.375,0.0009765625,0.6595850999874528,8192,8192,906240,0,8924160.0,2048,0.006561710009727939,0.11290224804815789,0.15614167210419097,0.9999999999999998,0.041171874999999955,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D03-unequal-min020-K12,unequal,missing,LBQCD-D03-unequal-min020-K12/missing,2,1200,1200,1024,840,360,1024,1.0,4096,1,2.75,0.0009765625,0.7170126999844797,8192,8192,906240,0,8924160.0,2048,0.00465261070807621,0.10129329088442725,0.14394070464321815,0.9999999999999998,0.03927734375,50,0,0
