arm,lr_multiplier,learning_rate,target,family,dimension,replication,initialization,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters
exact-atlas-rsr,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.7772791106331045,0.6767256224485726,0.9017431156591648,0.10670539736747742,1.7447749268969523,0.75,0.5,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.025854999999864958,4610
exact-atlas-rsr,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.5812291831413803,0.5898847284346811,0.8062143402315806,0.2301068753004074,1.59740867662614,0.75,0.6875,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.025262899995141197,4610
exact-atlas-rsr,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.2543504343195937,0.4055944394661737,0.5858591221128091,0.583329975605011,1.3992020940662286,0.75,0.578125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.02491629999713041,4610
exact-atlas-rsr,8.0,0.008,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.29428935648878163,0.4984893636991778,0.6162947165969349,1.2422388792037964,1.283750178859766,0.75,0.3515625,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.02478269999846816,4610
exact-atlas-rsr,16.0,0.016,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.201907588172896,0.3822743232883974,0.5236746536206802,0.7964128255844116,1.2119718683352008,0.75,0.45703125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.024074200002360158,4610
exact-atlas-rsr,32.0,0.032,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.18544491908097482,0.3777420138549858,0.45681492219158176,1.0192607641220093,1.2305675665298834,0.75,0.51953125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.026131700004043523,4610
exact-atlas-rsr,64.0,0.064,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.15607486588067054,0.3523693747904479,0.4370503983347608,1.1159263849258423,1.1710370766250104,0.75,0.48828125,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,34304,0,0,0.023970800000824966,4610
kll-small-rsr,1.0,0.001,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.241783918168458,0.39485401700880596,0.5688945458424703,0.6025124788284302,1.3879812235454376,0.75,0.5234375,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04369349999615224,4610
kll-small-rsr,2.0,0.002,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.22127742723598143,0.43012052511848725,0.5249088466970466,1.067355990409851,1.2396562467228862,0.75,0.3203125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04314910000539385,4610
kll-small-rsr,4.0,0.004,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.17407107440164404,0.35304174192498927,0.49359499042233473,0.7606363892555237,1.0911001491374694,1.0,0.3125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04786299999977928,4610
kll-small-rsr,8.0,0.008,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.1743330129888716,0.3557771678175736,0.4517301139593922,0.8675678372383118,1.0051304007110018,0.75,0.359375,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04340809999848716,4610
kll-small-rsr,16.0,0.016,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.1265909476930278,0.2889070838372858,0.38383021275134044,0.7982046008110046,1.2082457370253963,0.75,0.5078125,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.044226700003491715,4610
kll-small-rsr,32.0,0.032,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.10187951317003252,0.2477697260890488,0.34148278771426704,0.8128462433815002,1.2489845234792558,0.75,0.27734375,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,34304,72960,0,0.04459630000201287,4610
exact-atlas-rsr,1.0,0.001,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.7689909901103458,0.6796389475304814,0.9928173182914125,0.09925194084644318,2.341955013504409,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.024705100004212,4740
exact-atlas-rsr,2.0,0.002,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.5668669839481684,0.5997988751121022,0.9022207702626798,0.20446686446666718,2.108636393706023,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.027938999999605585,4740
exact-atlas-rsr,4.0,0.004,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.2254738071934299,0.3879814154571504,0.6751352306596767,0.49947184324264526,1.786250738247056,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.024270899994007777,4740
exact-atlas-rsr,8.0,0.008,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.1723606756853724,0.34498547393296836,0.5164131856211959,1.15824294090271,1.8798859376171655,1.0,0.017187499999999953,0.008593749999999997,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.024406800002907403,4740
exact-atlas-rsr,16.0,0.016,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.13182909596674763,0.3073222565374224,0.4651128310377019,1.1154048442840576,2.613469649951171,0.5,0.06875000000000005,0.034375,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.02526419999776408,4740
exact-atlas-rsr,32.0,0.032,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.0913011107919588,0.25203664187326985,0.4631881613527541,0.8716419339179993,2.805964546634379,0.5,0.10000000000000005,0.05,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.025152199996227864,4740
exact-atlas-rsr,64.0,0.064,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.17900899788930547,0.34967623870466896,0.5422280484366548,0.9491599202156067,2.3444261972435867,0.5,0.09609375000000005,0.048046875,8,1024,2048,64,2048,2048,262144,1900544.0,0,35328,0,0,0.024485900001309346,4740
kll-small-rsr,1.0,0.001,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.2199903626036046,0.3805561767005465,0.6650889914582223,0.523213267326355,1.626980485224358,0.5,0.10000000000000005,0.05,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04225679999944987,4740
kll-small-rsr,2.0,0.002,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.11910056090049759,0.28323288973993294,0.4676492599200082,1.008614182472229,2.1085540368744256,0.5,0.08046875000000005,0.040234375,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04242289999820059,4740
kll-small-rsr,4.0,0.004,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.08499373079056083,0.23997651329468073,0.4545607554545581,0.8578240275382996,2.408574944909499,0.5,0.10000000000000005,0.05,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04371109999920009,4740
kll-small-rsr,8.0,0.008,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.07840379597608971,0.23017353265037277,0.4155723151014992,0.9480677843093872,2.47420203864659,0.5,0.05312500000000005,0.026562500000000003,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04253990000142949,4740
kll-small-rsr,16.0,0.016,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.08342345765561054,0.23288513707115696,0.42870449500597646,0.8876903057098389,2.362233072322687,0.5,0.05703125000000005,0.028515625000000003,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.04462240000430029,4740
kll-small-rsr,32.0,0.032,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.1726475628005848,0.32227493974959875,0.42489809880802143,1.064824104309082,2.4459388127391852,1.0,0.013281249999999953,0.006640624999999997,32,1024,2048,64,2048,2048,262144,327680.0,0,35328,72960,0,0.042298499996832106,4740
