all_reportable_components_reached,arm,bridge_ed2_change,bridge_exit_ed2,bridge_exit_sw1,cap_activations,cell,completed_step,diverged,ed2,eligible,family,floor_activations,handoff_ed2,handoff_sw1,init,kind,mass_l1,minimum_component_occupancy,paper_calibration_median_step,paper_ed2_change,paper_state_restoration_exact,paper_state_saved_step_index,quantile_cdf_error,seed,sharp_optimizer,sw1,target,trust_cap,wall_seconds,work_backward_examples,work_calibration_backward_examples,work_calibration_generator_example_evals,work_calibration_generator_forward_calls,work_calibration_kernel_pairs,work_calibration_optimizer_updates,work_calibration_target_samples,work_calibration_unique_latent_samples,work_diagnostic_generator_example_evals,work_diagnostic_generator_forward_calls,work_diagnostic_target_samples,work_generator_example_evals,work_generator_forward_calls,work_kernel_pairs,work_metric_generator_example_evals,work_metric_generator_forward_calls,work_metric_target_samples,work_optimizer_updates,work_positive_target_samples,work_sort_work,work_unique_latent_samples
0.0,bridge-reset-full-lr,-0.003135494659541438,0.0549076221921434,0.24720670490548766,0,CF-A01-rare005/missing,400,0,0.050486009435220414,1,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge,0.035781249999999994,0.0,0.017011807408552036,-0.004421612756922988,1,280,0.0744235131048387,0,reset-full,0.23162180423739198,CF-A01-rare005,0.021264759260690047,1.4683233000105247,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,bridge-reset-quarter,-0.005261588323921096,0.052781528527763744,0.23806321661967822,0,CF-A01-rare005/missing,400,0,0.052972254172481525,1,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge,0.028945312499999997,0.0,0.017011807408552036,0.00019072564471778186,1,280,0.07503780241935484,0,reset-quarter,0.23550484322250193,CF-A01-rare005,0.021264759260690047,1.9087538000021596,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,bridge-warm-quarter,-0.003451841323155014,0.054591275528529826,0.24222588107484158,0,CF-A01-rare005/missing,400,0,0.05364679397884076,1,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge,0.019179687499999997,0.0,0.017011807408552036,-0.0009444815496890691,1,280,0.07497479838709678,0,warm-quarter,0.23547162872693506,CF-A01-rare005,0.021264759260690047,2.3605358000204433,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,bridge-calibrated,-0.003451841323155014,0.054591275528529826,0.24222588107484158,0,CF-A01-rare005/missing,400,0,0.05364679397884076,1,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge,0.019179687499999997,0.0,0.017011807408552036,-0.0009444815496890691,1,280,0.07497479838709678,0,calibrated,0.23547162872693506,CF-A01-rare005,0.021264759260690047,2.797261100000469,25600.0,320.0,320.0,5.0,40960.0,5.0,320.0,320.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,bridge-carry-copy,-0.004227576055497284,0.053815540796187555,0.242269117632112,0,CF-A01-rare005/missing,400,0,0.052994453306608014,1,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge,0.028164062499999986,0.0,0.017011807408552036,-0.0008210874895795417,1,280,0.07494329637096774,0,carry-copy,0.2340478780336314,CF-A01-rare005,0.021264759260690047,3.229809300013585,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,qld-sharp20-only,-0.003451841323155014,0.054591275528529826,0.24222588107484158,0,CF-A01-rare005/missing,300,0,0.054591275528529826,0,separated-unequal-rare,0,0.05804311685168484,0.22590983275666393,missing,bridge-only,0.04281249999999998,0.0,0.017011807408552036,nan,1,280,0.07434475806451613,0,calibrated,0.24222588107484158,CF-A01-rare005,0.021264759260690047,3.5008933000208344,19200.0,320.0,320.0,5.0,40960.0,5.0,320.0,320.0,2112.0,33.0,2112.0,19200.0,300.0,162560.0,67584.0,33.0,67584.0,300.0,19200.0,215040.0,19200.0
0.0,qld-v1,-0.007766195255501485,0.041894260570177755,0.2255602260648079,0,CF-A01-rare005/missing,400,0,0.04803104310754325,1,separated-unequal-rare,0,0.04966045582567924,0.21747415303181594,missing,qld-paper,0.027734375000000016,0.0,0.0105895779871282,nan,1,280,0.07029674899193548,1,,0.21277754090840248,CF-A01-rare005,0.01323697248391025,0.671607700001914,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,983040.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,qld-full,-0.0007129311788343085,0.04894752464684493,0.21829360321399366,0,CF-A01-rare005/missing,400,0,0.051465564181471635,1,separated-unequal-rare,0,0.04966045582567924,0.21747415303181594,missing,qld-full,0.056093750000000005,0.0,0.0105895779871282,nan,1,280,0.07179309475806452,1,,0.21529699022665744,CF-A01-rare005,0.01323697248391025,1.049794299993664,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,0.0,86016.0,42.0,86016.0,400.0,25600.0,307200.0,25600.0
0.0,bridge-reset-full-lr,-0.0032982818138971304,0.04636217401178211,0.2134915345224304,0,CF-A01-rare005/missing,400,0,0.04778069047484701,1,separated-unequal-rare,0,0.04966045582567924,0.21747415303181594,missing,bridge,0.03261718750000001,0.0,0.0105895779871282,0.0014185164630649005,1,280,0.07001323084677419,1,reset-full,0.2106772231064707,CF-A01-rare005,0.01323697248391025,1.4689062999968883,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
0.0,bridge-reset-quarter,-0.001345501239880198,0.04831495458579904,0.22937307122946538,0,CF-A01-rare005/missing,400,0,0.04770156422204663,1,separated-unequal-rare,0,0.04966045582567924,0.21747415303181594,missing,bridge,0.029687500000000016,0.0,0.0105895779871282,-0.0006133903637524085,1,280,0.07028099798387097,1,reset-quarter,0.21194085337120094,CF-A01-rare005,0.01323697248391025,1.9056717000203207,25600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2688.0,42.0,2688.0,25600.0,400.0,981760.0,86016.0,42.0,86016.0,400.0,25600.0,215040.0,25600.0
