arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.3461207000000286,0.0,0.0,0.3461207000000286,64,64,3,3,3.9524546530682136,1.4312255916968142,0.020912487262296553,0.11875527967564267,0.16157804848890367,1.058330774307251,1.454576908164149,1.0,0.1669921875,nan,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3461207000000286,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.21896370000467869,0.0002783999952953309,0.04925029999867547,0.2684923999986495,64,64,3,3,3.9524546530682136,1.4312255916968142,0.00994117102586034,0.07809747864341707,0.14049403254549375,0.98670893907547,1.4778770175321219,1.0,0.068359375,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.028249559924006462,0.9996788501739502,0.0027349378215149045,0.03217980079352856,0.010092522017657757,0.7791879177093506,0.12300032377243042,1.511866807937622,0.10891262057702988,0.8622596859931946,4,4,67584,0,0.21896370000467869,0.25,0.25,0.25,6.888878428532689,0.16385850124061108
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.15125199999602046,0.0002783999952953309,0.04925029999867547,0.20078069998999126,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008410041915512645,0.0722285154890025,0.12351220278544556,0.9813894033432007,1.4729386265293218,1.0,0.0888671875,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,0,0.15125199999602046,0.0,0.0,0.0,0.0,0.14474139269441366
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.2595590999990236,0.0002783999952953309,0.044432399998186156,0.3042698999925051,64,64,3,3,3.9524546530682136,1.4312255916968142,0.009784947320816029,0.07756202790663237,0.13666611908270418,0.9917060732841492,1.475089289099099,1.0,0.06640625,nan,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.028238750994205475,0.9996788501739502,0.0027404146967455745,0.032175906002521515,0.010074524208903313,0.7784018516540527,0.12300032377243042,1.511866807937622,0.10870433959644288,0.7901784181594849,4,4,67584,98048,0.2595590999990236,0.19,0.0,0.19,6.875062734220924,0.15969057083129884
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,4,2026072201,1.0,0.15,0.14898689999972703,0.0002783999952953309,0.044432399998186156,0.19369769999320852,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008149145231795218,0.07072663634872706,0.12496921338299193,0.9809543490409851,1.4775365407134156,1.0,0.072265625,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,98048,0.14898689999972703,0.0,0.0,0.0,0.0,0.1446240497753024
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,5,2026072201,1.0,0.15,0.21600519999628887,0.0002783999952953309,0.044432399998186156,0.26071599998977035,64,64,3,3,3.9524546530682136,1.4312255916968142,0.010149521827269803,0.07921602179468054,0.14013094479297677,0.9898524284362793,1.4771491037664122,1.0,0.072265625,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.028238750994205475,0.9996788501739502,0.0027404146967455745,0.032175906002521515,0.010074524208903313,0.7784018516540527,0.12300032377243042,1.511866807937622,0.10821485023479908,0.8727307915687561,4,4,67584,98048,0.21600519999628887,0.25,0.25,0.25,6.865861578386503,0.16364392563700675
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.21127809999597957,0.0001953999963006936,0.04359969999495661,0.2550731999872369,64,64,3,3,3.716130289633486,1.5222432499938814,0.005223537896113628,0.06674445569035421,0.17643710743329388,1.0004745721817017,1.485044604105535,1.0,0.021093749999999953,0.010546874999999997,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.019613688345998526,0.9996939301490784,0.0008057639643084258,0.04294159077107906,0.0018960474990308285,10.309436798095703,0.21153120547533036,2.700413942337036,0.15535930063342676,1.5485332012176514,4,4,67584,98048,0.21127809999597957,0.25,0.25,0.25,6.96203962839309,0.2163551516830921
paper-neural-optimized,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.35147670000151265,0.0,0.0,0.35147670000151265,64,64,3,3,3.716130289633486,1.5222432499938814,0.029184519686534793,0.17441168703760052,0.4910641137511851,0.7401696443557739,1.9637218108003767,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.35147670000151265,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.2085533000063151,0.0001953999963006936,0.05061269999714568,0.2593613999997615,64,64,3,3,3.716130289633486,1.5222432499938814,0.006078959569711939,0.07561665051295093,0.17197385909178708,0.9924480319023132,1.4862922835655354,1.0,0.022070312499999953,0.011035156249999997,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.019581108819693327,0.9996958374977112,0.0008000052184797823,0.0429375134408474,0.0018549938686192036,10.309916496276855,0.21153120547533036,2.700413942337036,0.15358697440242394,1.5252091884613037,4,4,67584,0,0.2085533000063151,0.25,0.25,0.25,7.227304757509697,0.21778099983930588
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.2586827000050107,0.0001953999963006936,0.04359969999495661,0.302477799996268,64,64,3,3,3.716130289633486,1.5222432499938814,0.010533806383451916,0.09368040447372356,0.19294786319824186,1.0076180696487427,1.5149266075082768,1.0,0.024999999999999953,0.012499999999999997,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.0129739954136312,0.9999041557312012,0.0008165183826349676,0.044130101799964905,0.0025234760250896215,10.29551887512207,0.21153120547533036,2.700413942337036,0.16047837663209066,2.097846031188965,4,4,67584,98048,0.2586827000050107,0.2375,0.0,0.2375,6.456356819363302,0.21740112863481045
