arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.25795373866925386,0.4009518975107712,0.5860576231764748,0.5157780647277832,1.4706745202556386,0.75,0.5703125,nan,16,1024,2048,32,2048,2048,262144,2031616.0,0,34304,0,0.022665900003630668,0.0,0.0,0.0,0.5369254797697067
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.25863372431617204,0.40099002420510516,0.583293365004113,0.5185911655426025,1.4658809475564583,0.75,0.56640625,nan,16,1024,2048,32,2048,2048,262144,589824.0,0,34304,72960,0.01940219999960391,0.0,0.0,0.0,0.5398326367139816
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.18858900964166425,0.3389830673207696,0.571703249837342,0.581899106502533,1.337168191396511,0.5,0.53515625,nan,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,34304,0,0.04530779999913648,0.25,0.25,7.950160064784894,0.5875087678432465
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.1884880096620969,0.33962146795303927,0.5681395303778705,0.5854421257972717,1.3286187893884613,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,262144,589824.0,1048576,34304,72960,0.041427500000281725,0.25,0.25,7.925401601566374,0.5894807279109955
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.1884880096620969,0.33962146795303927,0.5681395303778705,0.5854421257972717,1.3286187893884613,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,34304,72960,0.04947119999997085,0.25,0.25,7.925401601566374,0.5894807279109955
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0674624015330001,0.2146550183678224,0.506970448718478,0.7056624293327332,3.3156045162328582,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,2031616.0,0,35328,0,0.01949140000215266,0.0,0.0,0.0,0.7490766644477844
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06760418479748909,0.21453999175500094,0.5086618979437,0.7050971984863281,3.3086605380475005,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,262144,589824.0,0,35328,72960,0.022287699997832533,0.0,0.0,0.0,0.7491582334041595
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.058070228973762905,0.19646870597446325,0.46432901003246047,0.796012282371521,3.1742148542689375,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,2031616.0,1048576,35328,0,0.0503993000020273,0.25,0.25,19.27988115221555,0.8445513248443604
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.057211986770136836,0.19518840243226923,0.46348230974285126,0.7962302565574646,3.20308880253062,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,262144,589824.0,1048576,35328,72960,0.04292619999614544,0.25,0.25,19.295803027879575,0.8448247313499451
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.057211986770136836,0.19518840243226923,0.46348230974285126,0.7962302565574646,3.20308880253062,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,655360,1179648.0,1048576,35328,72960,0.06277250000130152,0.25,0.25,19.295803027879575,0.8448247313499451
