K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau,oracle_tune_kernel_pairs
4,1,fine-common,bandwidth-only,0,80,0.2466762888820424,0.5,1.0,80,1,245760,0.04389691352844238,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,fine-common,bandwidth-only,1,80,0.2404531320929506,0.5,1.0,80,1,245760,0.053003787994384766,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,coarse-common,bandwidth-only,0,80,0.03823944976901328,1.0,0.3125,80,1,245760,0.043257951736450195,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,coarse-common,bandwidth-only,1,80,0.0457442380315507,1.0,0.375,80,1,245760,0.053138017654418945,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,average-common,bandwidth-only/equal-compute,0,40,0.23532170097898786,0.5,1.0,40,1,245760,0.025388240814208984,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,average-common,bandwidth-only/equal-compute,1,40,0.21978007562455626,0.5,1.0,40,1,245760,0.02321004867553711,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.32521406332822855,0.5,1.0,26,1,239616,0.016148805618286133,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.3109675657562627,0.5,1.0,26,1,239616,0.017281532287597656,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-oracle-common,bandwidth-only,0,80,0.18561302740218055,0.5,0.9375,80,1,245760,0.042671918869018555,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-oracle-common,bandwidth-only,1,80,0.1466939323944818,0.5,0.8125,80,1,245760,0.055770158767700195,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-estimated-common,bandwidth-only,0,80,0.18548247852655786,0.5,0.9375,80,1,245760,0.043637990951538086,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-estimated-common,bandwidth-only,1,80,0.14655649712326313,0.5,0.8125,80,1,245760,0.04553508758544922,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,oracle-grid-common,held-out oracle,0,80,0.03129145842913261,1.0,0.375,80,1,245760,0.042610883712768555,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,oracle-grid-common,held-out oracle,1,80,0.0365647996516123,1.0,0.375,80,1,245760,0.048558712005615234,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,fine-joint,joint policy,0,80,0.37147303460208936,0.5,1.0,80,1,245760,0.04493522644042969,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,fine-joint,joint policy,1,80,0.35743043211948167,0.5,1.0,80,1,245760,0.04642176628112793,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,coarse-joint,joint policy,0,80,0.012821491629667836,1.0,0.1875,71,0,245760,0.046662330627441406,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,coarse-joint,joint policy,1,80,0.014876500011714366,1.0,0.125,67,0,245760,0.04513835906982422,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-oracle-joint,joint policy,0,80,0.18870443943118764,0.5,0.9375,80,1,245760,0.04667472839355469,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-oracle-joint,joint policy,1,80,0.15795615214297487,0.5,0.8125,80,1,245760,0.04912447929382324,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-estimated-joint,joint policy,0,80,0.18871979522649718,0.5,0.9375,80,1,245760,0.04974555969238281,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,1,anneal-estimated-joint,joint policy,1,80,0.15796511863232987,0.5,0.8125,80,1,245760,0.04418325424194336,0.9974251512693397,0.15073090844360845,0.5640904639629589,2211840
4,2,fine-common,bandwidth-only,0,80,0.10183447615112096,1.0,0.5,80,1,245760,0.14579343795776367,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,fine-common,bandwidth-only,1,80,0.0689516253158573,1.0,0.375,80,1,245760,0.14876103401184082,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,coarse-common,bandwidth-only,0,80,0.05957296409630908,1.0,0.25,80,1,245760,0.14708471298217773,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,coarse-common,bandwidth-only,1,80,0.03967037898311765,1.0,0.0625,80,1,245760,0.14629864692687988,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,average-common,bandwidth-only/equal-compute,0,40,0.08179325874821397,1.0,0.375,40,1,245760,0.07944440841674805,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,average-common,bandwidth-only/equal-compute,1,40,0.0623347922312012,1.0,0.3125,40,1,245760,0.0803987979888916,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.11444535947263157,1.0,0.5,26,1,239616,0.05591464042663574,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.0807409445933629,1.0,0.375,26,1,239616,0.05470871925354004,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-oracle-common,bandwidth-only,0,80,0.0305997841656378,1.0,0.25,80,1,245760,0.1479811668395996,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
