all_reportable_components_reached,arm,cell,denominator_min,descent_step_cosine,ed2,effective_step_norm,family,field_max,field_rms,finisher_qld_gradient_cosine,floor_activations,init,mass_l1,minimum_component_occupancy,negative_terms,output_mean,output_q01,output_q10,output_q50,output_q90,output_q99,output_std,parameter_gradient_norm,phase,quantile_cdf_error,seed,step,sw1,target,wall_seconds,work_backward_examples,work_diagnostic_generator_example_evals,work_diagnostic_generator_forward_calls,work_diagnostic_target_samples,work_generator_example_evals,work_generator_forward_calls,work_kernel_pairs,work_metric_generator_example_evals,work_metric_generator_forward_calls,work_metric_target_samples,work_negative_reference_samples,work_optimizer_updates,work_positive_target_samples,work_sort_work,work_unique_latent_samples
0.0,paper-0.5,CF-A01-rare005/missing,nan,nan,0.56740169803335,nan,separated-unequal-rare,nan,nan,nan,0.0,missing,0.8515625000000001,0.0,0.0,-2.378995483281952,-3.1663168699140853,-2.953725728172004,-2.3818485535150247,-1.7953688274982968,-1.6363689044981682,0.42844646200919845,nan,initial,0.2554813508064516,0,0,0.9266712366175569,CF-A01-rare005,0.004701300000306219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.4304606884449853,0.17567181610560478,0.04237892457888242,separated-unequal-rare,0.2354301297786645,0.13609281008900667,0.9676560666936188,0.0,missing,0.38828124999999997,0.0,31.0,-2.0180914672637194,-3.8198106737734197,-3.2318534029851764,-2.0249437194422653,-0.8554608375973429,-0.6193128649052491,0.8539033301193306,0.21191971888545494,finisher,0.13709677419354838,0,25,0.5856976912847948,CF-A01-rare005,0.027907200012123212,800.0,32.0,1.0,32.0,800.0,25.0,51200.0,1024.0,2.0,1024.0,800.0,25.0,800.0,0.0,800.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.4446389634524598,0.08595967714303976,0.0401497509515026,separated-unequal-rare,0.17893837508502727,0.06823404904327728,0.9253842357367632,0.0,missing,0.20078125000000002,0.0,31.0,-1.6442707057974488,-3.7751170735002977,-2.962349644983024,-1.619066846997581,-0.4113515892595572,-0.14692165692432244,0.9184503149656695,0.09453613236400336,finisher,0.09173387096774194,0,42,0.3948911480444536,CF-A01-rare005,0.03528050001477823,1344.0,64.0,2.0,64.0,1344.0,42.0,86016.0,1536.0,3.0,1536.0,1344.0,42.0,1344.0,0.0,1344.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.08103241283406776,0.08631226996061692,0.028035439255827164,separated-unequal-rare,0.2654466951738039,0.1379389016453143,0.9235235563588372,0.0,missing,0.20937500000000003,0.0,31.0,-1.624276993036637,-3.753128984231297,-2.9348096964392734,-1.5970158136501091,-0.39275843203555993,-0.12773397883369714,0.9170337798542045,0.2728509098121658,finisher,0.0928679435483871,0,43,0.39174268656536426,CF-A01-rare005,0.038328299997374415,1376.0,96.0,3.0,96.0,1376.0,43.0,88064.0,2048.0,4.0,2048.0,1376.0,43.0,1376.0,0.0,1376.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.16707348741005326,0.0880493442529795,0.02777373954383896,separated-unequal-rare,0.12377488384833524,0.06842027208605554,0.9461514941644638,0.0,missing,0.22500000000000003,0.0,31.0,-1.6074168385505476,-3.7139392384690995,-2.90126083883669,-1.5794603912285474,-0.3831994363162526,-0.11419497036068076,0.9108972477667984,0.1072372854884261,finisher,0.09488407258064516,0,44,0.3902367500440539,CF-A01-rare005,0.04130710000754334,1408.0,128.0,4.0,128.0,1408.0,44.0,90112.0,2560.0,5.0,2560.0,1408.0,44.0,1408.0,0.0,1408.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.19893990613126972,0.08838477855945115,0.02360234983343533,separated-unequal-rare,0.3310224670971694,0.11376291810781639,0.9442351536977248,0.0,missing,0.22890625000000003,0.0,31.0,-1.5891856013340948,-3.7090288501986444,-2.8852991731648943,-1.5583170478905264,-0.3607593451953929,-0.09061122371539798,0.915050708673292,0.16456008045281048,finisher,0.09475806451612903,0,45,0.3874273832416819,CF-A01-rare005,0.044186500017531216,1440.0,160.0,5.0,160.0,1440.0,45.0,92160.0,3072.0,6.0,3072.0,1440.0,45.0,1440.0,0.0,1440.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.4440936154671515,0.08878855609043046,0.02982489160473916,separated-unequal-rare,0.46791111425990506,0.1671713366314654,0.944451774153692,0.0,missing,0.24453125000000003,0.0,31.0,-1.5664557731655346,-3.7132853020602816,-2.869354494574637,-1.527983607613931,-0.33371130784804864,-0.06291348896680812,0.9214106882933951,0.2151032790494732,finisher,0.09438004032258064,0,46,0.3839312351922356,CF-A01-rare005,0.04777780000586063,1472.0,192.0,6.0,192.0,1472.0,46.0,94208.0,3584.0,7.0,3584.0,1472.0,46.0,1472.0,0.0,1472.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.360974320914733,0.09009542346981037,0.02873956435595625,separated-unequal-rare,0.11682189290952882,0.06106655205323568,0.9440246301792897,0.0,missing,0.27187500000000003,0.0,31.0,-1.5440747987860228,-3.709112526343895,-2.8490308866575402,-1.5002687616308026,-0.30939418388917744,-0.03762312480688183,0.9252757271141143,0.05488277547894335,finisher,0.09494707661290322,0,47,0.38147307050217005,CF-A01-rare005,0.050714500015601516,1504.0,224.0,7.0,224.0,1504.0,47.0,96256.0,4096.0,8.0,4096.0,1504.0,47.0,1504.0,0.0,1504.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,0.19523896297354457,0.09198933999010284,0.023125403285452727,separated-unequal-rare,0.2006947386354967,0.0740637012208074,0.9398263136300116,0.0,missing,0.30703125000000003,0.0,31.0,-1.489000848164678,-3.7428908083671266,-2.86703193297553,-1.4209306350348196,-0.21787596392536213,0.052800078118234374,0.9616425616933174,0.06822843898640228,finisher,0.0928679435483871,0,50,0.37631385023478564,CF-A01-rare005,0.05455390000133775,1600.0,256.0,8.0,256.0,1600.0,50.0,102400.0,4608.0,9.0,4608.0,1600.0,50.0,1600.0,0.0,1600.0
0.0,paper-0.5,CF-A01-rare005/missing,nan,-0.10062396604404883,0.11623929408238554,0.017181269332265253,separated-unequal-rare,0.18863956548199468,0.11017855047770218,0.8766500270240535,0.0,missing,0.35000000000000003,0.0,31.0,-1.3552187109861502,-3.860680532067305,-2.9094306687008116,-1.246454068765439,0.0632457184316224,0.35770761814042207,1.0829581482965507,0.14818674093688355,finisher,0.08833165322580645,0,60,0.38668434803936547,CF-A01-rare005,0.059997000003932044,1920.0,288.0,9.0,288.0,1920.0,60.0,122880.0,5120.0,10.0,5120.0,1920.0,60.0,1920.0,0.0,1920.0
