arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,training_batch,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,6,1200,1200,1024,1024,1.0,4096,1,6.375,0.0009765625,0.8768210999842267,8192,8192,1228800,0,12288000.0,2048,0.0019344753031509399,0.04752633060614293,0.09979350906395847,1.0,0.04097656249999998,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,7,1200,1200,1024,1024,1.0,4096,1,6.625,0.0009765625,0.7053409999934956,8192,8192,1228800,0,12288000.0,2048,0.0013777049632826,0.07743611965700731,0.14833628334628884,1.0,0.025839843750000036,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,1200,1200,1024,1024,1.0,4096,1,4.1875,0.0009765625,0.8141512000001967,8192,8192,1228800,0,12288000.0,2048,0.003971060420508765,0.042379864716169856,0.08353089190473725,1.0,0.0451171875,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,1,1200,1200,1024,1024,1.0,4096,1,4.6875,0.0009765625,0.7963139000057708,8192,8192,1228800,0,12288000.0,2048,0.003545380573889645,0.04008170564267324,0.07030813946064678,1.0,0.036660156250000006,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,2,1200,1200,1024,1024,1.0,4096,1,3.375,0.0009765625,0.9985691000183579,8192,8192,1228800,0,12288000.0,2048,0.002093575727788455,0.042002639108338645,0.07251150343348998,1.0,0.02935546874999999,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,3,1200,1200,1024,1024,1.0,4096,1,4.1875,0.0009765625,0.8776962999836542,8192,8192,1228800,0,12288000.0,2048,0.004318329767306173,0.04053622559576725,0.07188519741713276,1.0,0.03191406250000002,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,4,1200,1200,1024,1024,1.0,4096,1,4.0625,0.0009765625,0.8345921000000089,8192,8192,1228800,0,12288000.0,2048,0.0033101430173025914,0.04394238225543099,0.07363036479772768,1.0,0.029941406249999955,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,5,1200,1200,1024,1024,1.0,4096,1,3.875,0.0009765625,0.6841239999921527,8192,8192,1228800,0,12288000.0,2048,0.0017977655749326082,0.04941116864338759,0.09380398066164587,1.0,0.04410156249999998,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,6,1200,1200,1024,1024,1.0,4096,1,4.125,0.0009765625,0.7701062000123784,8192,8192,1228800,0,12288000.0,2048,0.004258569448652771,0.046698980426834964,0.08728714196205027,1.0,0.032714843749999986,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,7,1200,1200,1024,1024,1.0,4096,1,4.375,0.0009765625,0.8512641999986954,8192,8192,1228800,0,12288000.0,2048,0.004917829170938859,0.03723323307910902,0.07520801827285938,1.0,0.03091796875000001,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,0,1200,1200,1024,1024,1.0,4096,1,4.4375,0.0009765625,0.9389931000187062,8192,8192,1228800,0,12288000.0,2048,0.004467350528067016,0.05394458641135488,0.09391774266527744,1.0,0.037070312499999994,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,1,1200,1200,1024,1024,1.0,4096,1,3.875,0.0009765625,0.877349000016693,8192,8192,1228800,0,12288000.0,2048,0.0018100529912787877,0.042199750690901684,0.07421784671230995,1.0,0.03083984375,50,0,0
gated-pqt-M1024,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,missing,LBQCD-D02-unequal-min030-K10/missing,2,1200,1200,1024,1024,1.0,4096,1,4.625,0.0009765625,0.7139968000119552,8192,8192,1228800,0,12288000.0,2048,0.001626585107426859,0.05004850519865401,0.09116200595419643,1.0,0.03478515624999999,50,0,0
