K,d,tau_regime,eig_index,real,imag,eta_star,truth_residual,generator_kernel_pairs,generator_wall_seconds
4,1,sigma,0,-0.901719151832089,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,1,-0.7515882078659069,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,2,-0.666938246131103,0.003605288126131339,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,3,-0.666938246131103,-0.003605288126131339,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,4,-0.6510639996131327,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,5,-0.567006158479926,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,6,-0.425561980701003,0.04069989938627077,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,7,-0.425561980701003,-0.04069989938627077,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,8,-0.420949883798215,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,9,-0.2941522589704621,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,10,-0.26380376592363164,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,11,-0.22141025811742532,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,12,-0.20397771977866708,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,13,-0.1555242930183183,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,14,-0.0005091538680941868,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,15,-0.13379783938155884,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,16,-0.1165709482878162,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,17,-0.035565295578364194,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,18,-0.0868847297062817,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,19,-0.06657033152857264,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,20,-0.05661413774423133,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,21,-0.06162955298865884,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,22,-0.07152484631976969,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,sigma,23,-0.07206031832495399,0.0,2.217985495746046,0.0,55296,0.0015530586242675781
4,1,L,0,-0.5710805574456852,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,1,-0.5030225028124353,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,2,-0.32721317320021487,0.10208536808903634,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,3,-0.32721317320021487,-0.10208536808903634,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,4,-0.07582987518279347,0.0471037594688178,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,5,-0.07582987518279347,-0.0471037594688178,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,6,-0.05803656852906337,0.05574094490416036,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,7,-0.05803656852906337,-0.05574094490416036,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,8,-0.06402611632167056,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,9,-0.02841383752850775,0.035072875671949534,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,10,-0.02841383752850775,-0.035072875671949534,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,11,-0.039954613097304595,0.024055475112653907,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,12,-0.039954613097304595,-0.024055475112653907,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,13,-0.012419305355132438,0.01565783061577841,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,14,-0.012419305355132438,-0.01565783061577841,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,15,-0.020500031528702327,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,16,-0.017787518372679095,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,17,-0.01233286771142433,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,18,-0.010929163257074725,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,19,-0.0005415507803280466,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,20,-0.004449120179908096,0.0015105386528737174,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,21,-0.004449120179908096,-0.0015105386528737174,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,22,-0.0061513774098842676,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,1,L,23,-0.004390838797345249,0.0,3.502132884624106,0.0,55296,0.0013964176177978516
4,2,sigma,0,-0.9842015768731224,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,1,-0.9668643207803291,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,2,-0.9471236964789645,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,3,-0.9187252658487471,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,4,-0.8508987784996593,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,5,-0.8376143173112126,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,6,-0.8009914523591852,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,7,-0.7515917551515134,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,8,-0.7092222650629548,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,9,-0.6946961531886391,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,10,-0.6543969199409008,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,11,-0.6228665432822427,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,12,-0.601230487842629,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,13,-0.5614313174722676,0.06434228877351576,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,14,-0.5614313174722676,-0.06434228877351576,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,15,-0.5132078665274622,0.09060424671177175,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,16,-0.5132078665274622,-0.09060424671177175,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,17,-0.5139957218557434,0.016339004364161244,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,18,-0.5139957218557434,-0.016339004364161244,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,19,-0.4801414876988664,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,20,-0.4483340451317635,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,21,-0.42104677209944585,0.052872518475660615,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,22,-0.42104677209944585,-0.052872518475660615,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,23,-0.043200103612430596,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,24,-0.4207622992474116,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,25,-0.3943152566648986,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,26,-0.3694630781085241,0.006566401840563614,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,27,-0.3694630781085241,-0.006566401840563614,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,28,-0.35678425826883226,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,29,-0.058593679207284984,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,30,-0.06420790853347211,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,31,-0.08047672539930571,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,32,-0.09795990883462445,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,33,-0.09870374225875714,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,34,-0.3242974868707568,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
