all_reportable_components_reached,arm,cap_activated,cell,committed_step_norm,descent_step_cosine,ed2,family,field_max,field_rms,floor_activations,init,learning_rate,mass_l1,minimum_component_occupancy,negative_ess_min,negative_ess_p01,negative_ess_p10,negative_ess_p50,negative_ess_p90,negative_mass_min,negative_mass_p01,negative_mass_p10,negative_mass_p50,negative_mass_p90,negative_max_share_min,negative_max_share_p01,negative_max_share_p10,negative_max_share_p50,negative_max_share_p90,negative_neighbor_count_min,negative_neighbor_count_p01,negative_neighbor_count_p10,negative_neighbor_count_p50,negative_neighbor_count_p90,output_mean,output_q01,output_q10,output_q50,output_q90,output_q99,output_std,paper_calibration_median_step,paper_state_restored,paper_state_saved_step_index,parameter_gradient_norm,phase,positive_ess_min,positive_ess_p01,positive_ess_p10,positive_ess_p50,positive_ess_p90,positive_mass_min,positive_mass_p01,positive_mass_p10,positive_mass_p50,positive_mass_p90,positive_max_share_min,positive_max_share_p01,positive_max_share_p10,positive_max_share_p50,positive_max_share_p90,positive_neighbor_count_min,positive_neighbor_count_p01,positive_neighbor_count_p10,positive_neighbor_count_p50,positive_neighbor_count_p90,positive_target_samples,pre_cap_step_norm,quantile_cdf_error,seed,sharp_paper_gradient_cosine,sharp_qld_gradient_cosine,step,sw1,target,trust_cap,wall_seconds,work_backward_examples,work_calibration_backward_examples,work_calibration_generator_example_evals,work_calibration_generator_forward_calls,work_calibration_kernel_pairs,work_calibration_optimizer_updates,work_calibration_target_samples,work_calibration_unique_latent_samples,work_diagnostic_generator_example_evals,work_diagnostic_generator_forward_calls,work_diagnostic_target_samples,work_generator_example_evals,work_generator_forward_calls,work_kernel_pairs,work_metric_generator_example_evals,work_metric_generator_forward_calls,work_metric_target_samples,work_optimizer_updates,work_positive_target_samples,work_sort_work,work_unique_latent_samples
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,nan,nan,1.9299603294416032,separated-unequal-rare,nan,nan,0.0,concentrated,nan,1.6999999999999997,0.0,,,,,,,,,,,,,,,,,,,,,0.0012281646245498024,-0.07724805068146295,-0.04907575456851946,0.002201313851636884,0.048750881683056295,0.08343134662906836,0.037975574734721435,nan,0,0,nan,initial,,,,,,,,,,,,,,,,,,,,,,nan,0.3969884072580645,0,0.9854922528999306,0.8736809536337066,0,1.550033180918524,CF-A01-rare005,nan,0.0057379000063519925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,32.0,0.0,0.0,0.0,512.0,1.0,512.0,0.0,0.0,0.0,0.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.03689040801023052,0.33825636003847653,0.8411191894866632,separated-unequal-rare,1.8907717630007892,1.2066313450578192,0.0,concentrated,0.0025,1.0099999999999998,0.0,,,,,,,,,,,,,,,,,,,,,-0.16705198499581222,-1.6283653371650189,-1.4947659345312148,-0.20546791496418965,1.229771045893958,1.4658144259681962,1.0220826014085096,nan,0,25,1.6671087828351299,QLD,,,,,,,,,,,,,,,,,,,,,32.0,0.03689040801023052,0.2961819556451613,0,0.5083811977242882,0.9803023319490055,25,1.2715065585990353,CF-A01-rare005,nan,0.013345899991691113,800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,2.0,64.0,800.0,25.0,0.0,1024.0,2.0,1024.0,25.0,800.0,8000.0,800.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.04898428070991915,0.3553377360488556,0.3899154535685134,separated-unequal-rare,1.7963836502172774,1.0075384739376465,0.0,concentrated,0.0025,0.713125,0.0,,,,,,,,,,,,,,,,,,,,,-0.668752660411811,-2.1267147922975784,-1.8436703385056572,-0.7872180618958871,0.6933085055249775,1.4159363298736583,0.9597446717328382,nan,0,50,1.418573413679867,QLD,,,,,,,,,,,,,,,,,,,,,32.0,0.04898428070991915,0.22316028225806453,0,0.9869296781438931,0.941323716805155,50,0.771273562739934,CF-A01-rare005,nan,0.02169960000901483,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,3.0,96.0,1600.0,50.0,0.0,1536.0,3.0,1536.0,50.0,1600.0,16000.0,1600.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.008316611664272793,0.0031809001503342567,0.046621647408695566,separated-unequal-rare,3.7415279336550045,1.0866160616722407,0.0,concentrated,0.0025,0.08437500000000002,0.0,,,,,,,,,,,,,,,,,,,,,-1.4247227771661994,-3.037276730042032,-2.6903991169146697,-1.645570313914844,0.13297423957194118,1.4761487345831248,1.1007894645324523,nan,0,75,1.7651608270041443,QLD,,,,,,,,,,,,,,,,,,,,,32.0,0.008316611664272793,0.06760332661290322,0,0.9998513370440927,0.7995374376356048,75,0.23109386191081696,CF-A01-rare005,nan,0.02999650000128895,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,4.0,128.0,2400.0,75.0,0.0,2048.0,4.0,2048.0,75.0,2400.0,24000.0,2400.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.020324544729529048,0.49981007280720824,0.052496553035163096,separated-unequal-rare,4.184038169942343,0.819402582534297,0.0,concentrated,0.0025,0.13906250000000003,0.0,,,,,,,,,,,,,,,,,,,,,-1.409765043301058,-2.9098347083159393,-2.5869854192839132,-1.6002976005054936,0.017044062717775206,1.321273204728959,1.01276252743231,nan,0,84,0.8029261027805765,QLD,,,,,,,,,,,,,,,,,,,,,32.0,0.020324544729529048,0.0770539314516129,0,0.9985575565728373,0.8401772971639618,84,0.23641129525698681,CF-A01-rare005,nan,0.034304500004509464,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,5.0,160.0,2688.0,84.0,0.0,2560.0,5.0,2560.0,84.0,2688.0,26880.0,2688.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.019339896119015768,0.161614592101594,0.051112798041411445,separated-unequal-rare,0.18766053366662794,0.0955559355796448,0.0,concentrated,0.0025,0.12734375,0.0,,,,,,,,,,,,,,,,,,,,,-1.4050002388680105,-2.9166073486292143,-2.5965696967535163,-1.5972951793685781,0.0569487892346847,1.3480422753958885,1.0260756684218644,0.017905827271507524,0,84,0.20068577897967368,paper_stabilizer,,,,,,,,,,,,,,,,,,,,,32.0,0.019339896119015768,0.07573084677419355,0,0.998550075864001,0.8261474239728596,85,0.23662248811181422,CF-A01-rare005,nan,0.04207759999553673,2720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,6.0,192.0,2720.0,85.0,2048.0,3072.0,6.0,3072.0,85.0,2720.0,26880.0,2720.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.017124730428709038,-0.05471428778813403,0.04995939445565645,separated-unequal-rare,0.13419980214449168,0.08409537156452969,0.0,concentrated,0.0025,0.11171875000000002,0.0,,,,,,,,,,,,,,,,,,,,,-1.4015427051747282,-2.9289876369046186,-2.6088779290107476,-1.6052032048546572,0.08839222236771276,1.3735618375918917,1.0391830220310134,0.017905827271507524,0,84,0.1880768602592064,paper_stabilizer,,,,,,,,,,,,,,,,,,,,,32.0,0.017124730428709038,0.07503780241935484,0,0.9985005784791371,0.8116039655596899,86,0.23680013517603965,CF-A01-rare005,nan,0.04932600000756793,2752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.0,7.0,224.0,2752.0,86.0,4096.0,3584.0,7.0,3584.0,86.0,2752.0,26880.0,2752.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.014775283922947071,-0.24807294020541973,0.04920492822650768,separated-unequal-rare,0.25376197712261883,0.09120698235300707,0.0,concentrated,0.0025,0.11562500000000002,0.0,,,,,,,,,,,,,,,,,,,,,-1.398185773053997,-2.9409368904706006,-2.6198942782747494,-1.5955743811285577,0.10483239164866028,1.394837856470319,1.0501818998675152,0.017905827271507524,0,84,0.08771562159113577,paper_stabilizer,,,,,,,,,,,,,,,,,,,,,32.0,0.014775283922947071,0.07459677419354839,0,0.99841066898791,0.8002641212585481,87,0.2381842087874915,CF-A01-rare005,nan,0.05385649998788722,2784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,8.0,256.0,2784.0,87.0,6144.0,4096.0,8.0,4096.0,87.0,2784.0,26880.0,2784.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.014289082133527165,0.352521012838482,0.04854092036089086,separated-unequal-rare,0.19383394833757292,0.10627203419619799,0.0,concentrated,0.0025,0.11562500000000002,0.0,,,,,,,,,,,,,,,,,,,,,-1.3950465367753022,-2.953347793209327,-2.6316606383427517,-1.6029698278716262,0.11720334152275262,1.4169941112172142,1.061879124014902,0.017905827271507524,0,84,0.09666877023006484,paper_stabilizer,,,,,,,,,,,,,,,,,,,,,32.0,0.014289082133527165,0.07384072580645161,0,0.9983201494947788,0.7886090332741456,88,0.23867160888482045,CF-A01-rare005,nan,0.0584503999853041,2816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,9.0,288.0,2816.0,88.0,8192.0,4608.0,9.0,4608.0,88.0,2816.0,26880.0,2816.0
0.0,qld-v1,0.0,CF-A01-rare005/concentrated,0.012031425361072061,-0.20770594258385636,0.048180623258029964,separated-unequal-rare,0.11747448854781506,0.07005003908030315,0.0,concentrated,0.0025,0.11562500000000002,0.0,,,,,,,,,,,,,,,,,,,,,-1.3920023972038236,-2.961847032466176,-2.63974725666243,-1.5939180963715716,0.13524263036905798,1.432793210283483,1.0704457230509667,0.017905827271507524,0,84,0.14151495616700785,paper_stabilizer,,,,,,,,,,,,,,,,,,,,,32.0,0.012031425361072061,0.07339969758064516,0,0.9982156890571315,0.779754746965005,89,0.2393068403786484,CF-A01-rare005,nan,0.06206249998649582,2848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,10.0,320.0,2848.0,89.0,10240.0,5120.0,10.0,5120.0,89.0,2848.0,26880.0,2848.0
