arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.159571699994558,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006684525066003699,0.0694403719973896,0.21870392389185786,1.0065940618515015,1.078886893996371,1.0,0.208984375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.1549823000023025,0.0,0.0,0.0,0.0,0.16713914033025504
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006372914759106729,0.06723542549452853,0.20014628049178307,1.0105931758880615,1.0773700174974392,1.0,0.2021484375,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.13132727071642875,1.987346887588501,0.10122429903130978,1.4523706436157227,67584,0,0.19671460000245133,0.25,0.25,0.25,7.330414028697999,0.1882508497685194
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.007703635858722135,0.07394363949187922,0.2108165702069047,1.0215383768081665,1.0726468610362268,1.0,0.1826171875,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.13132727071642875,1.987346887588501,0.10126566148828715,1.2204645872116089,67584,98048,0.1934700999991037,0.25,0.25,0.25,7.206079403209257,0.18578479886054994
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006195607191106456,0.06639681304497683,0.18896345866487274,0.997123658657074,1.081891644325997,1.0,0.1943359375,nan,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,89617038,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.13132727071642875,1.987346887588501,0.10282465766649693,1.3092143535614014,67584,98048,0.24268519999895943,0.205,0.0,0.205,7.446194886574432,0.18696235455572605
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,0,0.14237629999843193,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.009547866378037284,0.1005520623833058,0.21000455277812163,0.910411536693573,1.617576575968111,1.0,0.004296875000000047,0.0021484375000000028,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67584,98048,0.14503310000145575,0.0,0.0,0.0,0.0,0.213252380117774
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014323560613184405,0.1328758067184413,0.3130365734385617,0.8093459606170654,1.80901864245889,1.0,0.03261718750000005,0.016308593750000003,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.22988930493593215,3.1668126583099365,0.1706816404941492,2.301621198654175,67584,0,0.19423590000224067,0.25,0.25,0.25,6.991238103922411,0.2314239602535963
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.012436086371069965,0.11745064244997107,0.2551048562272031,0.8653247356414795,1.7091739003411388,1.0,0.020898437500000047,0.010449218750000003,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.22988930493593215,3.1668126583099365,0.1709517069044523,2.4295549392700195,67584,98048,0.19287250000343192,0.25,0.25,0.25,7.047402315510243,0.23032633624970913
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.006557329695443759,0.08499072275584071,0.2003518337025762,0.9086267352104187,1.5526928739786539,1.0,0.006250000000000047,0.0031250000000000028,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.22988930493593215,3.1668126583099365,0.16448760161874815,1.6748268604278564,67584,98048,0.24242970000341302,0.2,0.0,0.2,6.8537197989485605,0.23817142471671104
