arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D02-tail-min035-K9,unequal-tail,concentrated,OASQD-D02-tail-min035-K9/concentrated,0,40,40,0.09667009999975562,1804,57728,0,256,57984,29056,29056,29056,0,4096,0,33152,24576,573440.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,1,0.060330412269685496,0.3468299052332635,0.844375,0.4246875,nan,40,1,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D02-tail-min035-K9,unequal-tail,concentrated,OASQD-D02-tail-min035-K9/concentrated,0,40,40,0.027154200011864305,229,7328,4096,256,11680,4256,4256,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",9,0,0.03515625,0,0.048115216878091616,0.31796510478918866,0.844375,0.49015624999999996,0.4580078125,40,1,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D02-tail-min035-K9,unequal-tail,concentrated,OASQD-D02-tail-min035-K9/concentrated,0,40,40,0.027694399992469698,229,7328,4096,256,11680,4256,4256,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",9,0,0.03515625,0,0.048115216878091616,0.31796510478918866,0.844375,0.49015624999999996,0.4580078125,40,1,0
paper-0.5,paper,0.5,OASQD-D02-tail-min035-K9,unequal-tail,concentrated,OASQD-D02-tail-min035-K9/concentrated,0,40,40,0.012166800006525591,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.05741706487223697,0.35633382398745544,0.844375,0.47062499999999996,nan,40,1,0
qld-v1,qld,0.5,OASQD-D02-tail-min035-K9,unequal-tail,concentrated,OASQD-D02-tail-min035-K9/concentrated,0,40,40,0.008042300003580749,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.03417958727323933,0.24982966414725483,0.844375,0.564375,nan,40,1,0
fixed-lbqcd,fixed,0.5,OASQD-D02-tail-min035-K9,unequal-tail,missing,OASQD-D02-tail-min035-K9/missing,0,40,40,0.1070406999788247,1804,57728,0,256,57984,29056,29056,29056,0,4096,0,33152,24576,573440.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,1,1.1603192063046237,2.1322232867889857,0.603125,0.88078125,nan,40,1,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D02-tail-min035-K9,unequal-tail,missing,OASQD-D02-tail-min035-K9/missing,0,40,40,0.029755399998975918,229,7328,4096,256,11680,4256,4256,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",9,0,0.04736328125,0,1.2503948002749807,2.168433270476995,0.603125,0.91984375,0.9443359375,40,1,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D02-tail-min035-K9,unequal-tail,missing,OASQD-D02-tail-min035-K9/missing,0,40,40,0.028996800014283508,229,7328,4096,256,11680,4256,4256,4256,2048,0,0,6304,24576,69440.0,3,3072,0,2,2,"{""armed"": 25, ""cooldown"": 0, ""global"": 15, ""local"": 0}",9,0,0.04736328125,0,1.2503948002749807,2.168433270476995,0.603125,0.91984375,0.9443359375,40,1,0
paper-0.5,paper,0.5,OASQD-D02-tail-min035-K9,unequal-tail,missing,OASQD-D02-tail-min035-K9/missing,0,40,40,0.009838500001933426,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,1.0934121267843036,2.045886367264795,0.72375,0.78703125,nan,40,1,0
qld-v1,qld,0.5,OASQD-D02-tail-min035-K9,unequal-tail,missing,OASQD-D02-tail-min035-K9/missing,0,40,40,0.00920810000388883,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,1.2517410214689233,2.167348202230841,0.603125,0.92859375,nan,40,1,0
fixed-lbqcd,fixed,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.008295599982375279,40,1280,0,256,1536,1280,1280,1280,0,4096,0,5376,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.035904686584033785,0.2575991162305919,1.0,0.0,nan,1,0,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.016449799994006753,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,1,1.0,0,0.035904686584033785,0.2575991162305919,1.0,0.0,0.0,1,0,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.016049800004111603,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,1,1.0,0,0.035904686584033785,0.2575991162305919,1.0,0.0,0.0,1,0,0
paper-0.5,paper,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.016227699990849942,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.029998339752834058,0.19412314560733857,1.0,0.0,nan,1,0,0
qld-v1,qld,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.013895500014768913,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.035904686584033785,0.2575991162305919,1.0,0.0,nan,1,0,0
fixed-lbqcd,fixed,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.00849410000955686,40,1280,0,256,1536,1280,1280,1280,0,4096,0,5376,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.008738025674216887,0.15539114438927165,1.0,0.0,nan,1,0,0
oa-pulse-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.01868280000053346,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,0,1.0,0,0.008738025674216887,0.15539114438927165,1.0,0.0,0.0,1,0,0
oa-stop-full-H25-P25-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.0182904000103008,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,0,1.0,0,0.008738025674216887,0.15539114438927165,1.0,0.0,0.0,1,0,0
paper-0.5,paper,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.013036199990892783,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.007620273085866325,0.14143427728759084,1.0,0.0,nan,1,0,0
qld-v1,qld,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.010282800009008497,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.008738025674216887,0.15539114438927165,1.0,0.0,nan,1,0,0
