arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1437891000023228,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005160961533222652,0.058184478348107346,0.18596988470093836,0.9840884208679199,1.0844672491111498,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.1518050000013318,0.0,0.0,0.0,0.0,0.16930737048387529
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006205495880762024,0.07064117832734446,0.21419480435007066,1.01290762424469,1.0698274550912772,1.0,0.18359375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.14174018510384484,1.9032431840896606,67584,0,0.20516099999804283,0.25,0.25,0.25,6.508508974485468,0.18786683827638626
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.00637714747970386,0.07151040010816222,0.21589840255336737,1.0111345052719116,1.070920534290024,1.0,0.1865234375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.14251350060803816,1.6134769916534424,67584,98048,0.1906742999999551,0.25,0.25,0.25,6.434944379324035,0.1848678097128868
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.004181517146258473,0.05438550964665906,0.16499116809494616,0.9721974730491638,1.0795359933100424,1.0,0.1982421875,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,89617038,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.18031793124973775,2.40400767326355,0.14506684847874568,1.95110023021698,67584,98048,0.2324058000012883,0.1975,0.0,0.1975,6.607350396779729,0.18426808454096316
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.15589199999521952,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014414153269036056,0.11847703667661395,0.20698757926680209,0.9267560243606567,1.613759502114266,1.0,0.006250000000000047,0.0031250000000000028,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.1487141999969026,0.0,0.0,0.0,0.0,0.21318091340363027
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01613456221794296,0.12090811783355657,0.2030741364363294,0.9388635754585266,1.5385508974185695,1.0,0.002343750000000047,0.0011718750000000028,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.2352600315120071,2.4491560459136963,67584,0,0.18553859999519773,0.25,0.25,0.25,6.595531170577532,0.23666351176798345
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.005842820024255069,0.07988716042045838,0.19576052233965188,0.9020112156867981,1.6003406792713093,1.0,0.006250000000000047,0.0031250000000000028,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.23484250060282646,2.825197696685791,67584,98048,0.184711599998991,0.25,0.25,0.25,6.457990282187188,0.2312249131500721
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.0083458887683312,0.09320927713500174,0.1753627764979594,0.9490859508514404,1.5129371233450297,1.0,0.011328124999999953,0.005664062499999997,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1357488167,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3086717091500759,3.6577188968658447,0.22983159660361707,2.1850621700286865,67584,98048,0.23309799999697134,0.2225,0.0,0.2225,6.2933710560639184,0.23940140046179295
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1448829000000842,0.0,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.01442134255533789,0.10363260489832637,0.13106422122708866,0.9713131785392761,1.112707215671881,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.14335019999998622,0.0,0.0,0.0,0.0,0.17986298128962516
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005631518663349322,0.061402272152701595,0.0968355686469764,0.9226547479629517,1.1081709343615043,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16291817168239503,1.612876057624817,67584,0,0.18693599999824073,0.25,0.25,0.25,6.877497057723289,0.19600963406264782
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0057398343909307314,0.06181036001574088,0.09177590284511992,0.9281281232833862,1.1025627524964874,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16705009455326944,1.524435043334961,67584,98048,0.18759080000018002,0.25,0.25,0.25,7.206407421507322,0.2083335265517235
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0057398343909307314,0.06181036001574088,0.09177590284511992,0.9281281232833862,1.1025627524964874,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16705009455326944,1.524435043334961,67584,98048,0.23045579999597976,0.25,0.25,0.25,7.206407421507322,0.2083335265517235
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.18200400000205263,0.0,0.0,0.0,0.0,0.16002833917737008
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0044604603471927184,0.05794579765828635,0.10326721836187694,1.0059641599655151,1.931651030552104,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.1473480999993626,0.0,0.0,0.0,0.0,0.16158498283475636
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.003475868073416155,0.048666907446235946,0.09030845581539099,1.0041927099227905,1.9408824186123117,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.2599930064403452,3.0192742347717285,67584,0,0.18495189999521244,0.25,0.25,0.25,4.173634749228584,0.17891770079731942
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0050991400430477896,0.05578108756914477,0.09355631122153266,1.0171725749969482,1.9438640327921255,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.2581631822162308,3.1841211318969727,67584,98048,0.1896673999945051,0.25,0.25,0.25,4.158141841887734,0.1789561290293932
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.003363098929563879,0.049647326892776004,0.09389903732311058,0.9777337908744812,1.9550167358004613,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.2599818104528822,3.438579559326172,67584,98048,0.24568529999669408,0.225,0.0,0.225,3.9316405597032307,0.17861488796770572
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,0,0.1569524000005913,0.0,0.0,0.0,0.0,0.1938877899199724
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021625373179104734,0.10497064370645155,0.13561924337344222,0.9976884722709656,2.5678792765440206,1.0,0.021484375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,98048,0.14757539999845903,0.0,0.0,0.0,0.0,0.19413425847887994
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01600167502320282,0.09030385120799662,0.1209244160735882,0.9958947896957397,2.567282331012561,1.0,0.0224609375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.4765538801904768,2.3339345455169678,68608,0,0.1862189000021317,0.25,0.25,0.25,4.625283138919981,0.21524118818342686
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01595803120631789,0.0900915208891903,0.12012430321239663,0.9953245520591736,2.5643645844756824,1.0,0.0234375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.47743856511078775,2.3232216835021973,68608,98048,0.18857060000300407,0.25,0.25,0.25,4.621898085585248,0.21508878655731678
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01595803120631789,0.0900915208891903,0.12012430321239663,0.9953245520591736,2.5643645844756824,1.0,0.0234375,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.47743856511078775,2.3232216835021973,68608,98048,0.23915760000090813,0.25,0.25,0.25,4.621898085585248,0.21508878655731678
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,0,0.14808030000131112,0.0,0.0,0.0,0.0,0.21398065090179444
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0067740105258216055,0.06719351203840324,0.11721407244118716,1.0233025550842285,2.7951776138028257,1.0,0.04257812499999995,0.021289062499999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,98048,0.14983690000372007,0.0,0.0,0.0,0.0,0.21204496845602988
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.008435237096211079,0.071289224147945,0.12399477671014118,1.0214533805847168,2.8648709807206183,1.0,0.023046874999999953,0.011523437499999997,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.800699633359909,4.685269832611084,0.7379485132638365,3.8008806705474854,68608,0,0.18792289999692002,0.25,0.25,0.25,4.677081210798824,0.24130002707242965
