arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,5,0,67584,0,0.1660836000010022,0.0,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.5815699660346505,1.5794342434011945,0.008513924910846793,0.07911703206016019,0.10463005618477621,0.9533311724662781,1.1217545685441348,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,5,0,67584,98048,0.147128700002213,0.0,0.0,0.0,0.0,0.17947774194180965
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.5815699660346505,1.5794342434011945,0.011105876871742026,0.08894464674389774,0.1212298621385866,0.9353049993515015,1.1127434794622468,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,5,5,2621440,67584,0,0.1680966999992961,0.0625,0.0,0.25,1.520328628366732,0.17400186620652675
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.5815699660346505,1.5794342434011945,0.010398141164657204,0.08634506148190388,0.11295782638281132,0.9479016661643982,1.1144815310615999,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,5,5,2621440,67584,98048,0.15950919999886537,0.0625,0.0,0.25,1.5736959353475968,0.1836318328976631
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.5815699660346505,1.5794342434011945,0.010398141164657204,0.08634506148190388,0.11295782638281132,0.9479016661643982,1.1144815310615999,nan,nan,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1889403943,32,16,5,5,2621440,67584,98048,0.1763197999971453,0.0625,0.0,0.25,1.5736959353475968,0.1836318328976631
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,5,0,67584,0,0.1407626000000164,0.0,0.0,0.0,0.0,0.16002833917737008
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.9108119718572762,1.4464654118377098,0.004638098132391022,0.06034746956621141,0.11159272366053172,0.9920111894607544,1.942911630062175,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,5,0,67584,98048,0.14017730000341544,0.0,0.0,0.0,0.0,0.159918599575758
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.9108119718572762,1.4464654118377098,0.013588943299603695,0.08575107894022967,0.1259516077310066,1.0241281986236572,1.890984677512021,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,5,5,2621440,67584,0,0.16154899999673944,0.0625,0.0,0.25,1.0837434897044154,0.16860160045325756
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.9108119718572762,1.4464654118377098,0.012591818394961152,0.0893134900036027,0.12892378136416985,0.9968805313110352,1.9174145822780526,nan,nan,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,5,5,2621440,67584,98048,0.16680420000193408,0.0625,0.0,0.25,1.1144185314601902,0.16683159545063972
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,5,64,64,3,3,3.9108119718572762,1.4464654118377098,0.012591818394961152,0.0893134900036027,0.12892378136416985,0.9968805313110352,1.9174145822780526,nan,nan,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,3387850064,32,16,5,5,2621440,67584,98048,0.17264730000169948,0.0625,0.0,0.25,1.1144185314601902,0.16683159545063972
