all_reportable_components_reached,arm,best_before_handoff_ed2,best_ed2,best_ed2_step,cell,diverged,ed2,family,finisher,five_step_ed2_change,floor_activations,handoff,handoff_ed2,init,label_free_event_censored,label_free_event_time,mass_l1,minimum_component_occupancy,occupancy_event_censored,occupancy_event_time,output_mean,output_q01,output_q10,output_q50,output_q90,output_q99,output_std,quantile_cdf_error,reference_mode,seed,sw1,target,tau,wall_seconds,work_backward_examples,work_diagnostic_generator_example_evals,work_diagnostic_generator_forward_calls,work_diagnostic_target_samples,work_generator_example_evals,work_generator_forward_calls,work_kernel_pairs,work_metric_generator_example_evals,work_metric_generator_forward_calls,work_metric_target_samples,work_negative_reference_samples,work_optimizer_updates,work_positive_target_samples,work_sort_work,work_unique_latent_samples
0.0,paper-0.5,0.6452867899311472,0.033973505662316716,375,CF-A01-rare005/missing,0,0.04942275974554078,separated-unequal-rare,paper,nan,0,continuous,0.6452867899311472,missing,0,150,0.094375,0.0,1,400,-1.3561828313726059,-2.7601193301303293,-2.5345484006380152,-1.5122694527397056,0.4058875682697279,0.9375748523640016,1.1150051897768654,0.06090914818548387,reused_masked,1,0.2038462288495181,CF-A01-rare005,0.5,0.6434822000155691,25600.0,1408.0,22.0,1408.0,25600.0,400.0,3276800.0,47104.0,23.0,47104.0,25600.0,400.0,25600.0,0.0,25600.0
0.0,qld-v1,0.048394839367454034,0.04755095676443677,375,CF-A01-rare005/missing,0,0.0482552809332486,separated-unequal-rare,paper,0.002933413008600949,0,carry,0.054747090235094165,missing,0,225,0.048085937500000016,0.0,1,400,-1.4381388407807552,-2.7690335402460615,-2.6048829113404994,-1.669753052263251,0.31170556807056626,0.9904764350320922,1.0808623366949464,0.06494140625,reused_masked,1,0.2058317733779639,CF-A01-rare005,0.5,0.81096180001623,25600.0,640.0,10.0,640.0,25600.0,400.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,25600.0
0.0,qld-full,0.048394839367454034,0.04283564745371904,375,CF-A01-rare005/missing,0,0.0631805159907659,separated-unequal-rare,qld,0.000250863576171545,0,carry,0.054747090235094165,missing,0,225,0.09886718750000002,0.0,1,400,-1.3107569947668454,-2.825522973886396,-2.5742070004854534,-1.5404145818273802,0.5665950676140632,1.4906678376650249,1.1856610433804964,0.06817036290322581,,1,0.23086178131013285,CF-A01-rare005,,0.946644900017418,25600.0,640.0,10.0,640.0,25600.0,400.0,0.0,47104.0,23.0,47104.0,0.0,400.0,25600.0,307200.0,25600.0
0.0,qld-paper-reset,0.048394839367454034,0.042300852098876573,375,CF-A01-rare005/missing,0,0.05213147927118644,separated-unequal-rare,paper,-0.003760727324449986,0,reset,0.054747090235094165,missing,0,225,0.09105468750000002,0.0,1,400,-1.338232139021284,-2.7835545511869664,-2.5308525281143734,-1.4941129941290692,0.4197128109133995,1.1675052862232094,1.1307691066381744,0.05961756552419355,reused_masked,1,0.2008871487204434,CF-A01-rare005,0.5,1.104661000019405,25600.0,640.0,10.0,640.0,25600.0,400.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,25600.0
0.0,qld-mean-crossfit-t0.2,0.048394839367454034,0.029695057085105114,400,CF-A01-rare005/missing,0,0.029695057085105114,separated-unequal-rare,mean,-0.011123117934584759,0,reset,0.054747090235094165,missing,0,225,0.11777343750000001,0.0,1,400,-1.638198002146205,-2.6119650293547267,-2.479282792078423,-1.9784784805700335,-0.2631924872930387,0.30167152741646,0.8738139618556671,0.04791456653225806,crossfit,1,0.21143371691270624,CF-A01-rare005,0.2,1.268044700002065,25600.0,1280.0,20.0,640.0,33280.0,520.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,33280.0
0.0,qld-sharp-deleted-t0.2,0.048394839367454034,0.027867190196638303,400,CF-A01-rare005/missing,0,0.027867190196638303,separated-unequal-rare,sharp,-0.0027948692123291874,0,reset,0.054747090235094165,missing,0,225,0.10000000000000002,0.0,1,400,-1.602453155713319,-2.7610402628585997,-2.5308043411150303,-1.756811897410871,-0.3282144198665325,0.24165315314234578,0.8826906180715851,0.05579007056451613,reused_deleted,1,0.20531252124720847,CF-A01-rare005,0.2,1.4400097000179812,25600.0,640.0,10.0,640.0,25600.0,400.0,975360.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,25600.0
0.0,qld-sharp-crossfit-t0.2,0.048394839367454034,0.026038416267474718,400,CF-A01-rare005/missing,0,0.026038416267474718,separated-unequal-rare,sharp,0.0008228303191675224,0,reset,0.054747090235094165,missing,0,225,0.10976562500000002,0.0,1,400,-1.5719682973119498,-2.6758064816307567,-2.4828855898959596,-1.7303825378413746,-0.27880216485764686,0.35829747974962234,0.8868614263259591,0.04695375504032258,crossfit,1,0.18573554623086416,CF-A01-rare005,0.2,1.6089612999930978,25600.0,1280.0,20.0,640.0,33280.0,520.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,33280.0
0.0,qld-kgrad-crossfit-t0.2,0.048394839367454034,0.030275322809338867,400,CF-A01-rare005/missing,0,0.030275322809338867,separated-unequal-rare,kgrad,0.010740605493509081,0,reset,0.054747090235094165,missing,0,225,0.11367187500000002,0.0,1,400,-1.5502138663176184,-2.6709434294690384,-2.4610077949934013,-1.7049609125492524,-0.2102878062084037,0.2764920361945438,0.8783089015460263,0.04437058971774194,crossfit,1,0.18683136799417796,CF-A01-rare005,0.2,1.7788112999987788,25600.0,1280.0,20.0,640.0,33280.0,520.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,33280.0
0.0,qld-mean-crossfit-t0.5,0.048394839367454034,0.03685675452810844,400,CF-A01-rare005/missing,0,0.03685675452810844,separated-unequal-rare,mean,-0.0050320194366295645,0,reset,0.054747090235094165,missing,0,225,0.07851562500000002,0.0,1,400,-1.477509336693227,-2.646817404871415,-2.5341604342825477,-1.6869411747818046,0.17503019340011747,0.7099217813545753,1.0213673397778977,0.059586063508064516,crossfit,1,0.18271775536788548,CF-A01-rare005,0.5,1.938867000018945,25600.0,1280.0,20.0,640.0,33280.0,520.0,983040.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,33280.0
0.0,qld-sharp-deleted-t0.5,0.048394839367454034,0.036525702382459446,375,CF-A01-rare005/missing,0,0.041695829090635295,separated-unequal-rare,sharp,-0.0024358708090475023,0,reset,0.054747090235094165,missing,0,225,0.07250000000000002,0.0,1,400,-1.396028419663246,-2.7696037029955987,-2.5389641905199243,-1.5616981687985985,0.2908027529715348,0.9761851284954087,1.0799361132987786,0.05345892137096774,reused_deleted,1,0.18172050935872047,CF-A01-rare005,0.5,2.1249517000105698,25600.0,640.0,10.0,640.0,25600.0,400.0,975360.0,47104.0,23.0,47104.0,7680.0,400.0,25600.0,215040.0,25600.0
