arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,1,radius-priority,0.0625,0,2026072201,1.0,0.15,0.7697260000059032,0.0002961999998660758,0.005084500000521075,0.7751067000062903,64,64,3,3,3.8960485534231983,1.45194654838736,0.18370650553530465,0.3383068481958127,0.5605384302810369,0.6022529602050781,1.2827651943183878,0.75,0.51953125,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1820206.0,1441792.0,378414.0,64,32,32,32.0,1,1,89617038,32,16,2,2,262144,1048576,128,radius-priority,0.0625,7,65536,83502.0,4096,1,524288,0.0017960687400773168,1.0000001192092896,0.0001777025609044358,0.013551976531744003,0.00019955939205829054,0.1063392236828804,0.053440965712070465,0.10634264349937439,0.021610120893456042,0.07300565391778946,1,16,28.25,0,34304,0,0.7697260000059032,0.25,0.25,0.25,7.986531597640763,0.5904325544834137
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,radius-priority,0.0625,0,2026072201,1.0,0.15,0.8408853000000818,0.00020619999850168824,0.004603399996994995,0.8456948999955785,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05607894386686363,0.19205672843116692,0.4618409649743639,0.8009335398674011,3.1326801252081786,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,229376,131072,98304,1821386.0,1441792.0,379594.0,64,32,32,32.0,1,1,1730137501,16,8,2,2,262144,1048576,128,radius-priority,0.0625,7,65536,84682.0,8192,1,524288,0.03702056035399437,0.9997981786727905,0.010623998939990997,0.07354454696178436,0.010828808881342411,1.1211333274841309,0.5382453799247742,0.9368049502372742,0.11192084243521094,0.3329567611217499,1,16,29.75,0,35328,0,0.8408853000000818,0.25,0.25,0.25,19.430921695565566,0.8526420593261719
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,radius-priority,0.0625,0,2026072201,1.0,0.15,0.7885157999990042,0.0003037999995285645,0.005080100003397092,0.7938997000019299,64,64,36,36,0.3208946893756642,8.81419112995982,0.06749799595554151,0.16070707212281596,0.26916526175314853,0.8006783127784729,5.705120744392798,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1820950.0,1441792.0,379158.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,radius-priority,0.0625,7,65536,84246.0,16384,1,524288,0.33335065841674805,0.9503329992294312,0.0391681082546711,0.08799074590206146,0.03988659009337425,4.107242107391357,1.1927711367607117,1.9733057022094727,0.3194808466359973,0.8739956617355347,1,16,26.0,0,37376,0,0.7885157999990042,0.25,0.25,0.25,46.91436391439224,1.0898765325546265
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,radius-priority,0.0625,0,2026072201,1.0,0.15,0.7963369999997667,0.018536499999754597,0.014068600001337472,0.8289421000008588,64,192,136,136,0.18133241385215962,19.103598422078235,0.07318426994301763,0.1426409712911847,0.24062110797022546,0.8505764007568359,8.927113649165056,nan,nan,nan,16,1024,2048,32,2048,3072,491520,393216,98304,4705188.0,4325376.0,379812.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,radius-priority,0.0625,7,65536,84900.0,32768,1,524288,0.5089516639709473,0.9985324144363403,0.05762834846973419,0.06684020161628723,0.060513775795698166,9.619898796081543,2.313891291618347,3.171942949295044,0.6477135773748159,1.6712584495544434,1,8,27.75,0,123392,0,0.7963369999997667,0.25,0.25,0.25,20.006257958390528,1.486593782901764
