arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,16.0,0.016,0.021747112734619822,0.1600443071273719,0.4889542612574272,0.729682207107544,1.7664090691400585,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.556820499994501,0.0,2048,4610
minibatch-sw,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,16.0,0.016,0.02873285666077141,0.17106077896027547,0.29472621884516326,1.06404447555542,1.5438423835407584,1.0,0.09238281249999995,0.04619140625,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8399003000013181,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,32.0,0.032,0.03465643976196109,0.18700994642875687,0.409382015139559,0.8241493105888367,1.9630872047262706,0.5,0.06093750000000005,0.030468750000000003,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.323332300002221,0.07964150000043446,2048,4610
kll-atlas-rsr,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,32.0,0.032,0.03752042960840862,0.2010086516607407,0.4470045215937748,0.8122051954269409,1.9532192346338324,0.5,0.08046875000000005,0.040234375,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.28456159999768715,0.06019450000167126,2048,4610
kll-small-rsr,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,16.0,0.016,0.006168593192831029,0.08253218712174402,0.24487148072739365,0.8546412587165833,1.7354249726403639,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.4008959000057075,0.06019450000167126,2048,4610
kll-paper-hybrid,neural,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,32.0,0.032,0.06062237444540752,0.2540276284616066,0.4147895758589842,0.9741686582565308,1.5076202581839668,1.0,0.005468749999999953,0.0027343749999999972,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.6648026999973808,0.06019450000167126,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,nan,nan,0.0012410383084151544,0.03571349950060246,0.10881551587176069,0.9884094758069198,1.535708511171636,1.0,0.0015624999999999528,0.0007812499999999972,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.2005416999963927,0.07964150000043446,0,0
paper-neural,neural,NPR-d2-rare-gmm,rare-gmm,2,0,broad,16.0,0.016,0.03967941187920143,0.21696272508433123,0.5980218086768766,0.5957919955253601,1.8580417297289147,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6426789999968605,0.0,2048,4610
minibatch-sw,neural,NPR-d2-rare-gmm,rare-gmm,2,0,broad,16.0,0.016,0.11790968889124942,0.33127609718201667,0.43201564319329006,1.0860719680786133,1.3963722116956743,1.0,0.04843749999999995,0.024218749999999997,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8595717000061995,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-rare-gmm,rare-gmm,2,0,broad,32.0,0.032,0.04041952235253499,0.21991624707300256,0.44066225480409793,0.8085449934005737,1.5560458651759408,0.5,0.07167968750000005,0.03583984375,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.23764810000284342,0.07964150000043446,2048,4610
