arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,0,1200,1200,1024,840,360,256,1.0,4096,1,7.375,0.00390625,0.5325828999921214,8192,8192,906240,0,8924160.0,512,0.004655564787264588,0.0668179600583838,0.10447069336800408,1.0,0.03306640625000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,1,1200,1200,1024,840,360,256,1.0,4096,1,7.0625,0.00390625,0.4703421000158414,8192,8192,906240,0,8924160.0,512,0.005983040017264907,0.07579226725700194,0.12253607995812676,1.0,0.02880859375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,1200,1200,1024,840,360,256,1.0,4096,1,7.1875,0.00390625,0.5168647000100464,8192,8192,906240,0,8924160.0,512,0.0032510803171443836,0.059802492316144616,0.09508842279286008,1.0,0.03177734374999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,3,1200,1200,1024,840,360,256,1.0,4096,1,7.0625,0.00390625,0.5417097000172362,8192,8192,906240,0,8924160.0,512,0.002884289811156071,0.06092626115744667,0.09478942130739355,1.0,0.02953125000000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,4,1200,1200,1024,840,360,256,1.0,4096,1,6.5,0.00390625,0.609771899995394,8192,8192,906240,0,8924160.0,512,0.0064374350435361105,0.0831392823508133,0.12640601208434324,1.0,0.045097656250000034,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,5,1200,1200,1024,840,360,256,1.0,4096,1,6.75,0.00390625,0.6344620999880135,8192,8192,906240,0,8924160.0,512,0.00468589259272556,0.06641216827501242,0.1082646993984062,1.0,0.029179687499999996,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,6,1200,1200,1024,840,360,256,1.0,4096,1,7.4375,0.00390625,0.6562286000116728,8192,8192,906240,0,8924160.0,512,0.00392963837266791,0.07113757895162792,0.11937987198194508,1.0,0.048457031250000004,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,7,1200,1200,1024,840,360,256,1.0,4096,1,6.75,0.00390625,0.6260387999936938,8192,8192,906240,0,8924160.0,512,0.004993845718262557,0.058182191091292704,0.0994119813195983,1.0,0.025449218750000002,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,1200,1200,1024,840,360,256,1.0,4096,1,6.75,0.00390625,0.6013908000022639,8192,8192,906240,0,8924160.0,512,0.004274303393625445,0.0779967513404165,0.14192504072641904,1.0,0.03833984374999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,1200,1200,1024,840,360,256,1.0,4096,1,6.4375,0.00390625,0.602127299993299,8192,8192,906240,0,8924160.0,512,0.002665194012291039,0.08144602697148555,0.13654474500518698,1.0,0.04076171875000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,1200,1200,1024,840,360,256,1.0,4096,1,7.25,0.00390625,0.5059220000111964,8192,8192,906240,0,8924160.0,512,0.01246729550258463,0.06765655590170766,0.10678658477367195,1.0,0.0496484375,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,3,1200,1200,1024,840,360,256,1.0,4096,1,6.75,0.00390625,0.6015524999820627,8192,8192,906240,0,8924160.0,512,0.00259222639858514,0.06649356081318178,0.11930767030046507,1.0,0.04738281249999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,4,1200,1200,1024,840,360,256,1.0,4096,1,6.625,0.00390625,0.5930447000137065,8192,8192,906240,0,8924160.0,512,0.009528583124630119,0.07122659944068058,0.11896976467862784,1.0,0.04880859374999999,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,5,1200,1200,1024,840,360,256,1.0,4096,1,6.1875,0.00390625,0.5812556000018958,8192,8192,906240,0,8924160.0,512,0.004228128064390546,0.0643045401268965,0.0974649112117455,1.0,0.02763671875000004,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,6,1200,1200,1024,840,360,256,1.0,4096,1,6.375,0.00390625,0.5439120999944862,8192,8192,906240,0,8924160.0,512,0.002955747708012879,0.06451631537989716,0.10715256712079421,1.0,0.04097656249999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,7,1200,1200,1024,840,360,256,1.0,4096,1,6.625,0.00390625,0.6104966999846511,8192,8192,906240,0,8924160.0,512,0.001989356279823218,0.08114681599554142,0.14140458634327732,1.0,0.025839843750000036,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,0,1200,1200,1024,840,360,256,1.0,4096,1,4.1875,0.00390625,0.5272190000105184,8192,8192,906240,0,8924160.0,512,0.004716690122646527,0.055356466572814816,0.09030446093059599,1.0,0.046132812499999995,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,1,1200,1200,1024,840,360,256,1.0,4096,1,4.6875,0.00390625,0.6491113000083715,8192,8192,906240,0,8924160.0,512,0.004511318315614465,0.05475455888009065,0.07984546200273647,1.0,0.03460937500000001,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,2,1200,1200,1024,840,360,256,1.0,4096,1,3.375,0.00390625,0.5342966000025626,8192,8192,906240,0,8924160.0,512,0.0028166192740133322,0.05672902634366879,0.08322717086022105,1.0,0.03107421874999998,50,0,0
gated-pqt-M1024-f0.70,persistent-quantile-transport,LBQCD-D02-unequal-min030-K10,unequal,concentrated,LBQCD-D02-unequal-min030-K10/concentrated,3,1200,1200,1024,840,360,256,1.0,4096,1,4.1875,0.00390625,0.6030031000263989,8192,8192,906240,0,8924160.0,512,0.004939660784848421,0.055904011200225985,0.08287844994010575,1.0,0.02947265625000002,50,0,0
