arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1685873000024003,0.0,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009925642612886865,0.08335483583772542,0.10637957589897527,0.9554298520088196,1.1199559848996716,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.14616899999964517,0.0,0.0,0.0,0.0,0.183595634624362
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005631518663349322,0.061402272152701595,0.0968355686469764,0.9226547479629517,1.1081709343615043,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16291817168239503,1.612876057624817,67584,0,0.2935799000042607,0.25,0.25,0.25,6.877497057723289,0.19600963406264782
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0049498317197973485,0.06590484050211827,0.0908294919532773,0.9699724316596985,1.1087531155198815,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16929284858051688,1.5964068174362183,67584,98048,0.2841837999949348,0.25,0.25,0.25,7.4622346564280715,0.21417445465922355
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.5815699660346505,1.5794342434011945,0.0049498317197973485,0.06590484050211827,0.0908294919532773,0.9699724316596985,1.1087531155198815,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1889403943,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3232552774250507,9.557611465454102,0.16929284858051688,1.5964068174362183,67584,98048,0.3364489000014146,0.25,0.25,0.25,7.4622346564280715,0.21417445465922355
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,0,0.1502468000035151,0.0,0.0,0.0,0.0,0.16002833917737008
cta-kll-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.004082046076287593,0.05465028267264086,0.10317120910185186,1.0010515451431274,1.9250168458483907,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,67584,98048,0.1477087000021129,0.0,0.0,0.0,0.0,0.1629343915730715
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.003475868073416155,0.048666907446235946,0.09030845581539099,1.0041927099227905,1.9408824186123117,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.2599930064403452,3.0192742347717285,67584,0,0.30579829999624053,0.25,0.25,0.25,4.173634749228584,0.17891770079731942
cta-kll-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.004122839170214387,0.05338643565421466,0.09606628702204437,0.9842545986175537,1.9360952728298215,nan,nan,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.25925330944592134,3.1833200454711914,67584,98048,0.2991284999952768,0.25,0.25,0.25,4.186879439740718,0.18153885342180728
cta-kll-guarded,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0024062930463371046,0.043890341703776065,0.10048020857872662,0.9601421356201172,1.939366689247871,nan,nan,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,1310720,10485760,64,6,122880,798720.0,40960,0,0,0.0,1.0,0.3708886757493019,6.805947780609131,0.259548046218697,3.3015799522399902,67584,98048,0.3436230000006617,0.225,0.0,0.225,3.9252300943619955,0.17907104194164275
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,0,0.16869839999708347,0.0,0.0,0.0,0.0,0.1938877899199724
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.022063191815993477,0.1061015870389273,0.13726254911625335,0.9999094605445862,2.571931168356622,1.0,0.0205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,98048,0.14883899999404093,0.0,0.0,0.0,0.0,0.19469393528997897
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.01600167502320282,0.09030385120799662,0.1209244160735882,0.9958947896957397,2.567282331012561,1.0,0.0224609375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.4765538801904768,2.3339345455169678,68608,0,0.2989694999996573,0.25,0.25,0.25,4.625283138919981,0.21524118818342686
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.016211692141346212,0.09095365350849502,0.12112066249385153,0.9959800839424133,2.57108188119305,1.0,0.0224609375,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.4765235578175634,2.4127609729766846,68608,98048,0.30197010000119917,0.25,0.25,0.25,4.630295371031528,0.21584243327379227
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.016211692141346212,0.09095365350849502,0.12112066249385153,0.9959800839424133,2.57108188119305,1.0,0.0224609375,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.5573329865932465,2.7256038188934326,0.4765235578175634,2.4127609729766846,68608,98048,0.3435075000015786,0.25,0.25,0.25,4.630295371031528,0.21584243327379227
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,0,0.1496393999987049,0.0,0.0,0.0,0.0,0.21398065090179444
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.005606563982700319,0.05870507633485632,0.11099705108359897,1.0195362567901611,2.8603383184810807,1.0,0.028906249999999953,0.014453124999999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,68608,98048,0.15165559999877587,0.0,0.0,0.0,0.0,0.2132786840200424
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.008435237096211079,0.071289224147945,0.12399477671014118,1.0214533805847168,2.8648709807206183,1.0,0.023046874999999953,0.011523437499999997,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.800699633359909,4.685269832611084,0.7379485132638365,3.8008806705474854,68608,0,0.29325190000236034,0.25,0.25,0.25,4.677081210798824,0.24130002707242965
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.00783101476507353,0.06934322832315762,0.12069158849233896,1.0197362899780273,2.8303087297072964,1.0,0.024023437499999953,0.012011718749999997,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.800699633359909,4.685269832611084,0.7373686956707388,3.823209285736084,68608,98048,0.29142180000053486,0.25,0.25,0.25,4.667287597107559,0.24030658937990665
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.010493346769747003,0.07895010123514039,0.11808665227621161,1.0516831874847412,2.708833907855143,1.0,0.03476562499999995,0.017382812499999997,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.800699633359909,4.685269832611084,0.7424048008862882,3.895446538925171,68608,98048,0.3466799000016181,0.2,0.0,0.2,4.522646101421655,0.23059498481452465
