arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_coverage,endpoint_mass_l1,selected_ed2,selected_sw1,selected_coverage,selected_mass_l1,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.21138990325336415,0.667530808348975,0.8980000000000002,0.31690625,0.3355776250561444,0.8615249804829198,0.8980000000000002,0.3059062499999999,42,0,0.2222222222222222,0.0,0.05555555555555555,0.0,0,0.0,0.004368836840206346,0.8773124755101295,-0.0065137020372425265,-0.0008390216634234322,"{""local"": 4, ""none"": 14}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,12.0,3584.0,3584.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.4793333999987226
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.21063052979543628,0.6664694818289405,0.8980000000000002,0.31690625,0.3355776250561444,0.8615249804829198,0.8980000000000002,0.3059062499999999,42,0,0.2222222222222222,0.0,0.05555555555555555,0.0,0,0.0,0.004790418842450527,0.8773684303152529,-0.0065137020372425265,-0.0008390216634234322,"{""local"": 2, ""none"": 14, ""quantile"": 1, ""quantile+local"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,12.0,3584.0,3584.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.5477687999955378
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.2033802670594329,0.6569269115170056,0.8980000000000002,0.29346875,0.21141168078858374,0.672869750388462,0.8980000000000002,0.2668437499999999,57,0,0.5,0.0,0.05555555555555555,0.0,0,0.0007314985424481626,0.020034014164046477,0.8812759390595997,-0.007432674561933203,-0.0008968637331271174,"{""local"": 1, ""none"": 9, ""quantile"": 7, ""quantile+local"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.6535069000092335
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.24044949594769927,0.7027615555608421,0.7240000000000002,0.4191874999999999,0.3355776250561444,0.8615249804829198,0.8980000000000002,0.3059062499999999,42,0,0.5,0.0,0.05555555555555555,0.0,0,0.002467986646145254,0.02960092144338561,0.29116122475935097,-0.005948517864284512,-0.0019455275227643009,"{""local"": 2, ""none"": 9, ""quantile"": 4, ""quantile+local"": 3}",60.0,2706.0,86592.0,43584.0,36288.0,865920.0,44160.0,1024,12.0,3584.0,3584.0,2.0,1024.0,1024.0,QGD-D01-rare007,separated-unequal-rare,missing,QGD-D01-rare007/missing,0,1,3.375,3,909.1520047902545,0.7264685000118334
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.04003802779782362,0.41258621539098195,0.9750000000000001,0.23453125000000005,0.04993811047943808,0.46508161907474116,0.9750000000000001,0.28468750000000004,52,0,0.0,0.0,0.0,0.0,0,0.0031539198625405566,0.004765111421142684,0.762900275255518,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.42941070001688786
lbqcd,paper,0.0,paper,adam,0.0,0.04138932054901234,0.41366717577302425,0.9750000000000001,0.22281250000000005,0.05062113455508532,0.4657905979662324,0.9750000000000001,0.2657812500000001,52,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.23946979999891482
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.03329195179275546,0.3789244290114423,0.9750000000000001,0.26906250000000004,0.04673275240453245,0.4554876450603113,0.9750000000000001,0.30812500000000004,52,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.3318546999944374
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.04126025626408181,0.42253787123798353,0.9750000000000001,0.2540625000000001,0.05147351877686379,0.4754795707421689,0.9750000000000001,0.2809375,52,0,0.33333333333333337,0.0,0.1111111111111111,0.0,0,0.0,0.025056257184370902,0.6906801333325536,-0.0037041876832969536,-0.00029517288090505486,"{""local"": 3, ""none"": 12, ""quantile"": 3}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.5358459000126459
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.04131621125068197,0.4235805364552091,0.9750000000000001,0.2540625000000001,0.05169258104753771,0.4768862733996019,0.9750000000000001,0.27703125,52,0,0.33333333333333337,0.0,0.1111111111111111,0.0,0,0.0,0.02673430174243765,0.6841125981838592,-0.004294025932645343,-0.00029479043001950965,"{""local"": 2, ""none"": 12, ""quantile"": 4}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.6453113000025041
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.0410979442452466,0.4250903016141246,0.9750000000000001,0.2618750000000001,0.052145970169793276,0.47966993314362977,0.9750000000000001,0.29250000000000004,52,0,0.38888888888888884,0.0,0.1111111111111111,0.0,0,0.0,0.03007400907743977,0.6727715101987988,-0.005099794936510383,-0.00039553958679005804,"{""local"": 2, ""none"": 11, ""quantile"": 5}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.751142199995229
