arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_proposal_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.014768479792789169,0.08935689944882297,0.36231019577944695,1.0,0.0,0.0,0.012272188779531845,0.07664280035413468,0.35794962088739163,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.00776079183774403,-0.03229858538747375,-0.005264500824486706,-0.01958448629278546,280,0,320,0,0.0,0.0,0.0,0.0,0,0.0004280103935132663,0.0011085880509852928,0.9519767189294737,0.627679059187521,nan,nan,"{""fixed-mix"": 120}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,16.577839200006565
lbqcd,paper,0.0,paper,adam,0.0,0.01518744921787718,0.09319104595223046,0.36577743569923027,1.0,0.0,0.0,0.011244512018572461,0.07153977319871742,0.35738257387430594,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.008788468598703414,-0.03740161254289101,-0.004845531399398695,-0.015750339789377968,280,0,380,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,983040.0,215040.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,5.418339600000763
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.012006465668596533,0.07690451818474749,0.34541344176088246,1.0,0.0,0.0,0.011648427264861372,0.07036819441919812,0.35014827405724375,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.008384553352414503,-0.03857319132241031,-0.008026514948679342,-0.03203686755686094,280,0,350,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,786432.0,233472.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,10.87064469998586
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.014451639876971845,0.08626811452331787,0.3597837412799448,1.0,0.0,0.0,0.011930094252485812,0.07534934405376678,0.3586508067605109,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.008102886364790063,-0.03359204168784165,-0.0055813407403040305,-0.02267327121829056,280,0,380,0,0.6166666666666667,0.0,0.25833333333333336,0.0,0,0.001335416872283925,0.008704032880262055,0.9491250139298801,0.5258658536712717,-0.0003714204531227013,-5.000783348351961e-05,"{""local"": 9, ""none"": 46, ""quantile"": 61, ""quantile+local"": 4}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,22.14949909999268
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.01411517109426974,0.08277985723720598,0.3570680396964889,1.0,0.0,0.0,0.01262454081637121,0.07953736405940674,0.36062283627940633,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.007408439800904665,-0.029404021682201686,-0.0059178095230061345,-0.026161528504402454,280,0,380,0,0.7666666666666666,0.0,0.25833333333333336,0.0,0,0.0028777480607458,0.012801839562011669,0.9483450844602378,0.5783490766354298,-0.000547227633156298,-7.33566272814919e-05,"{""local"": 5, ""none"": 28, ""quantile"": 82, ""quantile+local"": 5}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,27.500709799991455
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.013433294620347258,0.07710302645095518,0.35130720585470426,1.0,0.0,0.0,0.01315185611248948,0.08045692687320077,0.3561009675738016,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.006881124504786396,-0.028484458868407656,-0.006599685996928617,-0.03183835929065325,280,0,350,0,0.9083333333333333,0.0,0.2916666666666667,0.0,0,0.008219726156133374,0.02413097138089,0.9503128545122539,0.42958438187478326,-0.0008858440115465404,-0.00011593827476509848,"{""local"": 2, ""none"": 11, ""quantile"": 100, ""quantile+local"": 7}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,32.68846239999402
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.011406601690350016,0.07409965590013357,0.35641644968760255,1.0,0.0,0.0,0.012820317941410142,0.08209789187492757,0.3621441788021023,1.0,0.0,0.0,0.020032980617275875,0.10894138574160843,0.365698033891081,1.0,0.0,0.0,-0.007212662675865733,-0.026843493866680862,-0.00862637892692586,-0.034841729841474864,280,0,370,0,0.575,0.0,0.25,0.0,0,0.0015046319544616733,0.013510737691795168,0.9144150115929706,0.4213954939893934,-0.0006709411149994353,-0.0004185674238724262,"{""local"": 3, ""none"": 51, ""quantile"": 60, ""quantile+local"": 6}",400.0,400.0,25600.0,25600.0,975360.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,1,0,64.0,0,0.0,37.93159259998356
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.004749528445000095,0.06238211590343973,0.4921743495624128,1.0,0.0,0.0,0.00455437659441138,0.060859811572692185,0.4907771397083587,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.011783856327514108,-0.09061579161173325,-0.011588704476925393,-0.0890934872809857,280,0,380,0,0.0,0.0,0.0,0.0,0,0.0002752211120144926,0.0009626056469290233,0.9386399947697073,0.6314901874401843,nan,nan,"{""fixed-mix"": 120}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,16.55267529998673
lbqcd,paper,0.0,paper,adam,0.0,0.0048261100386239875,0.06354818850698528,0.49283319864127895,1.0,0.0,0.0,0.0046357513621528845,0.06204701970933805,0.49147592386844874,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.011702481559772604,-0.08942858347508739,-0.011512122883301501,-0.08792741467744015,280,0,380,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,983040.0,215040.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,5.442585999990115
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.009738754836746466,0.13141708710977426,0.515940640554095,1.0,0.0,0.0,0.0051867248852057735,0.06590336749238998,0.48859480658904914,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.011151508036719715,-0.08557223569203545,-0.0065994780851790225,-0.020058516074651173,280,0,340,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,786432.0,233472.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,10.81546359998174
