radius,max_rel_err
0.01,0.010042784708419614
0.001,0.0010005531951385763
0.0001,0.00010000472442502343
1e-05,1.0000077839158871e-05
1e-06,1.0000247027562494e-06
1e-07,1.0015614940997979e-07
1e-08,1.103239241187364e-08
