arm,cell,seed,ed2,family,init
pow-g1.5,NCJG-gaussian-1d/missing,5,0.0014971373671095467,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,0,0.003687272665305996,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,1,0.004078391058120023,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,2,0.0014971756404407177,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,3,0.0008212903901266833,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,4,0.0028872620324013054,gaussian,missing
pow-g2.0,NCJG-gaussian-1d/missing,5,0.0016374119852289315,gaussian,missing
paper,NCJG-gaussian-1d/far,0,0.009236878173804364,gaussian,far
paper,NCJG-gaussian-1d/far,1,0.005802365650486752,gaussian,far
paper,NCJG-gaussian-1d/far,2,0.0032266142207519888,gaussian,far
paper,NCJG-gaussian-1d/far,3,0.006021408504935044,gaussian,far
paper,NCJG-gaussian-1d/far,4,0.0030216954517108263,gaussian,far
paper,NCJG-gaussian-1d/far,5,0.01369436415934877,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,0,0.012967284870571527,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,1,0.0031141309966438158,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,2,0.003702592010385919,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,3,0.008399472418425091,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,4,0.005054525273081478,gaussian,far
pow-g0.0,NCJG-gaussian-1d/far,5,0.012699419413776614,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,0,0.011672264925752796,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,1,0.003424266221273009,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,2,0.007748976650141293,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,3,0.007775670620835506,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,4,0.002550556428434936,gaussian,far
pow-g0.5,NCJG-gaussian-1d/far,5,0.021941923271047936,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,0,0.009236878173804142,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,1,0.005802365650486863,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,2,0.0032266142207521,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,3,0.006021408504935044,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,4,0.0030216954517106043,gaussian,far
pow-g1.0,NCJG-gaussian-1d/far,5,0.013694364159349215,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,0,0.0025431941427913607,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,1,0.003198165322380153,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,2,0.00723846745784551,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,3,0.008138866180511184,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,4,0.0026138472630927723,gaussian,far
pow-g1.5,NCJG-gaussian-1d/far,5,0.021964464985088306,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,0,0.003075654333854372,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,1,0.003451363420480802,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,2,0.0075932734078600905,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,3,0.0062443603955726346,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,4,0.003886590149918656,gaussian,far
pow-g2.0,NCJG-gaussian-1d/far,5,0.012819307496685584,gaussian,far
paper,NCJG-gaussian-1d/concentrated,0,0.002272319063751249,gaussian,concentrated
paper,NCJG-gaussian-1d/concentrated,1,0.011447092629062738,gaussian,concentrated
paper,NCJG-gaussian-1d/concentrated,2,0.002651369643171364,gaussian,concentrated
paper,NCJG-gaussian-1d/concentrated,3,0.002543358163557774,gaussian,concentrated
paper,NCJG-gaussian-1d/concentrated,4,0.0011462422645972525,gaussian,concentrated
paper,NCJG-gaussian-1d/concentrated,5,0.0011887326171914347,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,0,0.0016168212429046314,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,1,0.011617800930726063,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,2,0.0024876637502714294,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,3,0.0026727732227729284,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,4,0.0015794973138536506,gaussian,concentrated
pow-g0.0,NCJG-gaussian-1d/concentrated,5,0.0012960759655942233,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,0,0.0019381565017581037,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,1,0.011579359215679097,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,2,0.0025968766401174292,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,3,0.002739538140278275,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,4,0.0014187750014598155,gaussian,concentrated
pow-g0.5,NCJG-gaussian-1d/concentrated,5,0.0012197804485879482,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,0,0.002272319063751249,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,1,0.011447092629062738,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,2,0.002651369643171364,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,3,0.002543358163557663,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,4,0.0011462422645973636,gaussian,concentrated
pow-g1.0,NCJG-gaussian-1d/concentrated,5,0.0011887326171915458,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,0,0.002726836088512541,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,1,0.011298125528164893,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,2,0.002644206212931821,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,3,0.0020325320538856495,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,4,0.0010232135363479333,gaussian,concentrated
pow-g1.5,NCJG-gaussian-1d/concentrated,5,0.0011789250337083113,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,0,0.0033042884852959586,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,1,0.011163447988325248,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,2,0.002578308511218763,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,3,0.0017588460590283184,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,4,0.001026457713863671,gaussian,concentrated
pow-g2.0,NCJG-gaussian-1d/concentrated,5,0.0012170824098902688,gaussian,concentrated
paper,NCJG-gmix-1d-K4-uneq/broad,0,0.010243529535802542,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/broad,1,0.017318821945734086,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/broad,2,0.007138672063380369,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/broad,3,0.007329831565376921,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/broad,4,0.010329108304102386,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/broad,5,0.006888660206358477,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,0,0.009261897938955377,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,1,0.0184963733657042,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,2,0.006779278407418099,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,3,0.006634524903450512,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,4,0.015241256867704056,gauss_mixture,broad
pow-g0.0,NCJG-gmix-1d-K4-uneq/broad,5,0.005770389605577186,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,0,0.009630203068330623,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,1,0.017560709503646965,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,2,0.00685622942235975,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,3,0.007107232491030846,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,4,0.011006301127292284,gauss_mixture,broad
pow-g0.5,NCJG-gmix-1d-K4-uneq/broad,5,0.006189169006916462,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,0,0.010243529535802098,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,1,0.017318821945733642,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,2,0.007138672063380813,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,3,0.007329831565377143,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,4,0.010329108304102386,gauss_mixture,broad
pow-g1.0,NCJG-gmix-1d-K4-uneq/broad,5,0.006888660206357811,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,0,0.01104576988256678,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,1,0.01648786367046373,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,2,0.006215463184750858,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,3,0.007538106500575292,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,4,0.010444379690948802,gauss_mixture,broad
pow-g1.5,NCJG-gmix-1d-K4-uneq/broad,5,0.006790004466377786,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,0,0.012122027758394882,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,1,0.016070582779753373,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,2,0.006458394617508523,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,3,0.0077678873556561445,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,4,0.0073121734387986415,gauss_mixture,broad
pow-g2.0,NCJG-gmix-1d-K4-uneq/broad,5,0.007288260456095541,gauss_mixture,broad
paper,NCJG-gmix-1d-K4-uneq/missing,0,0.005334261267440965,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/missing,1,0.015743365132360854,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/missing,2,0.011901543983266372,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/missing,3,0.006647926262821624,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/missing,4,0.007043324647193705,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/missing,5,0.007632695779714371,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,0,0.007090221711684386,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,1,0.02077993599283401,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,2,0.012932238384410155,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,3,0.006595005535864118,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,4,0.0072692391569151305,gauss_mixture,missing
pow-g0.0,NCJG-gmix-1d-K4-uneq/missing,5,0.008078128485593972,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,0,0.007709013405646781,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,1,0.01656976703208901,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,2,0.012843667027370609,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,3,0.0066799435669948615,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,4,0.00716258883078269,gauss_mixture,missing
pow-g0.5,NCJG-gmix-1d-K4-uneq/missing,5,0.006498659000092832,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,0,0.005334261267440965,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,1,0.01574336513236041,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,2,0.011901543983266594,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,3,0.006647926262821624,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,4,0.007043324647193705,gauss_mixture,missing
pow-g1.0,NCJG-gmix-1d-K4-uneq/missing,5,0.007632695779714593,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,0,0.008849644906741894,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,1,0.014084841244816682,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,2,0.008719207503189441,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,3,0.006727557259449846,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,4,0.0073033886346498544,gauss_mixture,missing
pow-g1.5,NCJG-gmix-1d-K4-uneq/missing,5,0.005991988232708412,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,0,0.007740052641062478,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,1,0.013772898705901149,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,2,0.009334031716206947,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,3,0.0069428968626241705,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,4,0.007475747526238141,gauss_mixture,missing
pow-g2.0,NCJG-gmix-1d-K4-uneq/missing,5,0.006180728354732823,gauss_mixture,missing
paper,NCJG-gmix-1d-K4-uneq/far,0,0.005036233041193272,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/far,1,0.007714737115007253,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/far,2,0.008931488340247373,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/far,3,0.0216328966030368,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/far,4,0.008792377044102073,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/far,5,0.007227774652692309,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,0,0.01233065486123186,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,1,0.009280607197206692,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,2,0.030248897990991175,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,3,0.013081668846197658,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,4,0.008120634478782307,gauss_mixture,far
pow-g0.0,NCJG-gmix-1d-K4-uneq/far,5,0.01576352838482631,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,0,0.006169093284536631,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,1,0.005920522800995531,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,2,0.00968244939963725,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,3,0.007959370707308455,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,4,0.012304201915726676,gauss_mixture,far
pow-g0.5,NCJG-gmix-1d-K4-uneq/far,5,0.012314898181150946,gauss_mixture,far
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,0,0.005036233041193494,gauss_mixture,far
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,1,0.007714737115007253,gauss_mixture,far
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,2,0.008931488340247817,gauss_mixture,far
