arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
paper-neural-optimized,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.3417267000040738,0.0,0.0,0.3417267000040738,64,64,3,3,3.9524546530682136,1.4312255916968142,0.020912487262296553,0.11875527967564267,0.16157804848890367,1.058330774307251,1.454576908164149,1.0,0.1669921875,nan,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3417267000040738,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.20917559998633806,0.00027809999301098287,0.048998099999153055,0.2584517999785021,64,64,3,3,3.9524546530682136,1.4312255916968142,0.00994117102586034,0.07809747864341707,0.14049403254549375,0.98670893907547,1.4778770175321219,1.0,0.068359375,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.028249559924006462,0.9996788501739502,0.0027349378215149045,0.03217980079352856,0.010092522017657757,0.7791879177093506,0.12300032377243042,1.511866807937622,0.10891262057702988,0.8622596859931946,4,4,67584,0,0.20917559998633806,0.25,0.25,0.25,6.888878428532689,0.16385850124061108
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.14769640000304207,0.00027809999301098287,0.048998099999153055,0.1969725999952061,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008410041915512645,0.0722285154890025,0.12351220278544556,0.9813894033432007,1.4729386265293218,1.0,0.0888671875,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,0,0.14769640000304207,0.0,0.0,0.0,0.0,0.14474139269441366
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.2558686999982456,0.00027809999301098287,0.04505080000672024,0.3011975999979768,64,64,3,3,3.9524546530682136,1.4312255916968142,0.009768624976935092,0.07755377364246749,0.13601131281509157,0.9917365908622742,1.4805363325406211,1.0,0.0634765625,nan,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.02826390042901039,0.9996788501739502,0.0027327885618433356,0.032107485458254814,0.010051170364022255,0.7815150618553162,0.12300032377243042,1.511866807937622,0.10906599562149495,0.845027506351471,4,4,67584,98048,0.2558686999982456,0.1925,0.0,0.1925,6.8860618390926875,0.15984956473112105
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,4,2026072201,1.0,0.15,0.14622029999736696,0.00027809999301098287,0.04505080000672024,0.19154919999709819,64,64,3,3,3.9524546530682136,1.4312255916968142,0.008479064918845092,0.07266946628525035,0.12155534133951774,0.981743574142456,1.4714324104780523,1.0,0.087890625,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,4120678794,32,16,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,67584,98048,0.14622029999736696,0.0,0.0,0.0,0.0,0.144655279815197
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,5,2026072201,1.0,0.15,0.2052964000031352,0.00027809999301098287,0.04505080000672024,0.2506253000028664,64,64,3,3,3.9524546530682136,1.4312255916968142,0.009911710800172946,0.07814771525886326,0.13878932150692222,0.9873862266540527,1.481557844681981,1.0,0.06640625,nan,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,4120678794,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.02826390042901039,0.9996788501739502,0.0027327885618433356,0.032107485458254814,0.010051170364022255,0.7815150618553162,0.12300032377243042,1.511866807937622,0.10884201067965478,0.8261061310768127,4,4,67584,98048,0.2052964000031352,0.25,0.25,0.25,6.8788486503809025,0.16373956464231015
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.21176449999620672,0.0001779000012902543,0.04005450000113342,0.2519968999986304,64,64,3,3,3.716130289633486,1.5222432499938814,0.008054287329065657,0.08627999385665772,0.1800549598148121,0.9900115728378296,1.474517996525702,1.0,0.024023437499999953,0.012011718749999997,160,10240,20480,320,20480,30720,1781760,1310720,471040,3809280.0,0.0,3809280.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.019455705303698778,0.9996988773345947,0.0007941951917018741,0.04293801076710224,0.0018705432303249836,10.310611724853516,0.21153120547533036,2.700413942337036,0.1561435440904461,1.6575850248336792,4,4,67584,98048,0.21176449999620672,0.25,0.25,0.25,7.1263852683445394,0.2184875514358282
paper-neural-optimized,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.346523200001684,0.0,0.0,0.346523200001684,64,64,3,3,3.716130289633486,1.5222432499938814,0.029184519686534793,0.17441168703760052,0.4910641137511851,0.7401696443557739,1.9637218108003767,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.346523200001684,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.21278919999895152,0.0001779000012902543,0.048173699993640184,0.26114079999388196,64,64,3,3,3.716130289633486,1.5222432499938814,0.006078959569711939,0.07561665051295093,0.17197385909178708,0.9924480319023132,1.4862922835655354,1.0,0.022070312499999953,0.011035156249999997,160,10240,20480,320,20480,30720,1781760,1310720,471040,22581317.592530765,18772037.592530765,3809280.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.019581108819693327,0.9996958374977112,0.0008000052184797823,0.0429375134408474,0.0018549938686192036,10.309916496276855,0.21153120547533036,2.700413942337036,0.15358697440242394,1.5252091884613037,4,4,67584,0,0.21278919999895152,0.25,0.25,0.25,7.227304757509697,0.21778099983930588
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.25831629999447614,0.0001779000012902543,0.04005450000113342,0.2985486999968998,64,64,3,3,3.716130289633486,1.5222432499938814,0.0087586561293016,0.08634032737854688,0.1839141610233897,0.9912214279174805,1.518645245474599,1.0,0.024023437499999953,0.012011718749999997,160,10240,20480,320,20480,30720,3747840,1310720,2437120,6758400.0,0.0,6758400.0,64,32,32,32.0,10,10,1187595607,32,16,20,20,2621440,10485760,128,7,143360,860160.0,40960,2,1048576,0.012992175295948982,0.9999039173126221,0.0008239226590376347,0.044097669422626495,0.0025486124213784933,10.29831314086914,0.21153120547533036,2.700413942337036,0.15957739561563358,1.9744036197662354,4,4,67584,98048,0.25831629999447614,0.2375,0.0,0.2375,6.307396891689946,0.21537680625915528
