arm,lr_multiplier,learning_rate,target,family,dimension,replication,initialization,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters
exact-atlas-rsr,1.0,0.001,NPR-d8-correlated-t,correlated-t,8,0,concentrated,1.0523245989570862,0.6173437848421647,0.8586370932199453,0.09729070961475372,3.5400504414631753,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.03531079999811482,5256
exact-atlas-rsr,2.0,0.002,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.7835913859043329,0.5435205555692354,0.770529239521306,0.19381557404994965,3.1545888683725445,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.03616680000413908,5256
exact-atlas-rsr,4.0,0.004,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.3249716855471032,0.3505417387013689,0.5491221689374908,0.4525238573551178,2.7544359816580783,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.025221500000043306,5256
exact-atlas-rsr,8.0,0.008,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.2097722439500096,0.2806248859488097,0.3696214816393376,1.082073450088501,2.6016035013306094,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.02610419999837177,5256
exact-atlas-rsr,16.0,0.016,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.20410080394574415,0.28506056624368586,0.3572831838963355,1.142380952835083,3.5919582501193505,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,37376,0,0,0.024948100006440654,5256
kll-small-rsr,1.0,0.001,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.3081636433387649,0.3406125842700549,0.5268163294259058,0.48449957370758057,2.180186949469891,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,37376,72960,0,0.0444945999988704,5256
kll-small-rsr,2.0,0.002,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.1805426530007983,0.261737471074639,0.32167664341316266,1.0078823566436768,2.3894247619384155,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,37376,72960,0,0.04395410000142874,5256
kll-small-rsr,4.0,0.004,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.09903472899094012,0.19035710560118674,0.2825155651249888,0.8296667337417603,3.189637929119381,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,37376,72960,0,0.04638209999393439,5256
exact-atlas-rsr,1.0,0.001,NPR-d16-nonlinear,nonlinear,16,0,concentrated,1.7200505261831314,0.661849946948356,0.873456708904786,0.09389151632785797,4.190589606844325,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.024530099995899945,6288
exact-atlas-rsr,2.0,0.002,NPR-d16-nonlinear,nonlinear,16,0,concentrated,1.3423498541070389,0.5942907523486317,0.7902105978507669,0.1846161037683487,3.303929662186643,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.0254992999980459,6288
exact-atlas-rsr,4.0,0.004,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.6248974173086657,0.4086710962058076,0.5730490538612405,0.43890783190727234,2.4993954478135065,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.02483800000482006,6288
exact-atlas-rsr,8.0,0.008,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.2983245781624193,0.2933564143901791,0.3785825732631926,1.07861328125,2.2512583007229057,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.025767999999516178,6288
exact-atlas-rsr,16.0,0.016,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.2600039365582605,0.27382290027117595,0.3391997366815065,1.1544525623321533,3.7883021185156176,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.029408099995634984,6288
kll-small-rsr,1.0,0.001,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.6601250564568426,0.4123128419258206,0.5759550578228233,0.43991827964782715,1.9899975968265617,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,41472,72960,0,0.0447070000009262,6288
kll-small-rsr,2.0,0.002,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.30505186884933,0.28222169868744473,0.3293669327008428,0.9841102957725525,2.0162884148311715,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,41472,72960,0,0.04387929999938933,6288
kll-small-rsr,4.0,0.004,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.1788024475019574,0.2095814836718188,0.26064441634315233,0.8552854061126709,3.2844292747373074,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,41472,72960,0,0.04240719999506837,6288
