K,d,tau_regime,arm,seed,eta,eta_over_tau,eta_star,final_ED2,coverage,mass_error,event_time,censored,diverged,kernel_pairs,wall_seconds
4,1,sigma,fixed-0.1tau,0,0.015,0.1,2.217985495746046,0.20984695161527145,0.5,1.0,400,1,0,844800,0.20526742935180664
4,1,sigma,fixed-0.1tau,1,0.015,0.1,2.217985495746046,0.20363547688078643,0.5,1.0,400,1,0,844800,0.19274520874023438
4,1,sigma,fixed-0.1tau,2,0.015,0.1,2.217985495746046,0.21526504142086123,0.5,1.0,400,1,0,844800,0.20336556434631348
4,1,sigma,fixed-0.1tau,3,0.015,0.1,2.217985495746046,0.2032617979301501,0.5,0.9166666666666666,400,1,0,844800,0.2048954963684082
4,1,sigma,fixed-0.1tau,4,0.015,0.1,2.217985495746046,0.21474361879178416,0.5,1.0,400,1,0,844800,0.20539546012878418
4,1,sigma,fixed-0.1tau,5,0.015,0.1,2.217985495746046,0.1874302995226771,0.5,0.9166666666666666,400,1,0,844800,0.2090892791748047
4,1,sigma,fixed-0.1tau,6,0.015,0.1,2.217985495746046,0.21403184379024398,0.5,1.0,400,1,0,844800,0.19292855262756348
4,1,sigma,fixed-0.1tau,7,0.015,0.1,2.217985495746046,0.2224877704118431,0.5,0.9166666666666667,400,1,0,844800,0.19788193702697754
4,1,sigma,fixed-0.5tau,0,0.075,0.5,2.217985495746046,0.09811905449361946,0.5,0.6666666666666667,400,1,0,844800,0.2896275520324707
4,1,sigma,fixed-0.5tau,1,0.075,0.5,2.217985495746046,0.0793592963490084,0.75,0.5833333333333333,400,1,0,844800,0.2505321502685547
4,1,sigma,fixed-0.5tau,2,0.075,0.5,2.217985495746046,0.11242700580883613,0.5,0.75,400,1,0,844800,0.25017786026000977
4,1,sigma,fixed-0.5tau,3,0.075,0.5,2.217985495746046,0.11540836194719817,0.5,0.75,400,1,0,844800,0.2702755928039551
4,1,sigma,fixed-0.5tau,4,0.075,0.5,2.217985495746046,0.09511213581575118,0.5,0.6666666666666667,400,1,0,844800,0.25933313369750977
4,1,sigma,fixed-0.5tau,5,0.075,0.5,2.217985495746046,0.09339363933361389,0.75,0.6666666666666667,400,1,0,844800,0.26712679862976074
4,1,sigma,fixed-0.5tau,6,0.075,0.5,2.217985495746046,0.11319484827149018,0.5,0.75,400,1,0,844800,0.2522096633911133
4,1,sigma,fixed-0.5tau,7,0.075,0.5,2.217985495746046,0.131541242106628,0.75,0.6666666666666666,400,1,0,844800,0.2520413398742676
4,1,sigma,fixed-1.0tau,0,0.15,1.0,2.217985495746046,0.07492048102195326,0.75,0.5833333333333334,400,1,0,844800,0.2593669891357422
4,1,sigma,fixed-1.0tau,1,0.15,1.0,2.217985495746046,0.06173078443999058,0.75,0.5,400,1,0,844800,0.25560474395751953
4,1,sigma,fixed-1.0tau,2,0.15,1.0,2.217985495746046,0.05028587862151079,1.0,0.5,400,1,0,844800,0.25742578506469727
4,1,sigma,fixed-1.0tau,3,0.15,1.0,2.217985495746046,0.0845831587038175,0.75,0.5833333333333334,400,1,0,844800,0.25295090675354004
4,1,sigma,fixed-1.0tau,4,0.15,1.0,2.217985495746046,0.07570266940943848,0.75,0.5833333333333334,400,1,0,844800,0.2611045837402344
4,1,sigma,fixed-1.0tau,5,0.15,1.0,2.217985495746046,0.052870162124763365,0.75,0.5,400,1,0,844800,0.2536280155181885
4,1,sigma,fixed-1.0tau,6,0.15,1.0,2.217985495746046,0.1079818467475715,0.5,0.75,400,1,0,844800,0.25131750106811523
4,1,sigma,fixed-1.0tau,7,0.15,1.0,2.217985495746046,0.08935468838139538,0.75,0.5,400,1,0,844800,0.24351882934570312
4,1,sigma,0.1-eta-star,0,0.22179854957460463,1.4786569971640309,2.217985495746046,0.05461029045344845,1.0,0.5,400,1,0,844800,0.21983933448791504
4,1,sigma,0.1-eta-star,1,0.22179854957460463,1.4786569971640309,2.217985495746046,0.07007904010573784,0.75,0.41666666666666674,400,1,0,844800,0.22450947761535645
4,1,sigma,0.1-eta-star,2,0.22179854957460463,1.4786569971640309,2.217985495746046,0.04295132807568103,1.0,0.41666666666666663,317,0,0,844800,0.2257390022277832
4,1,sigma,0.1-eta-star,3,0.22179854957460463,1.4786569971640309,2.217985495746046,0.0633637058738914,0.75,0.5,400,1,0,844800,0.2264268398284912
4,1,sigma,0.1-eta-star,4,0.22179854957460463,1.4786569971640309,2.217985495746046,0.06466826031808526,0.75,0.5,400,1,0,844800,0.2228240966796875
4,1,sigma,0.1-eta-star,5,0.22179854957460463,1.4786569971640309,2.217985495746046,0.04635537960599456,0.75,0.5,400,1,0,844800,0.21831560134887695
4,1,sigma,0.1-eta-star,6,0.22179854957460463,1.4786569971640309,2.217985495746046,0.05936038619735595,0.75,0.5,400,1,0,844800,0.23251962661743164
4,1,sigma,0.1-eta-star,7,0.22179854957460463,1.4786569971640309,2.217985495746046,0.084401409610521,0.75,0.4166666666666667,400,1,0,844800,0.24175357818603516
4,1,sigma,0.25-eta-star,0,0.5544963739365115,3.696642492910077,2.217985495746046,0.04350017312827714,1.0,0.41666666666666663,152,0,0,844800,0.24236845970153809
4,1,sigma,0.25-eta-star,1,0.5544963739365115,3.696642492910077,2.217985495746046,0.06751430101810141,0.75,0.41666666666666674,400,1,0,844800,0.23959851264953613
4,1,sigma,0.25-eta-star,2,0.5544963739365115,3.696642492910077,2.217985495746046,0.04850797623450931,1.0,0.33333333333333337,187,0,0,844800,0.2317066192626953
4,1,sigma,0.25-eta-star,3,0.5544963739365115,3.696642492910077,2.217985495746046,0.055021899177458256,0.75,0.41666666666666663,400,1,0,844800,0.23250555992126465
4,1,sigma,0.25-eta-star,4,0.5544963739365115,3.696642492910077,2.217985495746046,0.04403668875878086,1.0,0.41666666666666663,114,0,0,844800,0.23920869827270508
4,1,sigma,0.25-eta-star,5,0.5544963739365115,3.696642492910077,2.217985495746046,0.03493753016824441,1.0,0.33333333333333337,138,0,0,844800,0.23474407196044922
4,1,sigma,0.25-eta-star,6,0.5544963739365115,3.696642492910077,2.217985495746046,0.03256757315920433,1.0,0.33333333333333337,204,0,0,844800,0.23147177696228027
