arm,target,family,dimension,instance,initialization,learning_rate,conditioned_direction_count,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,model_parameters
paper-neural,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.6312232267435407,0.02328976860275933,0.1225823047236084,0.2697923773778777,1.0467160940170288,1.0979766843289227,1.0,0.17545572916666669,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.34980499999801395,4610
minibatch-sw,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.6312232267435407,0.06682477896484862,0.18685051391816798,0.23038205795114325,1.025428295135498,1.1312137064699683,0.6666666666666666,0.3557942708333333,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.49912599999515805,4610
kll-small-rsr,NCT-d2-balanced-gmm-i0,balanced-gmm,2,0,concentrated,0.016,64,1.6312232267435407,0.04711808565086617,0.16321226550061985,0.2395549517109688,0.962407648563385,1.1668572062068565,1.0,0.09016927083333331,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.24172909999469994,4610
