K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau,oracle_tune_kernel_pairs
4,1,fine-common,bandwidth-only,0,400,0.2573775661958211,0.5,1.0,400,1,1228800,0.25220751762390137,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,1,400,0.2545794897635525,0.5,1.0,400,1,1228800,0.24851775169372559,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,2,400,0.2773797979966739,0.5,1.0,400,1,1228800,0.2513847351074219,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,3,400,0.24434219057196138,0.5,1.0,400,1,1228800,0.2569723129272461,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,4,400,0.25647516430167805,0.5,1.0,400,1,1228800,0.24779534339904785,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,5,400,0.24387788591808035,0.5,1.0,400,1,1228800,0.2470717430114746,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,6,400,0.26329693517598285,0.5,1.0,400,1,1228800,0.244401216506958,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-common,bandwidth-only,7,400,0.25384782529192007,0.5,1.0,400,1,1228800,0.2649409770965576,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,0,400,0.047906948349034195,1.0,0.375,400,1,1228800,0.25089502334594727,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,1,400,0.05163495047517186,1.0,0.375,400,1,1228800,0.25133776664733887,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,2,400,0.07163565344494849,0.75,0.5,400,1,1228800,0.25611162185668945,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,3,400,0.031027743225374937,1.0,0.25,400,1,1228800,0.2709171772003174,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,4,400,0.046576731985982,1.0,0.25,400,1,1228800,0.25235438346862793,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,5,400,0.043924472964421035,1.0,0.3125,400,1,1228800,0.2812676429748535,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,6,400,0.06932645990812447,0.75,0.5625,400,1,1228800,0.2634415626525879,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-common,bandwidth-only,7,400,0.05411188877861206,0.75,0.5625,400,1,1228800,0.2642061710357666,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,0,200,0.25091032490907494,0.5,1.0,200,1,1228800,0.13646149635314941,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,1,200,0.24069526793627305,0.5,1.0,200,1,1228800,0.13666391372680664,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,2,200,0.29495697137030685,0.5,1.0,200,1,1228800,0.1325855255126953,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,3,200,0.20330499249125333,0.5,0.9375,200,1,1228800,0.13623309135437012,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,4,200,0.23763840676262782,0.5,1.0,200,1,1228800,0.14342093467712402,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,5,200,0.21453646062145593,0.5,0.9375,200,1,1228800,0.13752436637878418,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,6,200,0.2660898293635594,0.5,0.9375,200,1,1228800,0.13529515266418457,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,average-common,bandwidth-only/equal-compute,7,200,0.23870301741699373,0.5,1.0,200,1,1228800,0.14635705947875977,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,0,133,0.3422471600020771,0.5,1.0,133,1,1225728,0.10200619697570801,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,1,133,0.32869681356939906,0.5,1.0,133,1,1225728,0.10404562950134277,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,2,133,0.3836221647366358,0.5,1.0,133,1,1225728,0.10067248344421387,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,3,133,0.28745177170408387,0.5,1.0,133,1,1225728,0.10062408447265625,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,4,133,0.32092106608744597,0.5,1.0,133,1,1225728,0.10356616973876953,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,5,133,0.30266818525338945,0.5,1.0,133,1,1225728,0.10403847694396973,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,6,133,0.3609600881979129,0.5,1.0,133,1,1225728,0.10058879852294922,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,paper-fixed-common,bandwidth-only/equal-compute,7,133,0.32676471698755627,0.5,1.0,133,1,1225728,0.10164880752563477,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,0,400,0.19652494878592508,0.5,0.9375,400,1,1228800,0.25681209564208984,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,1,400,0.1611778822011376,0.5,0.8125,400,1,1228800,0.24934935569763184,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,2,400,0.20789801008072306,0.5,0.9375,400,1,1228800,0.2532820701599121,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,3,400,0.13758986363105707,0.5,0.8125,400,1,1228800,0.25606656074523926,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,4,400,0.16259869497127832,0.5,0.8125,400,1,1228800,0.2612764835357666,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,5,400,0.14746590730974174,0.5,0.8125,400,1,1228800,0.2559962272644043,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,6,400,0.17749680307999105,0.5,0.875,400,1,1228800,0.2575206756591797,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-oracle-common,bandwidth-only,7,400,0.17100077606470876,0.5,0.875,400,1,1228800,0.26223039627075195,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,0,400,0.19639844096985737,0.5,0.9375,400,1,1228800,0.28455543518066406,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,1,400,0.16104317441728133,0.5,0.8125,400,1,1228800,0.2610785961151123,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,2,400,0.20772806835121638,0.5,0.9375,400,1,1228800,0.26624083518981934,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,3,400,0.13737094841532782,0.5,0.8125,400,1,1228800,0.2686889171600342,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,4,400,0.1624365651150108,0.5,0.8125,400,1,1228800,0.25809645652770996,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,5,400,0.14735426432290732,0.5,0.8125,400,1,1228800,0.25116848945617676,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,6,400,0.17730646935209693,0.5,0.875,400,1,1228800,0.24997782707214355,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,anneal-estimated-common,bandwidth-only,7,400,0.170821624445622,0.5,0.875,400,1,1228800,0.25894856452941895,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,0,400,0.03987535779034124,1.0,0.4375,400,1,1228800,0.2499542236328125,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,1,400,0.04286997821147054,1.0,0.4375,400,1,1228800,0.25097179412841797,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,2,400,0.05020821338086323,1.0,0.4375,400,1,1228800,0.25879430770874023,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,3,400,0.024970067877161384,1.0,0.25,400,1,1228800,0.2682502269744873,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,4,400,0.03099787106923957,1.0,0.25,400,1,1228800,0.2598109245300293,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,5,400,0.03612444192802977,1.0,0.3125,400,1,1228800,0.2590043544769287,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,6,400,0.05332438508755466,1.0,0.5,400,1,1228800,0.2577967643737793,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,oracle-grid-common,held-out oracle,7,400,0.04757803207066624,0.75,0.5,400,1,1228800,0.27848100662231445,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,0,400,0.27905803832303255,0.5,1.0,400,1,1228800,0.26334357261657715,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,1,400,0.27432782625066077,0.5,1.0,400,1,1228800,0.26323366165161133,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,2,400,0.30298965995970617,0.5,1.0,400,1,1228800,0.263714075088501,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,3,400,0.2570406241238272,0.5,1.0,400,1,1228800,0.2640359401702881,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,4,400,0.27428808964363705,0.5,1.0,400,1,1228800,0.2659451961517334,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,5,400,0.2596246521730663,0.5,1.0,400,1,1228800,0.2645227909088135,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,6,400,0.2881867158718421,0.5,1.0,400,1,1228800,0.2672238349914551,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,fine-joint,joint policy,7,400,0.2729133003884545,0.5,1.0,400,1,1228800,0.2653961181640625,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-joint,joint policy,0,400,0.005750617182154194,1.0,0.0625,71,0,1228800,0.26973605155944824,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
4,1,coarse-joint,joint policy,1,400,0.005990098650799247,1.0,0.125,67,0,1228800,0.2646322250366211,0.9974251512693397,0.15073090844360845,0.5640904639629589,33177600
