target,seed,base_ed2,mod_ed2,base_sw1,mod_sw1
H-1d-K4-eq,0,0.015243061937909808,0.0159372909058606,0.1420625722540104,0.1458798644382897
H-1d-K4-eq,1,0.010823668307233358,0.011145726409883316,0.11575620079226723,0.11927284450261073
H-2d-K6-sep,0,0.01213675099140632,0.011764264904067012,0.07862261399220066,0.0771280725190748
H-2d-K6-sep,1,0.010920348240093025,0.010472623095618694,0.07163024836108187,0.07004397150957126
H-moons,0,0.007645585397808574,0.007760187728060419,0.06238998972112824,0.06322150771182905
H-moons,1,0.007496655427839505,0.007179902511848191,0.06338059937880296,0.06220277803186746
H-skew,0,0.007935063818176546,0.007786422017173611,0.05582034135091331,0.05405197627867904
H-skew,1,0.00709407287888586,0.007228724011556831,0.0520122908895848,0.05260805080202177
