arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.8960485534231983,1.45194654838736,0.005552609886508408,0.06269311034163762,0.20473098594421568,0.9964474439620972,1.0764514011692001,1.0,0.205078125,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,10,0,67584,0,0.14418450000084704,0.0,0.0,0.0,0.0,0.16945426966995
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.8960485534231983,1.45194654838736,0.005587554939979311,0.06272983376174548,0.20141598306599928,0.9998414516448975,1.0782813941974974,1.0,0.201171875,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,0,10,0,67584,98048,0.16860209999867948,0.0,0.0,0.0,0.0,0.1663278376683593
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.8960485534231983,1.45194654838736,0.004318051531474021,0.05276329760570337,0.15550062766553835,0.9688515067100525,1.0894589684885723,1.0,0.2099609375,nan,160,10240,20480,320,20480,25600,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,89617038,32,16,10,10,5242880,67584,0,0.1849824999953853,0.125,0.0,0.25,3.107234456998821,0.18407128490507602
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.8960485534231983,1.45194654838736,0.004319819018167026,0.054388110085114426,0.17032250683808023,0.9842435717582703,1.0882287816128458,1.0,0.205078125,nan,160,10240,20480,320,20480,25600,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,89617038,32,16,10,10,5242880,67584,98048,0.17732290000276407,0.125,0.0,0.25,2.9952062048229404,0.17994578517973422
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.8960485534231983,1.45194654838736,0.004298248021512796,0.05430266652122373,0.17015538612059508,0.9831437468528748,1.0866291045654943,1.0,0.2021484375,nan,160,10240,20480,320,20480,25600,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,89617038,32,16,10,10,5242880,67584,98048,0.19989479999640025,0.11750000000000001,0.0,0.23500000000000001,2.983048502843693,0.17948190048336982
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01094599642414007,0.1085756581420024,0.23277452789355885,0.8862417340278625,1.6956434942040546,1.0,0.016015625000000047,0.008007812500000003,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,10,0,67584,0,0.14498230000026524,0.0,0.0,0.0,0.0,0.21411947049200536
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.7872162686682413,1.4936707724593687,0.007150806345367577,0.08740151596629359,0.1667910900245165,0.9633406400680542,1.4703635482338506,1.0,0.013281249999999953,0.006640624999999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,0,10,0,67584,98048,0.1411115000009886,0.0,0.0,0.0,0.0,0.21856546141207217
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.7872162686682413,1.4936707724593687,0.013448701241980832,0.12195868663453381,0.254358589324112,0.8810532689094543,1.7372266220322226,1.0,0.019921875000000047,0.009960937500000003,160,10240,20480,320,20480,25600,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,10,10,5242880,67584,0,0.17873780000081751,0.125,0.0,0.25,2.7408791005505595,0.23201435059309006
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.7872162686682413,1.4936707724593687,0.0071568031983253455,0.08847725524855606,0.2013513511256815,0.9119921326637268,1.6057647642791062,1.0,0.008203125000000047,0.004101562500000003,160,10240,20480,320,20480,25600,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1357488167,32,16,10,10,5242880,67584,98048,0.1777670000010403,0.125,0.0,0.25,2.925332188184332,0.23362997062504293
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01041669130269307,0.10593295785968083,0.23038508648926048,0.8834878206253052,1.6288095160090148,1.0,0.014062500000000047,0.007031250000000003,160,10240,20480,320,20480,25600,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1357488167,32,16,10,10,5242880,67584,98048,0.20405230000324082,0.1,0.0,0.2,2.881436609872915,0.22705269902944564
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009139235522682476,0.07746346288149097,0.11367663067173754,0.9257023334503174,1.1261228590247296,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,10,0,67584,0,0.1594355999986874,0.0,0.0,0.0,0.0,0.169986866787076
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.5815699660346505,1.5794342434011945,0.010812453408554301,0.09083873753832043,0.12066272051713002,0.9601473212242126,1.1061822828752612,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,0,10,0,67584,98048,0.14910419999796432,0.0,0.0,0.0,0.0,0.18814427480101586
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,32,10,64,64,3,3,3.5815699660346505,1.5794342434011945,0.006904587083726099,0.06761713359335256,0.1038950715877141,0.9150897860527039,1.112330828789029,nan,nan,nan,160,10240,20480,320,20480,25600,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1889403943,32,16,10,10,5242880,67584,0,0.17749080000066897,0.125,0.0,0.25,3.0600426475599742,0.18060205988585948
