arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.25795373866925386,0.4009518975107712,0.5860576231764748,0.5157780647277832,1.4706745202556386,0.75,0.5703125,nan,16,1024,2048,32,2048,2048,196608,2031616.0,64,64,64,64.0,2,2,0,34304,0,0.01900519999617245,0.0,0.0,0.0,0.5369254797697067
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.2585908986577512,0.4011805550148099,0.5847880849156729,0.5172737836837769,1.4704479650839755,0.75,0.56640625,nan,16,1024,2048,32,2048,2048,196608,589824.0,64,64,64,64.0,2,2,0,34304,72960,0.01842140000371728,0.0,0.0,0.0,0.5388577282428741
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.1885889904129412,0.33898306947268836,0.5717032609725512,0.581899106502533,1.3371681453895439,0.5,0.53515625,nan,16,1024,2048,32,2048,3072,196608,2031616.0,64,64,64,64.0,2,2,1048576,34304,0,0.025195399997755885,0.25,0.25,7.950160925837255,0.5875087678432465
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.1889283531526873,0.3398196274729143,0.5705086298274785,0.5833591222763062,1.3339469792606071,0.75,0.5234375,nan,16,1024,2048,32,2048,3072,196608,589824.0,64,64,64,64.0,2,2,1048576,34304,72960,0.02351469999848632,0.25,0.25,7.934665400738059,0.5887761116027832
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.2045521162700954,0.3535038354330328,0.5681916087930382,0.5637874603271484,1.4100273593950334,0.75,0.5625,nan,16,1024,2048,32,2048,3072,589824,1179648.0,64,64,64,64.0,2,2,1048576,34304,72960,0.034875600002123974,0.125,0.0,6.89016992976685,0.5705178081989288
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0674624015330001,0.2146550183678224,0.506970448718478,0.7056624293327332,3.3156045162328582,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,196608,2031616.0,64,64,64,64.0,2,2,0,35328,0,0.01798150000104215,0.0,0.0,0.0,0.7490766644477844
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06692430929881032,0.21382346348561138,0.5048804425349264,0.7085795998573303,3.3082054092356157,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,196608,589824.0,64,64,64,64.0,2,2,0,35328,72960,0.017309599999862257,0.0,0.0,0.0,0.7518221139907837
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0580702444138157,0.19646870583447026,0.464329010812615,0.796012282371521,3.1742147799048537,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,196608,2031616.0,64,64,64,64.0,2,2,1048576,35328,0,0.023636600002646446,0.25,0.25,19.279881835855942,0.8445513248443604
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.058253368513046855,0.19680459642299347,0.46296665165277046,0.7996137738227844,3.1665449559653758,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,196608,589824.0,64,64,64,64.0,2,2,1048576,35328,72960,0.024951100000180304,0.25,0.25,19.393618784342703,0.8476278185844421
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.05647165429936374,0.1915727931908504,0.4846371157227551,0.7704731225967407,3.3380369778221004,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,3072,589824,1179648.0,64,64,64,64.0,2,2,1048576,35328,72960,0.03509409999969648,0.125,0.0,18.32975330624678,0.7949196994304657
