arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
kll-small-rsr,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,16.0,0.016,0.07977827202533216,0.17685662406959068,0.24831879056376588,0.9249430894851685,3.058823524723841,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,37376,72960,0,0.04376549999869894,0.005981999995128717,512,5256
kll-paper-hybrid,neural,NPR-d8-correlated-t,correlated-t,8,0,concentrated,32.0,0.032,0.13357810843852747,0.22289878360915108,0.3588803591571425,0.711198091506958,3.9989590791926437,nan,nan,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,37376,72960,0,0.03433740000036778,0.005981999995128717,512,5256
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d8-correlated-t,correlated-t,8,0,concentrated,nan,nan,0.023315510481619395,0.0920698063763718,0.11826745906485056,0.9462611014259951,4.575735418270005,nan,nan,nan,30,128,128,1,2048,2048,622592,3162112.0,0,37376,0,0,0.007263899999088608,0.005041099997470155,0,0
paper-neural,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,16.0,0.016,0.14435366452172804,0.1985288554176151,0.3262138969043593,0.7324627637863159,3.733161477203144,nan,nan,nan,64,2048,2048,64,2048,2048,0,0.0,131072,0,0,0,0.05739009999524569,0.0,512,6288
minibatch-sw,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,16.0,0.016,0.12852380499048177,0.18508995103849366,0.22735363197038588,0.8848699331283569,5.404913110969055,nan,nan,nan,64,2048,2048,64,2048,2048,262144,1310720.0,0,0,0,0,0.08176760000060312,0.0,512,6288
exact-atlas-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,32.0,0.032,0.18362095107363618,0.21074095268227877,0.29891687396683325,0.8236777186393738,5.418584263035976,nan,nan,nan,8,1024,2048,64,2048,2048,262144,1900544.0,0,41472,0,0,0.024793700002192054,0.004907700000330806,512,6288
kll-atlas-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,32.0,0.032,0.18230019017317023,0.21033942303441774,0.29713397892595633,0.8304228186607361,5.5981915812022605,nan,nan,nan,8,1024,2048,64,2048,2048,262144,458752.0,0,41472,72960,0,0.02502449999883538,0.0063773999936529435,512,6288
kll-small-rsr,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,16.0,0.016,0.11128530318345309,0.17205732220937572,0.21256925706698498,0.8965769410133362,5.726241353531927,nan,nan,nan,32,1024,2048,64,2048,2048,262144,327680.0,0,41472,72960,0,0.044500799995148554,0.0063773999936529435,512,6288
kll-paper-hybrid,neural,NPR-d16-nonlinear,nonlinear,16,0,concentrated,32.0,0.032,0.18213841050814228,0.21024244672705317,0.31265310185501766,0.8718933463096619,5.437470545933667,nan,nan,nan,8,1024,2048,64,2048,3072,262144,458752.0,262144,41472,72960,0,0.03232430000207387,0.0063773999936529435,512,6288
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d16-nonlinear,nonlinear,16,0,concentrated,nan,nan,0.05312788731030693,0.12022036767450071,0.09158020858024955,0.9824314632656936,7.5866685378054814,nan,nan,nan,30,128,128,1,2048,2048,622592,3162112.0,0,41472,0,0,0.007683899995754473,0.004907700000330806,0,0
