arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-kll-guarded,NPR-d16-rare-gmm,rare-gmm,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,1,2026072201,1.0,0.15,0.2858771000028355,0.016228399996180087,0.12047639999946114,0.42258189999847673,64,192,136,136,0.1490286540146792,23.24453399945855,0.046834297575833794,0.11251669843769714,0.13467184825012532,0.9901374578475952,10.324617311737216,0.5,0.08437500000000005,0.0421875,160,10240,20480,320,20480,30720,6225920,3932160,2293760,5898240.0,0.0,5898240.0,192,32,32,32.0,3,4,3856706712,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.2858771000028355,0.017499999999999998,0.0,0.017499999999999998,5.158945570629605,0.36349197626113894
cta-exact-hybrid,NPR-d16-rare-gmm,rare-gmm,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,2,2026072201,1.0,0.15,0.22587219999695662,0.016228399996180087,0.15218800000002375,0.39428859999316046,64,192,136,136,0.1490286540146792,23.24453399945855,0.03679719692559491,0.10036582228658587,0.13123668267268188,0.9745616912841797,11.249506206166284,0.5,0.08632812500000005,0.0431640625,160,10240,20480,320,20480,30720,4259840,3932160,327680,59265232.77759229,56316112.77759229,2949120.0,192,32,32,32.0,3,4,3856706712,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,0,0.22587219999695662,0.25,0.25,0.25,5.088248208315601,0.38206235468387606
cta-kll-hybrid,NPR-d16-rare-gmm,rare-gmm,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,3,2026072201,1.0,0.15,0.2490555000040331,0.016228399996180087,0.12047639999946114,0.3857602999996743,64,192,136,136,0.1490286540146792,23.24453399945855,0.036285400173276194,0.09984569130537181,0.13018785339605937,0.9763916730880737,11.268154743052978,0.5,0.08730468750000005,0.04365234375,160,10240,20480,320,20480,30720,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,3856706712,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.2490555000040331,0.25,0.25,0.25,5.139340035252617,0.3882161743938923
paper-neural-optimized,NPR-d16-rare-gmm,rare-gmm,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,4,2026072201,1.0,0.15,0.35443990000203485,0.0,0.0,0.35443990000203485,64,192,136,136,0.1490286540146792,23.24453399945855,0.0787594234306086,0.15351884870089821,0.24256777660733164,0.8300734758377075,11.2521364407135,0.5,0.09316406250000005,0.04658203125,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,192,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.35443990000203485,0.0,0.0,0.0,0.0,0.0
cta-kll-global,NPR-d16-rare-gmm,rare-gmm,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,5,2026072201,1.0,0.15,0.15100940000411356,0.016228399996180087,0.12047639999946114,0.2877141999997548,64,192,136,136,0.1490286540146792,23.24453399945855,0.04612617701630928,0.11261888401658404,0.13276976295720302,0.9929584860801697,10.014941311932269,0.5,0.07949218750000005,0.03974609375,160,10240,20480,320,20480,20480,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,3856706712,12,2,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222208,294144,0.15100940000411356,0.0,0.0,0.0,0.0,0.35783924013376234
paper-neural-optimized,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,0,2026072201,1.0,0.15,0.34973209999589017,0.0,0.0,0.34973209999589017,64,192,136,136,0.16448823095341147,21.059875196292335,0.06381935678486883,0.14454224048177133,0.2492309262266018,0.7825139164924622,6.966347172914186,nan,nan,nan,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,192,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.34973209999589017,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,1,2026072201,1.0,0.15,0.22355400000378722,0.017274199999519624,0.15016759999707574,0.3909958000003826,64,192,136,136,0.16448823095341147,21.059875196292335,0.030503299070185008,0.09469488406594351,0.14054559013635107,0.9730316400527954,8.662610535958656,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,3932160,327680,59265232.77759229,56316112.77759229,2949120.0,192,32,32,32.0,3,4,2050197602,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,0,0.22355400000378722,0.25,0.25,0.25,7.737717249036332,0.4044314093887806
cta-kll-hybrid,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,2,2026072201,1.0,0.15,0.22559509999700822,0.017274199999519624,0.12241440000070725,0.3652836999972351,64,192,136,136,0.16448823095341147,21.059875196292335,0.02935583655329488,0.09191151379145933,0.13918882551817718,0.9815175533294678,7.930530861202636,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,2050197602,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.22559509999700822,0.25,0.25,0.25,8.071703688855651,0.4417036801576614
cta-kll-global,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,3,2026072201,1.0,0.15,0.15106760000344366,0.017274199999519624,0.12241440000070725,0.29075620000367053,64,192,136,136,0.16448823095341147,21.059875196292335,0.04193045829130604,0.10994251671855175,0.1451232350813093,0.9809178113937378,8.4575040153794,nan,nan,nan,160,10240,20480,320,20480,20480,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,2050197602,12,2,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222208,294144,0.15106760000344366,0.0,0.0,0.0,0.0,0.41707779094576836
cta-kll-guarded,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,4,2026072201,1.0,0.15,0.2829128000012133,0.017274199999519624,0.12241440000070725,0.4226014000014402,64,192,136,136,0.16448823095341147,21.059875196292335,0.03953600714709893,0.10719975738388715,0.1432957066531553,0.9841434359550476,8.241283670620883,nan,nan,nan,160,10240,20480,320,20480,30720,6225920,3932160,2293760,5898240.0,0.0,5898240.0,192,32,32,32.0,3,4,2050197602,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.2829128000012133,0.027499999999999997,0.0,0.027499999999999997,7.946355399112839,0.4165383420884609
cta-exact-global,NPR-d16-correlated-t,correlated-t,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,5,2026072201,1.0,0.15,0.15237150000029942,0.017274199999519624,0.15016759999707574,0.3198132999968948,64,192,136,136,0.16448823095341147,21.059875196292335,0.041392940624547236,0.11071639869258648,0.14473984044134194,0.9748163223266602,8.843746989517006,nan,nan,nan,160,10240,20480,320,20480,20480,4259840,3932160,327680,59265232.77759229,56316112.77759229,2949120.0,192,32,32,32.0,3,4,2050197602,12,2,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222208,0,0.15237150000029942,0.0,0.0,0.0,0.0,0.38198178485035894
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,0,2026072201,1.0,0.15,0.2256381000042893,0.01589129999774741,0.1483273000048939,0.3898567000069306,64,192,136,136,0.1924740939315458,17.99775514916713,0.0239787177588644,0.08353862352638054,0.14203149857996153,0.9795807003974915,7.602328374421417,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,3932160,327680,59265232.77759229,56316112.77759229,2949120.0,192,32,32,32.0,3,4,1771900840,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,0,0.2256381000042893,0.25,0.25,0.25,4.978589321945675,0.436749567091465
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,1,2026072201,1.0,0.15,0.15386880000005476,0.01589129999774741,0.1483273000048939,0.3180874000026961,64,192,136,136,0.1924740939315458,17.99775514916713,0.03544419046313063,0.10281536803775332,0.152365677280735,0.9874131679534912,8.235751067847666,nan,nan,nan,160,10240,20480,320,20480,20480,4259840,3932160,327680,59265232.77759229,56316112.77759229,2949120.0,192,32,32,32.0,3,4,1771900840,12,2,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222208,0,0.15386880000005476,0.0,0.0,0.0,0.0,0.4116526819765568
cta-kll-guarded,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,2,2026072201,1.0,0.15,0.28357270000560675,0.01589129999774741,0.12170429999969201,0.42116830000304617,64,192,136,136,0.1924740939315458,17.99775514916713,0.036702696560550585,0.10294372454331593,0.15186283701860412,0.9992587566375732,7.269620076549676,nan,nan,nan,160,10240,20480,320,20480,30720,6225920,3932160,2293760,5898240.0,0.0,5898240.0,192,32,32,32.0,3,4,1771900840,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.28357270000560675,0.039999999999999994,0.0,0.039999999999999994,4.945934336445427,0.4498607575893402
cta-kll-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,3,2026072201,1.0,0.15,0.22225240000261692,0.01589129999774741,0.12170429999969201,0.35984800000005635,64,192,136,136,0.1924740939315458,17.99775514916713,0.022432894371935852,0.07985404440171144,0.1334765613646889,0.9901787042617798,7.165632648956108,nan,nan,nan,160,10240,20480,320,20480,30720,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,1771900840,12,2,20,20,10485760,10485760,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,222208,294144,0.22225240000261692,0.25,0.25,0.25,5.247045535589972,0.4747308760881424
cta-kll-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,4,2026072201,1.0,0.15,0.1506167000043206,0.01589129999774741,0.12170429999969201,0.28821230000176,64,192,136,136,0.1924740939315458,17.99775514916713,0.03811844623130067,0.10475427408968875,0.1523732917174736,0.9942129850387573,7.677401495010871,nan,nan,nan,160,10240,20480,320,20480,20480,4259840,3932160,327680,2949120.0,0.0,2949120.0,192,32,32,32.0,3,4,1771900840,12,2,0,0,0,0,512,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,222208,294144,0.1506167000043206,0.0,0.0,0.0,0.0,0.4477358743548393
paper-neural-optimized,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,0,0,5,2026072201,1.0,0.15,0.3574503000054392,0.0,0.0,0.3574503000054392,64,192,136,136,0.1924740939315458,17.99775514916713,0.0990428325462771,0.17238929109828674,0.30825746386942615,0.7670071721076965,7.310791070632083,nan,nan,nan,320,20480,20480,320,20480,20480,0,0,0,0.0,0.0,0.0,192,0,0,0.0,0,0,0,0,0,0,0,2621440,2621440,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.3574503000054392,0.0,0.0,0.0,0.0,0.0
