arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,controller_atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,controller_atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,controller_direction_count,controller_calls,controller_candidate_count,controller_projection_scalar_products,controller_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms,controller_positive_weight_rate,mean_controller_relative_improvement,mean_controller_safe_fraction
cta-exact-hybrid,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.3715197999990778,0.000189200000022538,0.04933259999961592,0.0,0.42104159999871626,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0035808798167824563,0.0485954044709535,0.09322174037474167,1.011757731437683,1.9422593510315989,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,3387850064,32,16,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,40960,2,1048576,0.0035107817966490984,0.999993622303009,0.0007499309213017114,0.02841605246067047,0.002369599649682641,4.9724555015563965,0.20279818251729012,4.279098987579346,0.15525993444025515,1.5958623886108398,4,4,29.325,0,67584,0,0.3715197999990778,0.25,0.25,0.25,5.515540735101577,0.17889205496758223,0.0,0.0,0.0
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.13257819999853382,0.000189200000022538,0.04933259999961592,0.0,0.18209999999817228,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0033142453406127537,0.05187413275565301,0.10062812797943306,1.0166021585464478,1.9328837444950377,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,3387850064,32,16,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,67584,0,0.13257819999853382,0.0,0.0,0.0,0.0,0.16002833917737008,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.3704312999980175,0.000228899996727705,0.04947349999565631,0.0,0.4201336999904015,64,64,10,10,1.5561757015747395,2.5704038406153518,0.0176720376197137,0.09507955263245677,0.12583885057334931,1.0031962394714355,2.5838592272440852,1.0,0.0263671875,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,189739325,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.019398685544729233,0.9998092651367188,0.006878517335280776,0.04235408455133438,0.014945173636078835,1.1118624210357666,0.304199755191803,1.995874047279358,0.29973838864825664,1.5306161642074585,4,4,23.575,0,68608,0,0.3704312999980175,0.25,0.25,0.25,3.7593512224872576,0.2176728792488575,0.0,0.0,0.0
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.13282259999687085,0.000228899996727705,0.04947349999565631,0.0,0.18252499998925487,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,68608,0,0.13282259999687085,0.0,0.0,0.0,0.0,0.1938877899199724,0.0,0.0,0.0
cta-exact-crossfit,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.5006871000005049,0.000228899996727705,0.04947349999565631,0.026821399995242245,0.5772108999881311,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017993163496608844,0.09546053123821316,0.1273993949944388,0.9994733333587646,2.5616679226980086,1.0,0.01953125,nan,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,189739325,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.018807617016136646,0.9998196363449097,0.006940384162589908,0.04325190931558609,0.014998700469732285,1.227150797843933,0.304199755191803,1.995874047279358,0.29756899191997943,1.1566509008407593,4,4,23.7,0,103424,0,0.5006871000005049,0.24,0.05,0.24,3.758343123645905,0.2133666567504406,1.0,0.06923283903401525,1.0
cta-exact-crossfit,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.5091326000037952,0.00022280000121099874,0.04962340000201948,0.026225500005239155,0.5852043000122649,64,64,10,10,1.7834038959718805,2.2429019074336867,0.00907696527848012,0.07328659251411278,0.11754367386490454,1.0398118495941162,2.7313511416982883,1.0,0.03964843749999995,0.019824218749999997,160,10240,20480,320,20480,30720,4259840,1966080,655360,2293760,34377797.592530765,18772037.592530765,15605760.0,32,20,4,1310720,11796480.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.033933527767658234,0.9992718696594238,0.017611028160899878,0.09865190088748932,0.02928345464169979,2.4085090160369873,0.571800947189331,2.857255458831787,0.5138062505051494,2.0423402786254883,4,4,30.425,0,103424,0,0.5091326000037952,0.225,0.0,0.225,4.586228265877225,0.23418772555887699,0.9,0.07108378760836258,0.975
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.13146229999983916,0.00022280000121099874,0.04962340000201948,0.0,0.18130850000306964,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,68608,0,0.13146229999983916,0.0,0.0,0.0,0.0,0.21398065090179444,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.3720716999960132,0.00022280000121099874,0.04962340000201948,0.0,0.4219178999992437,64,64,10,10,1.7834038959718805,2.2429019074336867,0.012405873711388349,0.08284956794251594,0.132851778700379,1.0309251546859741,2.818781728929427,1.0,0.029882812499999953,0.014941406249999997,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.03322610631585121,0.9992889761924744,0.01726732822135091,0.09783763438463211,0.028800738975405693,2.4085090160369873,0.571800947189331,2.857255458831787,0.5092863230034709,2.0877299308776855,4,4,30.175,0,68608,0,0.3720716999960132,0.25,0.25,0.25,4.5851158688859766,0.24762990772724153,0.0,0.0,0.0
cta-exact-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.37528990000282647,0.00020180000137770548,0.050154600001405925,0.0,0.4256463000056101,64,64,10,10,1.6114097194634855,2.4822985437445357,0.008978370870811325,0.07180002624053047,0.11566287994587814,0.9598893523216248,1.7636267175301348,nan,nan,nan,160,10240,20480,320,20480,30720,2293760,1310720,0,983040,22581317.592530765,18772037.592530765,3809280.0,0,0,0,0,0.0,64,32,32,32.0,10,10,341785966,16,8,20,20,2621440,10485760,128,variance-per-node,0.0625,7,655360,860160.0,81920,2,1048576,0.03637055866420269,0.9993643760681152,0.011008589761331677,0.06958983279764652,0.019195780158042908,16.290000915527344,0.5793282672762871,8.530755996704102,0.3433594827307388,1.4954944849014282,4,4,26.025,0,68608,0,0.37528990000282647,0.25,0.25,0.25,9.073945020005295,0.2280069701373577,0.0,0.0,0.0
cta-exact-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.13162849999935133,0.00020180000137770548,0.050154600001405925,0.0,0.18198490000213496,64,64,10,10,1.6114097194634855,2.4822985437445357,0.006572419173047628,0.060251941846152075,0.11160344219642054,0.9393256902694702,1.8640608671452417,nan,nan,nan,160,10240,20480,320,20480,20480,1638400,1310720,0,327680,21721157.592530765,18772037.592530765,2949120.0,0,0,0,0,0.0,64,32,32,32.0,10,10,341785966,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,68608,0,0.13162849999935133,0.0,0.0,0.0,0.0,0.20652107410132886,0.0,0.0,0.0
