tau,eta_frac,target,median_ed2
0.05,0.05,V-1d-K3,0.26501786042153985
0.05,0.05,V-2d-K5,0.237961803797196
0.05,0.05,V-2d-K4-uneq,0.21901428127667377
0.05,0.05,V-3d-K4,0.11487760795023738
0.05,0.05,V-2d-K4-wide,0.1550702380416813
0.05,0.15,V-1d-K3,0.2618138936698926
0.05,0.15,V-2d-K5,0.20614176796620676
0.05,0.15,V-2d-K4-uneq,0.18428645839352442
0.05,0.15,V-3d-K4,0.08388175384075458
0.05,0.15,V-2d-K4-wide,0.12924308753946478
0.05,0.4,V-1d-K3,0.26315267012368704
0.05,0.4,V-2d-K5,0.16717310778676953
0.05,0.4,V-2d-K4-uneq,0.13412367613590015
0.05,0.4,V-3d-K4,0.040272857459207945
0.05,0.4,V-2d-K4-wide,0.08539514153611272
0.1,0.05,V-1d-K3,0.2290212242174483
0.1,0.05,V-2d-K5,0.1506137744340026
0.1,0.05,V-2d-K4-uneq,0.1282119161112758
0.1,0.05,V-3d-K4,0.05583999203140966
0.1,0.05,V-2d-K4-wide,0.09986468497295964
0.1,0.15,V-1d-K3,0.2073714071254975
0.1,0.15,V-2d-K5,0.06748664082626998
0.1,0.15,V-2d-K4-uneq,0.03825894382113504
0.1,0.15,V-3d-K4,0.011194470920752098
0.1,0.15,V-2d-K4-wide,0.03455196925431836
0.1,0.4,V-1d-K3,0.17229549556126078
0.1,0.4,V-2d-K5,0.010753811418015014
0.1,0.4,V-2d-K4-uneq,0.014065695350571117
0.1,0.4,V-3d-K4,0.012030339685494829
0.1,0.4,V-2d-K4-wide,0.005410072350215511
0.2,0.05,V-1d-K3,0.10397467383346615
0.2,0.05,V-2d-K5,0.02445704262219639
0.2,0.05,V-2d-K4-uneq,0.01851052180386692
0.2,0.05,V-3d-K4,0.012445564708381762
0.2,0.05,V-2d-K4-wide,0.021594985766342445
0.2,0.15,V-1d-K3,0.039625902939979474
0.2,0.15,V-2d-K5,0.0057684152044414905
0.2,0.15,V-2d-K4-uneq,0.003937014963733665
0.2,0.15,V-3d-K4,0.007099440996987227
0.2,0.15,V-2d-K4-wide,0.005335255065792355
0.2,0.4,V-1d-K3,0.011001236209543741
0.2,0.4,V-2d-K5,0.007183298218735645
0.2,0.4,V-2d-K4-uneq,0.005120849388183357
0.2,0.4,V-3d-K4,0.011018806265301828
0.2,0.4,V-2d-K4-wide,0.010027484011042587
0.35,0.05,V-1d-K3,0.023283116065755616
0.35,0.05,V-2d-K5,0.008484841633105367
0.35,0.05,V-2d-K4-uneq,0.008046736797275189
