arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.0047112574531935625,0.057503484855676225,0.19116115372160347,0.9992895126342773,1.078028214354685,1.0,0.185546875,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.172916699993948,0.0,0.0,0.0,0.16814469862729312
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.004041677868071192,0.052161550096167165,0.1768128849541724,0.9936585426330566,1.078690495712623,1.0,0.173828125,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.17571119999774965,0.0,0.0,0.0,0.1624018546193838
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006814913025200431,0.06895145410124606,0.20112381324884193,1.0113742351531982,1.0738849532312797,1.0,0.1923828125,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.4265287000016542,0.25,0.25,6.647240188113798,0.18648366928100585
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006666526537504991,0.06799979709382997,0.20217487746398305,1.0082907676696777,1.0748424337221558,1.0,0.1904296875,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.4302700999978697,0.25,0.25,6.515056351060747,0.18305413480848073
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.8960485534231983,1.45194654838736,0.006566838920400775,0.06607969379469143,0.19375139962423418,0.9885972142219543,1.0845291917439865,1.0,0.21484375,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.49746549999690615,0.21000000000000002,0.0,6.634863536211647,0.18438045531511307
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.009634511291294334,0.10608662426823177,0.23852272393678614,0.8677858710289001,1.7042878083010622,1.0,0.017968750000000047,0.008984375000000003,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.1757112999985111,0.0,0.0,0.0,0.20945865474641323
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.011587806605872775,0.11021874180211957,0.21113006262312106,0.9091952443122864,1.6344736213568904,1.0,0.007226562500000047,0.0036132812500000028,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.17344149999553338,0.0,0.0,0.0,0.21145183816552163
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014622445625167568,0.1259983811531813,0.28862417871032264,0.8357577919960022,1.7585393405966336,1.0,0.027734375000000047,0.013867187500000003,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.4097165999992285,0.25,0.25,7.017149393607383,0.23215462490916253
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.013050538687676028,0.11725180641865644,0.2724737175291915,0.8529642224311829,1.720674485435229,1.0,0.021875000000000047,0.010937500000000003,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.4142855999962194,0.25,0.25,6.960139451450781,0.2307321760803461
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.7872162686682413,1.4936707724593687,0.009049524938940845,0.09964570074079626,0.25041278297374703,0.8457759022712708,1.6680027342664323,1.0,0.021875000000000047,0.010937500000000003,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.4980731999967247,0.2,0.0,6.208661437829402,0.2303164482116699
cta-exact-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.009566596367028168,0.08064323853715699,0.11339468903608017,0.9219385981559753,1.1253672678338127,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.17271259999688482,0.0,0.0,0.0,0.16906777992844582
cta-kll-global,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.011500958105422843,0.08908602521402692,0.11617835088449616,0.9502010941505432,1.1207576011785416,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0.17292079999606358,0.0,0.0,0.0,0.18146223165094852
cta-exact-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.006647404109391797,0.06419939224688183,0.09842923434946751,0.9140476584434509,1.1196549501559392,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,67584,0,0.411788900004467,0.25,0.25,8.530518910556145,0.19860336408019066
cta-kll-hybrid,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005216626939958502,0.05664002307664115,0.08560194748422044,0.9175455570220947,1.1268017290526777,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0.41229179999936605,0.25,0.25,9.248287669561794,0.21363615468144417
cta-kll-guarded,NPR-d2-correlated-t,correlated-t,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.5815699660346505,1.5794342434011945,0.005216626939958502,0.05664002307664115,0.08560194748422044,0.9175455570220947,1.1268017290526777,nan,nan,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,67584,98048,0.49477219999971567,0.25,0.25,9.248287669561794,0.21363615468144417
cta-exact-global,NPR-d2-nonlinear,nonlinear,2,0,concentrated,0.016,0.5,0.25,64,64,3,3,3.9108119718572762,1.4464654118377098,0.0025127612330222426,0.04501414173576717,0.09740467516044077,1.0059893131256104,1.920180524703449,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0.17568519999622367,0.0,0.0,0.0,0.15968837719410658
