arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,16.0,0.016,0.03657797816695174,0.18517419710805819,0.4392049996136321,0.8224730491638184,1.9962735843539776,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.5298810999956913,0.0,2048,4610
minibatch-sw,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,16.0,0.016,0.022677108466716778,0.1385503619707949,0.2178445825836266,0.9312494397163391,1.9461728652743622,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.7975539999970351,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,32.0,0.032,0.016520467630228186,0.12655161699633008,0.28691828035776823,0.9001944065093994,1.990631615919129,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.31106069999805186,0.0730420999971102,2048,4610
kll-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,32.0,0.032,0.016417115042909547,0.12577656956374464,0.2851545764572963,0.9032813310623169,1.9874584935759458,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.23530459999892628,0.05837669999891659,2048,4610
kll-small-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,16.0,0.016,0.02682923932150505,0.16078557488262918,0.28203428321037166,0.80010586977005,1.9133445442002268,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.4237686999986181,0.05837669999891659,2048,4610
kll-paper-hybrid,neural,NPR-d2-nonlinear,nonlinear,2,0,concentrated,32.0,0.032,0.03456069922398397,0.18861523682266015,0.3122222809540285,0.9980241656303406,1.9887571126119976,nan,nan,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.6465901999981725,0.05837669999891659,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-nonlinear,nonlinear,2,0,concentrated,nan,nan,0.0009093493063208058,0.0309262995941508,0.07923643282009916,0.9786899509939194,1.982467095367391,nan,nan,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.21374899999500485,0.0730420999971102,0,0
paper-neural,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,16.0,0.016,0.025987194541438274,0.1692033437833588,0.4386970243172229,0.7339985370635986,1.9525831601578756,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6261441000024206,0.0,2048,4610
minibatch-sw,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,16.0,0.016,0.0275503780384736,0.1670215914966886,0.273015791446765,1.1076252460479736,1.8616910877927944,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.7572086000000127,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,32.0,0.032,0.02871876032482623,0.18718844762463427,0.38106267256510573,0.8066512942314148,1.872327508091621,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.20329040000069654,0.0730420999971102,2048,4610
kll-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,32.0,0.032,0.02852221602769678,0.18673904069527483,0.3818374184468293,0.8075597882270813,1.8823868387039762,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.262525000005553,0.05837669999891659,2048,4610
kll-small-rsr,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,16.0,0.016,0.04499667886008618,0.21586550122756595,0.3191236016142625,1.133819818496704,1.8627974977043633,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.4289684000032139,0.05837669999891659,2048,4610
kll-paper-hybrid,neural,NPR-d2-nonlinear,nonlinear,2,0,broad,32.0,0.032,0.05935542654040882,0.24319654792384462,0.4072674140030809,0.9973950982093811,1.8845963896983315,nan,nan,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.6484897999980603,0.05837669999891659,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-nonlinear,nonlinear,2,0,broad,nan,nan,0.0008582502637712874,0.030359976627046197,0.07715341151757725,0.9787737433436773,1.9833365113372776,nan,nan,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.20719290000124602,0.0730420999971102,0,0
paper-neural,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,16.0,0.016,0.04363607164831462,0.19940645710238264,0.42160166151882933,0.6758481860160828,1.6445629017001262,nan,nan,nan,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.6555449000006774,0.0,2048,4610
minibatch-sw,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,16.0,0.016,0.11491195296092682,0.257396624739746,0.31668384506604635,0.9183228611946106,1.7306392970817623,nan,nan,nan,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.9144608999995398,0.0,2048,4610
exact-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,32.0,0.032,0.014274728103355283,0.11002700683964438,0.16872302836995826,0.8338924050331116,1.9452951829424927,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,67584,0,0,0.19359840000106487,0.09006979999685427,2048,4610
kll-atlas-rsr,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,32.0,0.032,0.015196613285337168,0.11375157290858408,0.16816221250065155,0.828655481338501,1.9719596314828018,nan,nan,nan,20,10240,20480,320,20480,20480,2621440,5898240.0,0,67584,98048,0,0.2773234999986016,0.061850500002037734,2048,4610
kll-small-rsr,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,16.0,0.016,0.07345089203401356,0.23553969853824766,0.29063134059505,1.1303043365478516,1.8273733939238024,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,3932160.0,0,67584,98048,0,0.4701956000062637,0.061850500002037734,2048,4610
kll-paper-hybrid,neural,NPR-d2-nonlinear,nonlinear,2,1,concentrated,32.0,0.032,0.04025184329939213,0.17771121162235132,0.24368385370645063,1.0446735620498657,1.9255640823241804,nan,nan,nan,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,67584,98048,0,0.65467190000345,0.061850500002037734,2048,4610
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d2-nonlinear,nonlinear,2,1,concentrated,nan,nan,0.002184670766737007,0.04579253913197549,0.09431712842517022,0.9812027103312536,1.9781060535429171,nan,nan,nan,100,512,512,1,20480,20480,7864320,48263237.592530765,0,67584,0,0,0.20295210000040242,0.09006979999685427,0,0
