arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.0047112574531935625,0.057503484855676225,0.19116115372160347,0.9992895126342773,1.078028214354685,1.0,0.185546875,nan,160,10240,20480,320,20480,20480,1966080,1310720,655360,24670277.592530765,18772037.592530765,5898240.0,64,64,64,64.0,20,20,89617038,32,32,0,67584,0,0.19558440000400878,0.0,0.0,0.0,0.16814469862729312
cta-kll-global,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.0067190929130773736,0.06601271284638335,0.1826955965304863,0.9868558645248413,1.0795856961109236,1.0,0.21484375,nan,160,10240,20480,320,20480,20480,1966080,1310720,655360,5898240.0,0.0,5898240.0,64,64,64,64.0,20,20,89617038,32,32,0,67584,98048,0.18523129999812227,0.0,0.0,0.0,0.16331295780837535
cta-exact-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006814077912421501,0.06894884215949064,0.2011206798736012,1.011373519897461,1.0738834329077491,1.0,0.1923828125,nan,160,10240,20480,320,20480,30720,1966080,1310720,655360,24670277.592530765,18772037.592530765,5898240.0,64,64,64,64.0,20,20,89617038,32,32,10485760,67584,0,0.2600012999973842,0.25,0.25,6.646996718850535,0.18648423552513121
cta-kll-hybrid,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.006378386682260873,0.06625034870592948,0.19509176049660124,1.0065988302230835,1.0760446075535124,1.0,0.1982421875,nan,160,10240,20480,320,20480,30720,1966080,1310720,655360,5898240.0,0.0,5898240.0,64,64,64,64.0,20,20,89617038,32,32,10485760,67584,98048,0.2398816999993869,0.25,0.25,6.388672742065534,0.18323193714022637
cta-kll-guarded,NPR-d2-balanced-gmm,balanced-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.8960485534231983,1.45194654838736,0.005797848224271762,0.06149683534001881,0.17673806116239385,0.9842579364776611,1.0839226633254007,1.0,0.2177734375,nan,160,10240,20480,320,20480,30720,5898240,1310720,4587520,11796480.0,0.0,11796480.0,64,64,64,64.0,20,20,89617038,32,32,10485760,67584,98048,0.341132400004426,0.21000000000000002,0.0,6.497110471879813,0.18497242107987405
cta-exact-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.009634511291294334,0.10608662426823177,0.23852272393678614,0.8677858710289001,1.7042878083010622,1.0,0.017968750000000047,0.008984375000000003,160,10240,20480,320,20480,20480,1966080,1310720,655360,24670277.592530765,18772037.592530765,5898240.0,64,64,64,64.0,20,20,1357488167,32,32,0,67584,0,0.17299699999421136,0.0,0.0,0.0,0.20945865474641323
cta-kll-global,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.014310356670322655,0.11568067728782076,0.20259707684053999,0.9321956038475037,1.5953003853549963,1.0,0.0013671875000000472,0.0006835937500000028,160,10240,20480,320,20480,20480,1966080,1310720,655360,5898240.0,0.0,5898240.0,64,64,64,64.0,20,20,1357488167,32,32,0,67584,98048,0.1746108000006643,0.0,0.0,0.0,0.2117890991270542
cta-exact-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.01461648598054266,0.12597740131057253,0.2886020016637816,0.8358437418937683,1.7583506517290783,1.0,0.027734375000000047,0.013867187500000003,160,10240,20480,320,20480,30720,1966080,1310720,655360,24670277.592530765,18772037.592530765,5898240.0,64,64,64,64.0,20,20,1357488167,32,32,10485760,67584,0,0.25135960000625346,0.25,0.25,7.016045064256718,0.232138829305768
cta-kll-hybrid,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.013340575399192645,0.11962545489829474,0.27907876198658693,0.8432154655456543,1.7442654914303475,1.0,0.026757812500000047,0.013378906250000003,160,10240,20480,320,20480,30720,1966080,1310720,655360,5898240.0,0.0,5898240.0,64,64,64,64.0,20,20,1357488167,32,32,10485760,67584,98048,0.23486539999430533,0.25,0.25,6.801018566325015,0.22954523414373398
cta-kll-guarded,NPR-d2-rare-gmm,rare-gmm,2,0,concentrated,0.016,0.5,0.25,0,64,64,3,3,3.7872162686682413,1.4936707724593687,0.008007307782237127,0.09026437783500153,0.20338731931102955,0.9049835801124573,1.598690966892426,1.0,0.004296875000000047,0.0021484375000000028,160,10240,20480,320,20480,30720,5898240,1310720,4587520,11796480.0,0.0,11796480.0,64,64,64,64.0,20,20,1357488167,32,32,10485760,67584,98048,0.3308056999958353,0.2,0.0,6.058047919487388,0.22289153896272182
