arm,kind,target,family,dimension,replication,initialization,learning_rate_multiplier,learning_rate,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,diverged,wall_seconds,atlas_build_seconds,evaluation_generator_examples,model_parameters
paper-neural,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,16.0,0.016,0.052380262353354023,0.19017503740321115,0.4715000482172737,0.7375377416610718,3.6753498688727673,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.555173200002173,0.0,2048,4740
minibatch-sw,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,16.0,0.016,0.04239971801549691,0.17153982651339697,0.31890757069144654,0.8661534190177917,2.902850974550636,1.0,0.024804687500000047,0.012402343750000003,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.74677789999987,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,32.0,0.032,0.0697264099131778,0.2108942616051075,0.33930438096994286,0.9324830174446106,2.540740272586536,1.0,0.023828125000000047,0.011914062500000003,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.3261123000047519,0.07301970000116853,2048,4740
kll-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,32.0,0.032,0.06867469079821964,0.20893419613528408,0.33841878317451696,0.9293007850646973,2.5278148456888547,1.0,0.021875000000000047,0.010937500000000003,20,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0,0.2293500000014319,0.06082290000631474,2048,4740
kll-small-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,16.0,0.016,0.02719745107260918,0.13985059631972444,0.27109652074285706,0.9327216148376465,3.367774629298537,1.0,0.03945312500000005,0.019726562500000003,160,10240,20480,320,20480,20480,2621440,3932160.0,0,68608,98048,0,0.4103425000066636,0.06082290000631474,2048,4740
kll-paper-hybrid,neural,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,32.0,0.032,0.053730315646291604,0.1845485127746303,0.3332459623535086,0.8967863917350769,2.3825059479056083,1.0,0.03359375000000005,0.016796875000000003,20,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0,0.7266181000013603,0.06082290000631474,2048,4740
exact-free-particle-ceiling,free-particle-diagnostic,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,nan,nan,0.0028317634514705148,0.04573425539273699,0.10994642288356676,0.9958312826313285,2.834215821687526,1.0,0.005468749999999953,0.0027343749999999972,100,512,512,1,20480,20480,7864320,48263237.592530765,0,68608,0,0,0.1840342000068631,0.07301970000116853,0,0
paper-neural,neural,NPR-d4-rare-gmm,rare-gmm,4,0,broad,16.0,0.016,0.056218357938021324,0.19698744086097975,0.4921140453438294,0.7214642763137817,3.5096544253197206,0.5,0.10000000000000005,0.05,320,20480,20480,320,20480,20480,0,0.0,2621440,0,0,0,0.5753694999948493,0.0,2048,4740
minibatch-sw,neural,NPR-d4-rare-gmm,rare-gmm,4,0,broad,16.0,0.016,0.03838961732475754,0.1548546467925631,0.30886012829191134,0.9051422476768494,3.190557617483894,1.0,0.03847656250000005,0.019238281250000003,320,20480,20480,320,20480,20480,2621440,15728640.0,0,0,0,0,0.8381678000005195,0.0,2048,4740
exact-atlas-rsr,neural,NPR-d4-rare-gmm,rare-gmm,4,0,broad,32.0,0.032,0.05220377085586536,0.18826548370137017,0.32374258008999585,1.0237936973571777,2.6800165217707637,1.0,0.015039062500000047,0.007519531250000003,20,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0,0.23809890000120504,0.07301970000116853,2048,4740
