d,sigma_min,sigma_max_scale,fd_spread,min_singval
2,1.4884798214293317e-22,2.222264023911293e-16,2.222262535431471e-16,1.4884798216308464e-22
3,-2.2202616332476037e-16,1.8441434306570124e-20,2.2204460475906693e-16,1.1451544665970243e-21
